Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,477.4926452636719,550.0,575.0,510.0,575.0,168200
2020-01-03,460.1292724609375,530.0,550.0,530.0,550.0,113200
2020-01-06,460.1292724609375,530.0,530.0,490.0,490.0,22100
2020-01-07,460.1292724609375,530.0,530.0,500.0,500.0,1500
2020-01-08,451.4476013183594,520.0,520.0,490.0,492.0,3400
2020-01-09,468.81097412109375,540.0,540.0,520.0,520.0,1000
2020-01-10,460.1292724609375,530.0,540.0,530.0,540.0,600
2020-01-13,460.1292724609375,530.0,540.0,525.0,530.0,15500
2020-01-14,451.4476013183594,520.0,540.0,505.0,540.0,6100
2020-01-15,451.4476013183594,520.0,520.0,520.0,520.0,9800
2020-01-16,460.1292724609375,530.0,540.0,530.0,535.0,100300
2020-01-17,460.1292724609375,530.0,530.0,530.0,530.0,0
2020-01-20,438.4250793457031,505.0,505.0,505.0,505.0,200
2020-01-21,390.67578125,450.0,510.0,450.0,510.0,155800
2020-01-22,430.611572265625,496.0,505.0,480.0,505.0,3200
2020-01-23,430.611572265625,496.0,496.0,496.0,496.0,200
2020-01-24,430.611572265625,496.0,496.0,496.0,496.0,0
2020-01-27,430.611572265625,496.0,496.0,496.0,496.0,0
2020-01-28,430.611572265625,496.0,496.0,496.0,496.0,0
2020-01-29,430.611572265625,496.0,496.0,496.0,496.0,0
2020-01-30,451.4476013183594,520.0,520.0,490.0,490.0,135200
2020-01-31,451.4476013183594,520.0,520.0,520.0,520.0,0
2020-02-03,451.4476013183594,520.0,520.0,520.0,520.0,100
2020-02-04,451.4476013183594,520.0,520.0,520.0,520.0,0
2020-02-05,451.4476013183594,520.0,520.0,520.0,520.0,0
2020-02-06,451.4476013183594,520.0,520.0,520.0,520.0,0
2020-02-07,399.3575134277344,460.0,460.0,460.0,460.0,500
2020-02-10,434.0842590332031,500.0,550.0,460.0,525.0,20700
2020-02-11,442.7659606933594,510.0,520.0,510.0,510.0,800
2020-02-12,442.7659606933594,510.0,540.0,510.0,540.0,600
2020-02-13,442.7659606933594,510.0,510.0,510.0,510.0,0
2020-02-14,447.1067810058594,515.0,515.0,460.0,460.0,600
2020-02-17,447.1067810058594,515.0,515.0,515.0,515.0,0
2020-02-18,447.1067810058594,515.0,515.0,515.0,515.0,0
2020-02-19,430.611572265625,496.0,496.0,462.0,462.0,800
2020-02-20,432.3478698730469,498.0,498.0,498.0,498.0,100
2020-02-21,432.3478698730469,498.0,498.0,498.0,498.0,0
2020-02-24,394.1484680175781,454.0,488.0,454.0,470.0,78400
2020-02-25,399.3575134277344,460.0,460.0,454.0,454.0,30200
2020-02-26,395.8848571777344,456.0,456.0,456.0,456.0,7100
2020-02-27,395.8848571777344,456.0,456.0,456.0,456.0,0
2020-02-28,390.67578125,450.0,456.0,450.0,456.0,9600
2020-03-02,390.67578125,450.0,450.0,450.0,450.0,7200
2020-03-03,392.4121398925781,452.0,452.0,450.0,450.0,500
2020-03-04,434.0842590332031,500.0,500.0,500.0,500.0,5200
2020-03-05,397.6211242675781,458.0,458.0,456.0,456.0,5100
2020-03-06,397.6211242675781,458.0,458.0,458.0,458.0,0
2020-03-09,373.31243896484375,430.0,458.0,430.0,456.0,129800
2020-03-10,390.67578125,450.0,450.0,430.0,430.0,160200
2020-03-11,390.67578125,450.0,470.0,410.0,470.0,311800
2020-03-12,355.9490661621094,410.0,420.0,406.0,420.0,122800
2020-03-13,359.4217529296875,414.0,416.0,382.0,400.0,250500
2020-03-16,347.2673645019531,400.0,414.0,386.0,412.0,69300
2020-03-17,347.2673645019531,400.0,406.0,386.0,386.0,191500
2020-03-18,347.2673645019531,400.0,400.0,380.0,400.0,194800
2020-03-19,343.794677734375,396.0,400.0,388.0,400.0,830300
2020-03-20,338.585693359375,390.0,390.0,370.0,390.0,918200
2020-03-23,316.0133056640625,364.0,366.0,364.0,364.0,334200
2020-03-24,314.2770080566406,362.0,364.0,340.0,364.0,1800
2020-03-26,326.4313659667969,376.0,390.0,368.0,388.0,1954100
