Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,890.0,890.0,890.0,890.0,890.0,600
2020-01-03,890.0,890.0,890.0,890.0,890.0,0
2020-01-06,995.0,995.0,1065.0,880.0,880.0,710500
2020-01-07,990.0,990.0,1010.0,990.0,995.0,2300
2020-01-08,900.0,900.0,950.0,900.0,950.0,3800
2020-01-09,900.0,900.0,950.0,800.0,950.0,772600
2020-01-10,870.0,870.0,1000.0,750.0,1000.0,29900
2020-01-13,870.0,870.0,875.0,870.0,870.0,24000
2020-01-14,830.0,830.0,860.0,790.0,860.0,15100
2020-01-15,675.0,675.0,830.0,675.0,830.0,78100
2020-01-16,600.0,600.0,670.0,600.0,665.0,74100
2020-01-17,595.0,595.0,620.0,560.0,560.0,31100
2020-01-20,550.0,550.0,620.0,500.0,620.0,29100
2020-01-21,530.0,530.0,550.0,530.0,550.0,14700
2020-01-22,550.0,550.0,550.0,525.0,530.0,23700
2020-01-23,550.0,550.0,550.0,550.0,550.0,1800
2020-01-24,550.0,550.0,550.0,550.0,550.0,100
2020-01-27,540.0,540.0,540.0,540.0,540.0,100
2020-01-28,540.0,540.0,540.0,540.0,540.0,0
2020-01-29,540.0,540.0,540.0,540.0,540.0,0
2020-01-30,540.0,540.0,540.0,540.0,540.0,0
2020-01-31,432.0,432.0,540.0,432.0,540.0,13700
2020-02-03,420.0,420.0,432.0,420.0,432.0,1800
2020-02-04,390.0,390.0,420.0,380.0,410.0,7600
2020-02-05,330.0,330.0,480.0,314.0,400.0,40500
2020-02-06,330.0,330.0,330.0,330.0,330.0,0
2020-02-07,342.0,342.0,342.0,330.0,330.0,15200
2020-02-10,350.0,350.0,350.0,310.0,322.0,1400
2020-02-11,350.0,350.0,350.0,350.0,350.0,5700
2020-02-12,350.0,350.0,350.0,350.0,350.0,0
2020-02-13,350.0,350.0,350.0,350.0,350.0,100
2020-02-14,338.0,338.0,350.0,302.0,350.0,5200
2020-02-17,338.0,338.0,338.0,338.0,338.0,0
2020-02-18,320.0,320.0,330.0,320.0,330.0,3700
2020-02-19,320.0,320.0,320.0,320.0,320.0,0
