Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,224.0,224.0,224.0,224.0,224.0,0
2020-01-03,224.0,224.0,224.0,224.0,224.0,0
2020-01-06,168.0,168.0,224.0,168.0,224.0,1100
2020-01-07,226.0,226.0,226.0,170.0,170.0,32000
2020-01-08,226.0,226.0,226.0,226.0,226.0,0
2020-01-09,173.0,173.0,226.0,173.0,226.0,500
2020-01-10,210.0,210.0,232.0,183.0,183.0,54100
2020-01-13,210.0,210.0,212.0,210.0,212.0,600
2020-01-14,210.0,210.0,210.0,210.0,210.0,0
2020-01-15,250.0,250.0,262.0,230.0,230.0,1400
2020-01-16,242.0,242.0,242.0,210.0,230.0,400
2020-01-17,242.0,242.0,242.0,242.0,242.0,0
2020-01-20,242.0,242.0,242.0,242.0,242.0,0
2020-01-21,236.0,236.0,242.0,236.0,242.0,3000
2020-01-22,236.0,236.0,236.0,236.0,236.0,0
2020-01-23,190.0,190.0,238.0,180.0,238.0,130500
2020-01-24,208.0,208.0,210.0,190.0,190.0,27600
2020-01-27,206.0,206.0,206.0,206.0,206.0,100
2020-01-28,166.0,166.0,206.0,156.0,202.0,3900
2020-01-29,170.0,170.0,180.0,170.0,171.0,6400
2020-01-30,210.0,210.0,210.0,180.0,180.0,400
2020-01-31,168.0,168.0,168.0,168.0,168.0,1000
2020-02-03,168.0,168.0,170.0,168.0,170.0,600
2020-02-04,199.0,199.0,200.0,170.0,170.0,1300
2020-02-05,195.0,195.0,199.0,133.0,199.0,2300
2020-02-06,195.0,195.0,195.0,137.0,195.0,900
2020-02-07,169.0,169.0,195.0,165.0,195.0,1400
2020-02-10,169.0,169.0,179.0,169.0,179.0,9500
2020-02-11,200.0,200.0,200.0,180.0,188.0,7900
2020-02-12,177.0,177.0,208.0,177.0,208.0,2100
2020-02-13,172.0,172.0,177.0,172.0,177.0,200
2020-02-14,172.0,172.0,172.0,172.0,172.0,200
2020-02-17,154.0,154.0,172.0,122.0,172.0,3700
2020-02-18,206.0,206.0,206.0,154.0,154.0,15600
2020-02-19,156.0,156.0,206.0,156.0,206.0,1900
2020-02-20,169.0,169.0,200.0,163.0,163.0,2900
2020-02-21,151.0,151.0,208.0,151.0,169.0,5200
2020-02-24,151.0,151.0,151.0,151.0,151.0,1000
2020-02-25,143.0,143.0,200.0,131.0,200.0,2600
2020-02-26,190.0,190.0,192.0,190.0,192.0,300
2020-02-27,170.0,170.0,180.0,170.0,180.0,200
2020-02-28,220.0,220.0,220.0,170.0,170.0,5500
2020-03-02,176.0,176.0,200.0,175.0,200.0,3200
2020-03-03,200.0,200.0,200.0,166.0,176.0,700
2020-03-04,150.0,150.0,180.0,131.0,180.0,2800
2020-03-05,150.0,150.0,150.0,150.0,150.0,0
2020-03-06,150.0,150.0,150.0,150.0,150.0,0
2020-03-09,150.0,150.0,150.0,150.0,150.0,0
2020-03-10,143.0,143.0,143.0,143.0,143.0,100
2020-03-11,143.0,143.0,143.0,143.0,143.0,200
2020-03-12,181.0,181.0,181.0,181.0,181.0,100
2020-03-13,179.0,179.0,180.0,175.0,180.0,400
2020-03-16,179.0,179.0,179.0,179.0,179.0,0
2020-03-17,230.0,230.0,230.0,230.0,230.0,100
2020-03-18,230.0,230.0,230.0,230.0,230.0,100
2020-03-19,230.0,230.0,230.0,230.0,230.0,0
2020-03-20,250.0,250.0,250.0,250.0,250.0,100
2020-03-23,234.0,234.0,234.0,234.0,234.0,100
2020-03-24,234.0,234.0,234.0,234.0,234.0,0
2020-03-26,234.0,234.0,234.0,234.0,234.0,0
2020-03-27,218.0,218.0,220.0,218.0,220.0,2700
2020-03-30,204.0,204.0,210.0,204.0,210.0,300
2020-03-31,204.0,204.0,204.0,204.0,204.0,0
2020-04-01,202.0,202.0,204.0,202.0,202.0,500
2020-04-02,202.0,202.0,202.0,202.0,202.0,0
2020-04-03,202.0,202.0,202.0,202.0,202.0,0
2020-04-06,202.0,202.0,202.0,188.0,188.0,3500
2020-04-07,202.0,202.0,202.0,202.0,202.0,0
2020-04-08,202.0,202.0,202.0,202.0,202.0,0
2020-04-09,202.0,202.0,202.0,202.0,202.0,0
2020-04-13,202.0,202.0,202.0,202.0,202.0,600
2020-04-14,188.0,188.0,194.0,188.0,188.0,4700
2020-04-15,195.0,195.0,200.0,195.0,200.0,300
2020-04-16,195.0,195.0,195.0,195.0,195.0,0
2020-04-17,185.0,185.0,185.0,185.0,185.0,100
2020-04-20,185.0,185.0,185.0,185.0,185.0,0
2020-04-21,185.0,185.0,185.0,185.0,185.0,0
2020-04-22,185.0,185.0,185.0,185.0,185.0,0
2020-04-23,185.0,185.0,185.0,185.0,185.0,0
2020-04-24,185.0,185.0,185.0,185.0,185.0,0
2020-04-27,200.0,200.0,200.0,200.0,200.0,300
2020-04-28,200.0,200.0,200.0,200.0,200.0,0
2020-04-29,200.0,200.0,200.0,200.0,200.0,0
2020-04-30,200.0,200.0,200.0,200.0,200.0,0
2020-05-04,200.0,200.0,200.0,200.0,200.0,0
2020-05-05,200.0,200.0,200.0,200.0,200.0,0
2020-05-06,200.0,200.0,200.0,200.0,200.0,100
2020-05-08,200.0,200.0,200.0,200.0,200.0,0
2020-05-11,200.0,200.0,200.0,200.0,200.0,0
2020-05-12,200.0,200.0,200.0,200.0,200.0,0
2020-05-13,200.0,200.0,200.0,200.0,200.0,0
2020-05-14,200.0,200.0,200.0,200.0,200.0,100
2020-05-15,186.0,186.0,200.0,186.0,199.0,2000
2020-05-18,176.0,176.0,176.0,176.0,176.0,100
2020-05-19,176.0,176.0,176.0,176.0,176.0,0
2020-05-20,166.0,166.0,166.0,166.0,166.0,1000
2020-05-26,166.0,166.0,166.0,166.0,166.0,100
2020-05-27,166.0,166.0,166.0,166.0,166.0,0
2020-05-28,166.0,166.0,166.0,166.0,166.0,0
2020-05-29,156.0,156.0,156.0,156.0,156.0,100
2020-06-02,147.0,147.0,147.0,147.0,147.0,100
2020-06-03,138.0,138.0,138.0,138.0,138.0,100
2020-06-04,138.0,138.0,138.0,138.0,138.0,100
2020-06-05,185.0,185.0,185.0,145.0,145.0,2100
2020-06-08,190.0,190.0,190.0,185.0,185.0,5100
2020-06-09,210.0,210.0,214.0,199.0,200.0,6500
2020-06-10,214.0,214.0,226.0,210.0,210.0,3000
2020-06-11,214.0,214.0,214.0,214.0,214.0,200
2020-06-12,200.0,200.0,200.0,200.0,200.0,600
2020-06-15,200.0,200.0,200.0,200.0,200.0,0
2020-06-16,220.0,220.0,222.0,200.0,200.0,22100
2020-06-17,220.0,220.0,220.0,220.0,220.0,0
2020-06-18,220.0,220.0,220.0,220.0,220.0,0
2020-06-19,220.0,220.0,220.0,220.0,220.0,0
2020-06-22,220.0,220.0,220.0,220.0,220.0,0
2020-06-23,220.0,220.0,220.0,220.0,220.0,0
2020-06-24,216.0,216.0,216.0,206.0,206.0,700
2020-06-25,216.0,216.0,222.0,216.0,216.0,900
2020-06-26,220.0,220.0,220.0,220.0,220.0,600
2020-06-29,220.0,220.0,220.0,220.0,220.0,900
2020-06-30,220.0,220.0,220.0,220.0,220.0,0
2020-07-01,220.0,220.0,220.0,220.0,220.0,3000
2020-07-02,220.0,220.0,220.0,220.0,220.0,5000
2020-07-03,220.0,220.0,220.0,220.0,220.0,5200
2020-07-06,218.0,218.0,270.0,206.0,240.0,11800
2020-07-07,204.0,204.0,216.0,204.0,216.0,1200
2020-07-08,220.0,220.0,222.0,216.0,222.0,500
2020-07-09,220.0,220.0,220.0,220.0,220.0,100
2020-07-10,220.0,220.0,220.0,220.0,220.0,100
2020-07-13,206.0,206.0,220.0,206.0,220.0,6200
