Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,316.0,316.0,316.0,316.0,316.0,100
2020-01-03,316.0,316.0,316.0,316.0,316.0,0
2020-01-06,312.0,312.0,312.0,302.0,302.0,200
2020-01-07,312.0,312.0,312.0,312.0,312.0,0
2020-01-08,310.0,310.0,310.0,310.0,310.0,100
2020-01-09,308.0,308.0,308.0,308.0,308.0,1000
2020-01-10,304.0,304.0,304.0,272.0,292.0,500
2020-01-13,310.0,310.0,310.0,268.0,304.0,350600
2020-01-14,310.0,310.0,310.0,310.0,310.0,0
2020-01-15,312.0,312.0,312.0,292.0,310.0,300
2020-01-16,308.0,308.0,308.0,308.0,308.0,100
2020-01-17,312.0,312.0,312.0,272.0,292.0,400
2020-01-20,312.0,312.0,312.0,312.0,312.0,0
2020-01-21,312.0,312.0,312.0,312.0,312.0,0
2020-01-22,310.0,310.0,310.0,298.0,298.0,200200
2020-01-23,320.0,320.0,320.0,300.0,300.0,340400
2020-01-24,312.0,312.0,312.0,282.0,302.0,1500600
2020-01-27,312.0,312.0,312.0,312.0,312.0,0
2020-01-28,308.0,308.0,308.0,292.0,292.0,300
2020-01-29,308.0,308.0,308.0,272.0,272.0,2093600
2020-01-30,294.0,294.0,298.0,270.0,270.0,40100
2020-01-31,242.0,242.0,294.0,240.0,294.0,10102400
2020-02-03,250.0,250.0,274.0,210.0,274.0,15111600
2020-02-04,296.0,296.0,296.0,272.0,272.0,9900
2020-02-05,310.0,310.0,318.0,282.0,282.0,600
2020-02-06,306.0,306.0,306.0,306.0,306.0,2700
2020-02-07,310.0,310.0,310.0,310.0,310.0,200
2020-02-10,310.0,310.0,310.0,274.0,292.0,3000
2020-02-11,292.0,292.0,348.0,292.0,348.0,300
2020-02-12,308.0,308.0,310.0,280.0,310.0,11800
2020-02-13,308.0,308.0,308.0,308.0,308.0,0
2020-02-14,308.0,308.0,308.0,308.0,308.0,0
2020-02-17,304.0,304.0,304.0,292.0,292.0,1400
2020-02-18,304.0,304.0,304.0,304.0,304.0,0
2020-02-19,302.0,302.0,302.0,274.0,292.0,42300
2020-02-20,282.0,282.0,288.0,276.0,282.0,14700
2020-02-21,306.0,306.0,306.0,282.0,282.0,4000
2020-02-24,306.0,306.0,306.0,292.0,292.0,200
2020-02-25,278.0,278.0,278.0,278.0,278.0,10000
2020-02-26,304.0,304.0,306.0,302.0,302.0,20200
2020-02-27,278.0,278.0,278.0,278.0,278.0,54500
2020-02-28,342.0,342.0,342.0,260.0,274.0,67200
2020-03-02,338.0,338.0,338.0,338.0,338.0,200
2020-03-03,338.0,338.0,338.0,338.0,338.0,0
2020-03-04,338.0,338.0,338.0,338.0,338.0,0
2020-03-05,282.0,282.0,282.0,282.0,282.0,5000
2020-03-06,306.0,306.0,306.0,280.0,280.0,1400
2020-03-09,296.0,296.0,300.0,280.0,280.0,9300
2020-03-10,298.0,298.0,298.0,280.0,280.0,10400
2020-03-11,294.0,294.0,294.0,270.0,270.0,31800
2020-03-12,294.0,294.0,294.0,294.0,294.0,0
2020-03-13,294.0,294.0,294.0,294.0,294.0,0
2020-03-16,278.0,278.0,278.0,274.0,274.0,30200
2020-03-17,280.0,280.0,280.0,270.0,270.0,30400
2020-03-18,276.0,276.0,280.0,270.0,280.0,600
2020-03-19,260.0,260.0,264.0,260.0,264.0,12600
2020-03-20,292.0,292.0,292.0,242.0,280.0,500
2020-03-23,292.0,292.0,292.0,292.0,292.0,0
2020-03-24,292.0,292.0,292.0,292.0,292.0,0
2020-03-26,280.0,280.0,280.0,280.0,280.0,300
2020-03-27,280.0,280.0,280.0,280.0,280.0,0
2020-03-30,280.0,280.0,280.0,280.0,280.0,0
2020-03-31,292.0,292.0,292.0,262.0,262.0,400
2020-04-01,292.0,292.0,292.0,292.0,292.0,0
2020-04-02,280.0,280.0,280.0,280.0,280.0,100
2020-04-03,306.0,306.0,306.0,306.0,306.0,200
2020-04-06,306.0,306.0,306.0,306.0,306.0,0
2020-04-07,306.0,306.0,306.0,306.0,306.0,0
2020-04-08,304.0,304.0,322.0,286.0,322.0,500
2020-04-09,348.0,348.0,348.0,304.0,304.0,300
2020-04-13,342.0,342.0,348.0,332.0,346.0,1000
2020-04-14,330.0,330.0,330.0,330.0,330.0,800
2020-04-15,330.0,330.0,330.0,330.0,330.0,0
2020-04-16,326.0,326.0,326.0,326.0,326.0,100
2020-04-17,326.0,326.0,326.0,326.0,326.0,0
2020-04-20,326.0,326.0,326.0,326.0,326.0,0
2020-04-21,326.0,326.0,326.0,326.0,326.0,0
2020-04-22,326.0,326.0,326.0,326.0,326.0,0
2020-04-23,344.0,344.0,346.0,344.0,346.0,400
2020-04-24,344.0,344.0,344.0,344.0,344.0,0
2020-04-27,344.0,344.0,344.0,344.0,344.0,0
2020-04-28,330.0,330.0,330.0,322.0,322.0,300
2020-04-29,308.0,308.0,308.0,308.0,308.0,100
2020-04-30,326.0,326.0,338.0,290.0,338.0,29400
2020-05-04,338.0,338.0,338.0,338.0,338.0,200
2020-05-05,338.0,338.0,338.0,338.0,338.0,0
2020-05-06,338.0,338.0,338.0,338.0,338.0,0
2020-05-08,338.0,338.0,338.0,338.0,338.0,0
2020-05-11,338.0,338.0,338.0,338.0,338.0,0
2020-05-12,318.0,318.0,318.0,318.0,318.0,100
2020-05-13,318.0,318.0,318.0,318.0,318.0,0
2020-05-14,334.0,334.0,334.0,334.0,334.0,200
2020-05-15,334.0,334.0,334.0,334.0,334.0,0
2020-05-18,334.0,334.0,334.0,334.0,334.0,100
2020-05-19,334.0,334.0,334.0,334.0,334.0,0
2020-05-20,334.0,334.0,334.0,334.0,334.0,0
2020-05-26,334.0,334.0,334.0,334.0,334.0,0
2020-05-27,334.0,334.0,334.0,334.0,334.0,0
2020-05-28,320.0,320.0,320.0,316.0,316.0,300
2020-05-29,308.0,308.0,308.0,300.0,300.0,2600
2020-06-02,318.0,318.0,318.0,300.0,300.0,10300
2020-06-03,348.0,348.0,348.0,348.0,348.0,200
2020-06-04,324.0,324.0,326.0,324.0,326.0,300
2020-06-05,324.0,324.0,324.0,324.0,324.0,0
2020-06-08,324.0,324.0,324.0,324.0,324.0,0
2020-06-09,324.0,324.0,324.0,324.0,324.0,0
2020-06-10,324.0,324.0,324.0,324.0,324.0,0
2020-06-11,320.0,320.0,320.0,320.0,320.0,5000
2020-06-12,326.0,326.0,326.0,326.0,326.0,100
2020-06-15,326.0,326.0,326.0,326.0,326.0,0
2020-06-16,326.0,326.0,326.0,326.0,326.0,0
2020-06-17,316.0,316.0,316.0,304.0,316.0,1200
2020-06-18,316.0,316.0,316.0,316.0,316.0,0
2020-06-19,316.0,316.0,316.0,316.0,316.0,0
2020-06-22,316.0,316.0,316.0,316.0,316.0,0
2020-06-23,318.0,318.0,318.0,294.0,294.0,400
2020-06-24,318.0,318.0,318.0,318.0,318.0,0
2020-06-25,318.0,318.0,318.0,318.0,318.0,0
2020-06-26,318.0,318.0,318.0,318.0,318.0,0
2020-06-29,348.0,348.0,348.0,348.0,348.0,200
2020-06-30,348.0,348.0,348.0,348.0,348.0,0
2020-07-01,348.0,348.0,348.0,348.0,348.0,0
2020-07-02,348.0,348.0,348.0,348.0,348.0,0
2020-07-03,348.0,348.0,348.0,348.0,348.0,0
2020-07-06,348.0,348.0,348.0,348.0,348.0,0
2020-07-07,348.0,348.0,348.0,348.0,348.0,0
2020-07-08,348.0,348.0,348.0,348.0,348.0,0
2020-07-09,348.0,348.0,348.0,348.0,348.0,0
2020-07-10,348.0,348.0,348.0,348.0,348.0,0
2020-07-13,348.0,348.0,348.0,348.0,348.0,0
2020-07-14,348.0,348.0,348.0,348.0,348.0,0
2020-07-15,348.0,348.0,348.0,348.0,348.0,0
2020-07-16,348.0,348.0,348.0,348.0,348.0,0
2020-07-17,348.0,348.0,348.0,348.0,348.0,0
2020-07-20,348.0,348.0,348.0,348.0,348.0,0
2020-07-21,348.0,348.0,348.0,348.0,348.0,0
2020-07-22,348.0,348.0,348.0,348.0,348.0,0
2020-07-23,324.0,324.0,324.0,324.0,324.0,3006800
2020-07-24,324.0,324.0,324.0,324.0,324.0,100
2020-07-27,302.0,302.0,302.0,302.0,302.0,3501000
2020-07-28,308.0,308.0,308.0,308.0,308.0,3400
2020-07-29,308.0,308.0,308.0,308.0,308.0,600
2020-07-30,308.0,308.0,308.0,308.0,308.0,0
2020-08-03,308.0,308.0,308.0,308.0,308.0,0
2020-08-04,308.0,308.0,308.0,308.0,308.0,0
2020-08-05,308.0,308.0,308.0,308.0,308.0,0
2020-08-06,306.0,306.0,348.0,288.0,348.0,800
2020-08-07,306.0,306.0,306.0,306.0,306.0,0
2020-08-10,302.0,302.0,302.0,288.0,300.0,1400
2020-08-11,336.0,336.0,336.0,336.0,336.0,200
2020-08-12,336.0,336.0,336.0,336.0,336.0,0
2020-08-13,336.0,336.0,336.0,336.0,336.0,0
2020-08-14,336.0,336.0,336.0,336.0,336.0,0
2020-08-18,322.0,322.0,322.0,314.0,314.0,2300
2020-08-19,318.0,318.0,318.0,310.0,310.0,300
2020-08-24,318.0,318.0,318.0,318.0,318.0,0
2020-08-25,318.0,318.0,318.0,318.0,318.0,0
2020-08-26,314.0,314.0,318.0,314.0,318.0,200
2020-08-27,312.0,312.0,312.0,312.0,312.0,400
2020-08-28,312.0,312.0,312.0,312.0,312.0,0
2020-08-31,298.0,298.0,308.0,292.0,308.0,10400
2020-09-01,302.0,302.0,302.0,302.0,302.0,200
2020-09-02,300.0,300.0,302.0,282.0,282.0,10500
2020-09-03,300.0,300.0,300.0,300.0,300.0,0
2020-09-04,300.0,300.0,300.0,300.0,300.0,0
2020-09-07,300.0,300.0,300.0,300.0,300.0,0
2020-09-08,300.0,300.0,300.0,300.0,300.0,0
2020-09-09,300.0,300.0,300.0,300.0,300.0,0
2020-09-10,300.0,300.0,300.0,300.0,300.0,0
