Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,755.1424560546875,760.0,780.0,660.0,660.0,35888700
2020-01-03,770.046630859375,775.0,815.0,755.0,785.0,23029300
2020-01-06,715.398193359375,720.0,780.0,715.0,775.0,9010000
2020-01-07,735.2703247070312,740.0,775.0,715.0,725.0,8126900
2020-01-08,685.5899047851562,690.0,755.0,655.0,740.0,9766100
2020-01-09,735.2703247070312,740.0,775.0,655.0,700.0,21826200
2020-01-10,710.4301147460938,715.0,760.0,700.0,750.0,6952600
2020-01-13,670.6857299804688,675.0,725.0,650.0,700.0,7534700
2020-01-14,581.260986328125,585.0,690.0,530.0,675.0,22822700
2020-01-15,536.5486450195312,540.0,590.0,530.0,585.0,7105100
2020-01-16,670.6857299804688,675.0,675.0,520.0,520.0,32002400
2020-01-17,665.7177124023438,670.0,750.0,650.0,725.0,38009100
2020-01-20,640.8775024414062,645.0,710.0,635.0,685.0,5973100
2020-01-21,645.8455200195312,650.0,690.0,625.0,650.0,8435300
2020-01-22,606.1011962890625,610.0,660.0,595.0,645.0,4659000
2020-01-23,690.5579223632812,695.0,720.0,590.0,615.0,34930100
2020-01-24,670.6857299804688,675.0,730.0,665.0,705.0,39714500
2020-01-27,635.909423828125,640.0,715.0,620.0,675.0,22764900
2020-01-28,611.0692749023438,615.0,660.0,610.0,640.0,4961700
2020-01-29,621.00537109375,625.0,655.0,610.0,630.0,3811600
2020-01-30,581.260986328125,585.0,635.0,580.0,625.0,3890600
2020-01-31,586.22900390625,590.0,630.0,580.0,590.0,5402200
2020-02-03,546.4847412109375,550.0,610.0,540.0,610.0,3432100
2020-02-04,546.4847412109375,550.0,570.0,545.0,555.0,3757400
2020-02-05,506.7403564453125,510.0,570.0,498.0,560.0,7418400
2020-02-06,556.4207763671875,560.0,600.0,505.0,515.0,31794000
2020-02-07,526.612548828125,530.0,565.0,525.0,565.0,6896000
2020-02-10,521.6444702148438,525.0,550.0,520.0,530.0,2910400
2020-02-11,516.6764526367188,520.0,555.0,520.0,530.0,4241700
2020-02-12,511.7084045410156,515.0,540.0,510.0,530.0,1624800
2020-02-13,478.9193115234375,482.0,530.0,478.0,525.0,7234100
2020-02-14,478.9193115234375,482.0,510.0,480.0,482.0,6853000
2020-02-17,476.9320983886719,480.0,496.0,478.0,482.0,2002200
2020-02-18,470.970458984375,474.0,486.0,472.0,482.0,2322700
2020-02-19,486.8681945800781,490.0,505.0,474.0,476.0,5627400
2020-02-20,478.9193115234375,482.0,505.0,478.0,490.0,3003400
2020-02-21,472.9576721191406,476.0,488.0,474.0,482.0,1258700
2020-02-24,429.2388916015625,432.0,476.0,428.0,474.0,3639400
2020-02-25,415.328369140625,418.0,434.0,410.0,430.0,1907400
2020-02-26,387.50732421875,390.0,418.0,390.0,410.0,2456500
2020-02-27,335.8396911621094,338.0,398.0,338.0,388.0,2624700
2020-02-28,323.9163818359375,326.0,338.0,298.0,330.0,3868800
2020-03-02,381.5456848144531,384.0,406.0,334.0,334.0,22207600
2020-03-03,476.9320983886719,480.0,480.0,390.0,392.0,27258500
2020-03-04,461.03436279296875,464.0,515.0,460.0,480.0,27719200
2020-03-05,486.8681945800781,490.0,555.0,452.0,470.0,36473300
2020-03-06,478.9193115234375,482.0,510.0,476.0,492.0,8472000
