Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,187.4020233154297,218.0,220.0,200.0,220.0,11300
2020-01-03,178.80560302734375,208.0,238.0,200.0,238.0,133300
2020-01-06,173.6477508544922,202.0,208.0,200.0,208.0,20700
2020-01-07,171.928466796875,200.0,202.0,200.0,202.0,12300
2020-01-08,171.928466796875,200.0,204.0,200.0,204.0,15300
2020-01-09,173.6477508544922,202.0,202.0,200.0,200.0,14200
2020-01-10,171.928466796875,200.0,200.0,200.0,200.0,500
2020-01-13,171.928466796875,200.0,200.0,200.0,200.0,1500
2020-01-14,177.08631896972656,206.0,206.0,199.0,200.0,6600
2020-01-15,171.06883239746094,199.0,199.0,199.0,199.0,8100
2020-01-16,171.928466796875,200.0,200.0,199.0,199.0,1500
2020-01-17,171.928466796875,200.0,200.0,198.0,199.0,11600
2020-01-20,170.2091827392578,198.0,200.0,195.0,200.0,19200
2020-01-21,171.06883239746094,199.0,199.0,196.0,196.0,30400
2020-01-22,167.63026428222656,195.0,196.0,195.0,196.0,18300
2020-01-23,163.33204650878906,190.0,190.0,190.0,190.0,3800
2020-01-24,171.928466796875,200.0,200.0,200.0,200.0,100
2020-01-27,171.06883239746094,199.0,210.0,199.0,210.0,2900
2020-01-28,171.06883239746094,199.0,199.0,199.0,199.0,0
2020-01-29,177.08631896972656,206.0,206.0,206.0,206.0,100
2020-01-30,177.08631896972656,206.0,206.0,206.0,206.0,0
2020-01-31,177.08631896972656,206.0,206.0,206.0,206.0,0
2020-02-03,167.63026428222656,195.0,202.0,195.0,200.0,1400
2020-02-04,167.63026428222656,195.0,195.0,195.0,195.0,0
2020-02-05,173.6477508544922,202.0,206.0,202.0,202.0,2900
2020-02-06,164.1916961669922,191.0,204.0,188.0,192.0,32100
2020-02-07,164.1916961669922,191.0,191.0,191.0,191.0,100
2020-02-10,165.05133056640625,192.0,192.0,192.0,192.0,400
2020-02-11,165.05133056640625,192.0,192.0,192.0,192.0,1100
2020-02-12,165.05133056640625,192.0,192.0,192.0,192.0,300
2020-02-13,163.33204650878906,190.0,190.0,190.0,190.0,1400
2020-02-14,163.33204650878906,190.0,190.0,190.0,190.0,1700
2020-02-17,163.33204650878906,190.0,190.0,184.0,190.0,3500
2020-02-18,173.6477508544922,202.0,210.0,200.0,200.0,28000
2020-02-19,165.05133056640625,192.0,202.0,192.0,202.0,1400
2020-02-20,165.05133056640625,192.0,192.0,192.0,192.0,11200
2020-02-21,156.4549102783203,182.0,192.0,182.0,192.0,4100
2020-02-24,163.33204650878906,190.0,195.0,190.0,190.0,10400
2020-02-25,163.33204650878906,190.0,190.0,190.0,190.0,200
2020-02-26,149.57777404785156,174.0,190.0,174.0,190.0,400
2020-02-27,146.1392059326172,170.0,176.0,170.0,176.0,9100
2020-02-28,144.41990661621094,168.0,168.0,168.0,168.0,100
2020-03-02,144.41990661621094,168.0,168.0,168.0,168.0,0
2020-03-03,144.41990661621094,168.0,168.0,168.0,168.0,0
2020-03-04,146.99884033203125,171.0,171.0,161.0,170.0,6200
2020-03-05,154.73562622070312,180.0,188.0,180.0,188.0,7000
2020-03-06,163.33204650878906,190.0,190.0,190.0,190.0,200
2020-03-09,167.63026428222656,195.0,195.0,195.0,195.0,100
2020-03-10,167.63026428222656,195.0,195.0,195.0,195.0,0
2020-03-11,167.63026428222656,195.0,195.0,195.0,195.0,0
2020-03-12,167.63026428222656,195.0,195.0,195.0,195.0,0
2020-03-13,163.33204650878906,190.0,190.0,190.0,190.0,5000
2020-03-16,153.01634216308594,178.0,189.0,178.0,189.0,21600
2020-03-17,153.01634216308594,178.0,178.0,178.0,178.0,2000
2020-03-18,153.01634216308594,178.0,178.0,178.0,178.0,300
2020-03-19,153.01634216308594,178.0,178.0,178.0,178.0,55000
2020-03-20,153.01634216308594,178.0,178.0,178.0,178.0,0
2020-03-23,153.01634216308594,178.0,178.0,178.0,178.0,0
2020-03-24,146.1392059326172,170.0,185.0,170.0,185.0,3000
2020-03-26,146.1392059326172,170.0,170.0,170.0,170.0,16300
2020-03-27,171.928466796875,200.0,200.0,170.0,170.0,200
2020-03-30,171.928466796875,200.0,200.0,200.0,200.0,100
2020-03-31,170.2091827392578,198.0,198.0,198.0,198.0,2300
2020-04-01,170.2091827392578,198.0,198.0,198.0,198.0,1000
