Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,67.0,67.0,68.0,66.0,67.0,1097000
2020-01-03,68.0,68.0,68.0,66.0,67.0,640000
2020-01-06,68.0,68.0,68.0,66.0,68.0,32989400
2020-01-07,67.0,67.0,68.0,67.0,68.0,1872400
2020-01-08,68.0,68.0,68.0,67.0,67.0,2927900
2020-01-09,66.0,66.0,68.0,65.0,68.0,33372600
2020-01-10,67.0,67.0,68.0,66.0,67.0,6919800
2020-01-13,69.0,69.0,69.0,67.0,67.0,32312800
2020-01-14,93.0,93.0,93.0,69.0,69.0,34119500
2020-01-15,106.0,106.0,125.0,94.0,101.0,213109500
2020-01-16,104.0,104.0,113.0,95.0,107.0,23900500
2020-01-17,116.0,116.0,124.0,105.0,105.0,72034300
2020-01-20,113.0,113.0,121.0,106.0,106.0,51371600
2020-01-21,134.0,134.0,135.0,111.0,112.0,44652300
2020-01-22,136.0,136.0,146.0,132.0,141.0,120193800
2020-01-23,140.0,140.0,142.0,127.0,127.0,47178900
2020-01-24,145.0,145.0,147.0,140.0,140.0,49298800
2020-01-27,164.0,164.0,169.0,145.0,146.0,97485200
2020-01-28,173.0,173.0,174.0,151.0,165.0,92908600
2020-01-29,177.0,177.0,178.0,172.0,173.0,29959200
2020-01-30,178.0,178.0,181.0,175.0,176.0,40750400
2020-01-31,154.0,154.0,178.0,154.0,178.0,83704100
2020-02-03,137.0,137.0,154.0,136.0,154.0,19154400
2020-02-04,138.0,138.0,139.0,125.0,137.0,12002300
2020-02-05,138.0,138.0,158.0,136.0,141.0,62713600
2020-02-06,129.0,129.0,140.0,129.0,138.0,5701300
2020-02-07,116.0,116.0,130.0,114.0,129.0,9081200
2020-02-10,111.0,111.0,130.0,110.0,116.0,16005500
2020-02-11,120.0,120.0,125.0,107.0,116.0,13394300
2020-02-12,123.0,123.0,131.0,114.0,122.0,27121000
2020-02-13,114.0,114.0,124.0,112.0,124.0,5203300
2020-02-14,140.0,140.0,140.0,112.0,115.0,22206800
2020-02-17,151.0,151.0,152.0,127.0,142.0,25587000
2020-02-18,154.0,154.0,156.0,150.0,152.0,43441900
2020-02-19,159.0,159.0,159.0,153.0,155.0,18907600
2020-02-20,160.0,160.0,164.0,156.0,159.0,28210600
2020-02-21,159.0,159.0,161.0,158.0,160.0,3913600
2020-02-24,149.0,149.0,159.0,149.0,158.0,14357000
2020-02-25,142.0,142.0,151.0,141.0,149.0,1114700
2020-02-26,129.0,129.0,142.0,129.0,141.0,5612100
2020-02-27,122.0,122.0,129.0,121.0,124.0,2904400
2020-02-28,117.0,117.0,121.0,110.0,121.0,1285500
2020-03-02,136.0,136.0,145.0,116.0,116.0,34497200
2020-03-03,145.0,145.0,149.0,135.0,137.0,28542300
2020-03-04,148.0,148.0,151.0,139.0,145.0,17214400
2020-03-05,142.0,142.0,151.0,141.0,148.0,31345800
2020-03-06,149.0,149.0,150.0,141.0,141.0,34082800
2020-03-09,148.0,148.0,157.0,148.0,148.0,74410100
2020-03-10,154.0,154.0,157.0,147.0,147.0,58794500
2020-03-11,147.0,147.0,157.0,147.0,154.0,33196700
2020-03-12,135.0,135.0,147.0,135.0,146.0,12205900
2020-03-13,126.0,126.0,130.0,126.0,130.0,482600
2020-03-16,126.0,126.0,126.0,126.0,126.0,0
2020-03-17,113.0,113.0,116.0,111.0,113.0,2308900
2020-03-18,112.0,112.0,124.0,110.0,114.0,31098200
2020-03-19,105.0,105.0,113.0,105.0,113.0,8842800
2020-03-20,117.0,117.0,119.0,98.0,104.0,18287800
2020-03-23,109.0,109.0,117.0,109.0,117.0,5481600
2020-03-24,102.0,102.0,116.0,102.0,105.0,26828400
2020-03-26,116.0,116.0,134.0,109.0,109.0,110628700
2020-03-27,119.0,119.0,126.0,115.0,118.0,71912800
2020-03-30,111.0,111.0,119.0,111.0,119.0,2719600
2020-03-31,122.0,122.0,133.0,111.0,113.0,56291700
2020-04-01,114.0,114.0,131.0,114.0,131.0,65269700
2020-04-02,107.0,107.0,115.0,107.0,110.0,94064600
2020-04-03,104.0,104.0,108.0,100.0,105.0,86768300
2020-04-06,97.0,97.0,106.0,97.0,104.0,79670700
2020-04-07,91.0,91.0,97.0,91.0,97.0,44744800
2020-04-08,86.0,86.0,91.0,85.0,89.0,16849400
2020-04-09,82.0,82.0,88.0,81.0,88.0,3790500
2020-04-13,84.0,84.0,90.0,83.0,90.0,6571700
2020-04-14,90.0,90.0,91.0,80.0,86.0,13267200
2020-04-15,86.0,86.0,91.0,84.0,84.0,4827100
2020-04-16,83.0,83.0,86.0,80.0,86.0,3128800
2020-04-17,81.0,81.0,87.0,79.0,79.0,3180300
2020-04-20,80.0,80.0,82.0,77.0,77.0,1301700
2020-04-21,75.0,75.0,80.0,75.0,80.0,3604900
2020-04-22,70.0,70.0,75.0,70.0,75.0,4135000
2020-04-23,90.0,90.0,91.0,67.0,67.0,57371100
2020-04-24,84.0,84.0,95.0,84.0,92.0,16323300
2020-04-27,79.0,79.0,80.0,79.0,79.0,906100
2020-04-28,74.0,74.0,80.0,74.0,80.0,1075000
2020-04-29,76.0,76.0,84.0,69.0,70.0,20265200
2020-04-30,72.0,72.0,77.0,71.0,71.0,5450500
2020-05-04,71.0,71.0,75.0,68.0,68.0,3302500
2020-05-05,72.0,72.0,75.0,68.0,68.0,1467500
2020-05-06,70.0,70.0,74.0,70.0,73.0,1665900
2020-05-08,70.0,70.0,79.0,70.0,75.0,3530300
2020-05-11,69.0,69.0,75.0,69.0,70.0,2451100
2020-05-12,67.0,67.0,70.0,65.0,65.0,1739500
2020-05-13,67.0,67.0,70.0,66.0,69.0,1488300
