Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,773.82470703125,1400.0,1425.0,1350.0,1425.0,49400
2020-01-03,773.82470703125,1400.0,1415.0,1395.0,1400.0,49900
2020-01-06,768.2974853515625,1390.0,1400.0,1320.0,1400.0,20500
2020-01-07,768.2974853515625,1390.0,1400.0,1370.0,1400.0,46100
2020-01-08,768.2974853515625,1390.0,1400.0,1390.0,1400.0,6200
2020-01-09,773.82470703125,1400.0,1400.0,1390.0,1390.0,11500
2020-01-10,773.82470703125,1400.0,1400.0,1380.0,1395.0,194000
2020-01-13,765.5338134765625,1385.0,1400.0,1375.0,1385.0,144900
2020-01-14,765.5338134765625,1385.0,1420.0,1380.0,1380.0,33100
2020-01-15,751.7155151367188,1360.0,1390.0,1350.0,1350.0,184700
2020-01-16,754.4791870117188,1365.0,1385.0,1350.0,1350.0,3600
2020-01-17,746.1882934570312,1350.0,1395.0,1350.0,1350.0,80400
2020-01-20,751.7155151367188,1360.0,1395.0,1310.0,1310.0,121400
2020-01-21,748.951904296875,1355.0,1360.0,1350.0,1360.0,55300
2020-01-22,729.6062622070312,1320.0,1390.0,1320.0,1360.0,341800
2020-01-23,765.5338134765625,1385.0,1385.0,1340.0,1340.0,1300
2020-01-24,740.6608276367188,1340.0,1350.0,1320.0,1350.0,14300
2020-01-27,729.6062622070312,1320.0,1380.0,1310.0,1380.0,39400
2020-01-28,729.6062622070312,1320.0,1320.0,1300.0,1320.0,92100
2020-01-29,732.3698120117188,1325.0,1380.0,1320.0,1380.0,4800
2020-01-30,682.6239013671875,1235.0,1350.0,1185.0,1350.0,107900
2020-01-31,685.3877563476562,1240.0,1270.0,1200.0,1200.0,2300
2020-02-03,679.8602294921875,1230.0,1250.0,1230.0,1230.0,4300
2020-02-04,715.7879028320312,1295.0,1295.0,1260.0,1260.0,4500
2020-02-05,724.078857421875,1310.0,1375.0,1295.0,1295.0,128600
2020-02-06,718.5515747070312,1300.0,1300.0,1250.0,1300.0,19600
2020-02-07,718.5515747070312,1300.0,1300.0,1300.0,1300.0,1400
2020-02-10,707.4969482421875,1280.0,1350.0,1280.0,1290.0,14200
2020-02-11,707.4969482421875,1280.0,1280.0,1280.0,1280.0,500
2020-02-12,707.4969482421875,1280.0,1280.0,1280.0,1280.0,0
2020-02-13,707.4969482421875,1280.0,1325.0,1280.0,1280.0,300
2020-02-14,724.078857421875,1310.0,1325.0,1280.0,1325.0,4400
2020-02-17,693.6786499023438,1255.0,1290.0,1215.0,1280.0,49400
2020-02-18,688.1513061523438,1245.0,1260.0,1215.0,1220.0,528500
2020-02-19,679.8602294921875,1230.0,1250.0,1210.0,1210.0,17700
2020-02-20,666.0419921875,1205.0,1250.0,1195.0,1195.0,194500
2020-02-21,641.1691284179688,1160.0,1295.0,1150.0,1170.0,212300
2020-02-24,638.4054565429688,1155.0,1200.0,1150.0,1185.0,103000
2020-02-25,608.0051879882812,1100.0,1155.0,1100.0,1150.0,124600
2020-02-26,632.8781127929688,1145.0,1185.0,950.0,1100.0,3200
2020-02-27,563.7866821289062,1020.0,1110.0,1015.0,1110.0,100700
2020-02-28,552.7320556640625,1000.0,1045.0,980.0,1010.0,152500
2020-03-02,525.0953979492188,950.0,1000.0,905.0,960.0,287500
2020-03-03,538.9136962890625,975.0,1100.0,925.0,925.0,12200
2020-03-04,552.7320556640625,1000.0,1030.0,955.0,960.0,446600
2020-03-05,552.7320556640625,1000.0,1180.0,1000.0,1060.0,5000
2020-03-06,602.4778442382812,1090.0,1095.0,955.0,980.0,158000
2020-03-09,527.8590698242188,955.0,1105.0,925.0,1090.0,63000
2020-03-10,541.6773071289062,980.0,995.0,965.0,965.0,77400
2020-03-11,530.6227416992188,960.0,1100.0,955.0,1100.0,130800
2020-03-12,491.9314880371094,890.0,940.0,890.0,940.0,170500
2020-03-13,464.29486083984375,840.0,890.0,830.0,870.0,57500
2020-03-16,433.8946228027344,785.0,850.0,785.0,850.0,118300
2020-03-17,406.25799560546875,735.0,785.0,735.0,785.0,173500
2020-03-18,378.6214599609375,685.0,735.0,685.0,735.0,420600
2020-03-19,353.74847412109375,640.0,680.0,640.0,645.0,163200
2020-03-20,397.9670104980469,720.0,720.0,625.0,625.0,26700
2020-03-23,370.3304138183594,670.0,720.0,670.0,720.0,63000
2020-03-24,370.3304138183594,670.0,780.0,650.0,670.0,22700
2020-03-26,442.185546875,800.0,800.0,715.0,715.0,70900
2020-03-27,442.185546875,800.0,800.0,750.0,800.0,258300
2020-03-30,411.78533935546875,745.0,750.0,745.0,750.0,62800
2020-03-31,409.02166748046875,740.0,825.0,705.0,705.0,27600
2020-04-01,420.0762939453125,760.0,800.0,760.0,790.0,1700
2020-04-02,433.8946228027344,785.0,790.0,745.0,745.0,3800
2020-04-03,497.4588317871094,900.0,930.0,800.0,800.0,5700
2020-04-06,522.3317260742188,945.0,995.0,920.0,955.0,47400
2020-04-07,552.7320556640625,1000.0,1045.0,955.0,1045.0,20000
2020-04-08,514.040771484375,930.0,1000.0,930.0,1000.0,115400
2020-04-09,500.222412109375,905.0,940.0,885.0,940.0,4600
2020-04-13,497.4588317871094,900.0,905.0,845.0,905.0,62000
2020-04-14,497.4588317871094,900.0,930.0,870.0,900.0,127600
2020-04-15,464.29486083984375,840.0,900.0,840.0,900.0,177100
2020-04-16,442.185546875,800.0,870.0,785.0,870.0,137700
2020-04-17,456.0038757324219,825.0,880.0,800.0,800.0,114400
2020-04-20,464.29486083984375,840.0,855.0,840.0,850.0,11000
2020-04-21,433.8946228027344,785.0,870.0,785.0,870.0,475100
2020-04-22,406.25799560546875,735.0,790.0,735.0,790.0,1255900
2020-04-23,392.439697265625,710.0,760.0,705.0,745.0,76100
2020-04-24,370.3304138183594,670.0,745.0,665.0,710.0,619200
2020-04-27,370.3304138183594,670.0,700.0,670.0,670.0,1025300
2020-04-28,370.3304138183594,670.0,695.0,660.0,670.0,1048500
2020-04-29,392.439697265625,710.0,730.0,670.0,670.0,3835500
2020-04-30,395.203369140625,715.0,730.0,700.0,720.0,8930700
2020-05-04,386.912353515625,700.0,735.0,700.0,735.0,1570200
2020-05-05,386.912353515625,700.0,720.0,695.0,720.0,726100
2020-05-06,397.9670104980469,720.0,720.0,690.0,720.0,2210600
2020-05-08,417.3126220703125,755.0,755.0,705.0,730.0,1697400
2020-05-11,411.78533935546875,745.0,775.0,735.0,775.0,3620200
2020-05-12,397.9670104980469,720.0,770.0,720.0,770.0,623800
2020-05-13,406.25799560546875,735.0,745.0,720.0,745.0,28500
2020-05-14,400.7306823730469,725.0,755.0,720.0,755.0,6200
2020-05-15,403.4943542480469,730.0,745.0,715.0,745.0,41700
2020-05-18,403.4943542480469,730.0,750.0,730.0,750.0,9000
2020-05-19,406.25799560546875,735.0,750.0,720.0,750.0,261400
2020-05-20,409.02166748046875,740.0,750.0,725.0,750.0,47900
2020-05-26,409.02166748046875,740.0,750.0,740.0,740.0,80100
2020-05-27,409.02166748046875,740.0,740.0,735.0,740.0,1367200
2020-05-28,411.78533935546875,745.0,760.0,740.0,760.0,520000
2020-05-29,411.78533935546875,745.0,760.0,745.0,760.0,1046700
2020-06-02,472.5858154296875,855.0,895.0,765.0,765.0,468200
2020-06-03,442.185546875,800.0,865.0,800.0,865.0,1329800
2020-06-04,433.8946228027344,785.0,825.0,765.0,810.0,570200
2020-06-05,444.9492492675781,805.0,810.0,785.0,790.0,165400
2020-06-08,489.16778564453125,885.0,900.0,810.0,830.0,724900
2020-06-09,502.986083984375,910.0,950.0,865.0,910.0,213900
2020-06-10,483.64044189453125,875.0,940.0,850.0,940.0,210500
2020-06-11,478.1131591796875,865.0,895.0,820.0,820.0,94600
2020-06-12,472.5858154296875,855.0,890.0,805.0,890.0,16000
2020-06-15,480.8768005371094,870.0,895.0,830.0,830.0,104000
2020-06-16,497.4588317871094,900.0,905.0,875.0,905.0,110700
2020-06-17,505.749755859375,915.0,930.0,900.0,910.0,154600
2020-06-18,502.986083984375,910.0,920.0,900.0,920.0,19500
2020-06-19,500.222412109375,905.0,920.0,905.0,910.0,42100
2020-06-22,494.695068359375,895.0,930.0,895.0,930.0,62800
2020-06-23,494.695068359375,895.0,905.0,895.0,895.0,131200
2020-06-24,500.222412109375,905.0,910.0,890.0,910.0,61500
2020-06-25,497.4588317871094,900.0,910.0,890.0,890.0,124800
2020-06-26,538.9136962890625,975.0,1035.0,890.0,890.0,576800
2020-06-29,516.8043823242188,935.0,1010.0,910.0,1000.0,914000
2020-06-30,561.02294921875,1015.0,1020.0,960.0,960.0,1768800
2020-07-01,552.7320556640625,1000.0,1050.0,975.0,1050.0,813400
2020-07-02,624.5870971679688,1130.0,1190.0,1020.0,1020.0,5067600
2020-07-03,610.7688598632812,1105.0,1160.0,1090.0,1140.0,4815000
2020-07-06,613.5325317382812,1110.0,1135.0,1085.0,1135.0,5150900
2020-07-07,588.6596069335938,1065.0,1130.0,1045.0,1115.0,9343500
2020-07-08,606.9598388671875,995.0,995.0,995.0,995.0,344200
2020-07-09,567.3092041015625,930.0,930.0,930.0,930.0,360800
2020-07-10,527.6585693359375,865.0,910.0,865.0,870.0,2511100
2020-07-13,536.8087768554688,880.0,900.0,840.0,865.0,1348100
2020-07-14,530.7086181640625,870.0,890.0,865.0,880.0,389300
2020-07-15,533.7586669921875,875.0,885.0,865.0,875.0,422900
2020-07-16,533.7586669921875,875.0,875.0,865.0,875.0,680900
2020-07-17,527.6585693359375,865.0,880.0,865.0,875.0,319100
2020-07-20,524.6085815429688,860.0,875.0,855.0,865.0,326200
2020-07-21,521.5584716796875,855.0,870.0,845.0,860.0,660000
2020-07-22,521.5584716796875,855.0,865.0,850.0,860.0,354100
2020-07-23,515.4584350585938,845.0,860.0,845.0,855.0,517000
2020-07-24,515.4584350585938,845.0,850.0,830.0,840.0,456700
2020-07-27,509.3582763671875,835.0,845.0,830.0,845.0,235500
2020-07-28,497.1581115722656,815.0,835.0,815.0,835.0,491500
2020-07-29,494.1080017089844,810.0,820.0,805.0,815.0,279700
2020-07-30,491.05804443359375,805.0,810.0,800.0,810.0,272300
2020-08-03,475.8077392578125,780.0,815.0,760.0,805.0,728400
2020-08-04,491.05804443359375,805.0,815.0,770.0,780.0,230200
2020-08-05,494.1080017089844,810.0,810.0,790.0,805.0,656900
