Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,1040.0,1040.0,1100.0,905.0,1100.0,20100
2020-01-03,780.0,780.0,1040.0,780.0,1040.0,100100
2020-01-06,585.0,585.0,750.0,585.0,750.0,61200
2020-01-07,440.0,440.0,585.0,440.0,575.0,59800
2020-01-08,440.0,440.0,440.0,440.0,440.0,0
2020-01-09,338.0,338.0,530.0,338.0,440.0,193000
2020-01-10,338.0,338.0,338.0,338.0,338.0,0
2020-01-13,338.0,338.0,338.0,338.0,338.0,0
2020-01-14,338.0,338.0,338.0,338.0,338.0,0
2020-01-15,338.0,338.0,338.0,338.0,338.0,0
2020-01-16,338.0,338.0,338.0,338.0,338.0,0
2020-01-17,338.0,338.0,338.0,338.0,338.0,0
2020-01-20,338.0,338.0,338.0,338.0,338.0,0
2020-01-21,338.0,338.0,338.0,338.0,338.0,0
2020-01-22,338.0,338.0,338.0,338.0,338.0,0
2020-01-23,324.0,324.0,418.0,254.0,338.0,216100
2020-01-24,288.0,288.0,344.0,288.0,324.0,42800
2020-01-27,284.0,284.0,356.0,252.0,272.0,37600
2020-01-28,270.0,270.0,280.0,260.0,280.0,13900
2020-01-29,270.0,270.0,298.0,270.0,298.0,6900
2020-01-30,288.0,288.0,288.0,212.0,272.0,15300
2020-01-31,270.0,270.0,288.0,270.0,288.0,900
2020-02-03,268.0,268.0,268.0,230.0,230.0,200
2020-02-04,268.0,268.0,282.0,240.0,268.0,3700
2020-02-05,202.0,202.0,264.0,202.0,264.0,26100
2020-02-06,228.0,228.0,228.0,162.0,202.0,11500
2020-02-07,236.0,236.0,250.0,228.0,228.0,4600
2020-02-10,248.0,248.0,250.0,248.0,250.0,1400
2020-02-11,246.0,246.0,246.0,234.0,240.0,700
2020-02-12,242.0,242.0,242.0,212.0,242.0,700
2020-02-13,260.0,260.0,260.0,248.0,248.0,1600
2020-02-14,258.0,258.0,260.0,202.0,254.0,1900
2020-02-17,246.0,246.0,258.0,236.0,258.0,1700
2020-02-18,246.0,246.0,254.0,232.0,254.0,400
2020-02-19,238.0,238.0,240.0,220.0,240.0,2900
2020-02-20,272.0,272.0,272.0,224.0,250.0,12800
2020-02-21,270.0,270.0,272.0,232.0,272.0,1900
2020-02-24,282.0,282.0,282.0,240.0,252.0,600
