Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,835.8024291992188,990.0,990.0,985.0,985.0,4600
2020-01-03,831.5812377929688,985.0,990.0,985.0,990.0,2600
2020-01-06,831.5812377929688,985.0,985.0,985.0,985.0,500
2020-01-07,823.1387939453125,975.0,985.0,975.0,985.0,600
2020-01-08,802.03271484375,950.0,950.0,950.0,950.0,1000
2020-01-09,831.5812377929688,985.0,990.0,985.0,990.0,3500
2020-01-10,831.5812377929688,985.0,985.0,985.0,985.0,1800
2020-01-13,831.5812377929688,985.0,995.0,985.0,985.0,1700
2020-01-14,840.023681640625,995.0,995.0,985.0,985.0,1200
2020-01-15,831.5812377929688,985.0,985.0,980.0,985.0,9300
2020-01-16,827.3600463867188,980.0,980.0,980.0,980.0,1500
2020-01-17,806.25390625,955.0,955.0,950.0,955.0,1800
2020-01-20,793.5902099609375,940.0,955.0,940.0,955.0,33100
2020-01-21,793.5902099609375,940.0,940.0,940.0,940.0,4300
2020-01-22,776.7053833007812,920.0,940.0,920.0,940.0,138400
2020-01-23,776.7053833007812,920.0,920.0,920.0,920.0,100000
2020-01-24,776.7053833007812,920.0,920.0,920.0,920.0,100000
2020-01-27,776.7053833007812,920.0,920.0,920.0,920.0,1400
2020-01-28,776.7053833007812,920.0,920.0,920.0,920.0,5200
2020-01-29,776.7053833007812,920.0,920.0,920.0,920.0,1300
2020-01-30,772.484130859375,915.0,915.0,915.0,915.0,2700
2020-01-31,772.484130859375,915.0,915.0,915.0,915.0,200
2020-02-03,772.484130859375,915.0,915.0,915.0,915.0,0
2020-02-04,772.484130859375,915.0,915.0,915.0,915.0,200
2020-02-05,772.484130859375,915.0,915.0,915.0,915.0,200
2020-02-06,772.484130859375,915.0,915.0,915.0,915.0,100
2020-02-07,772.484130859375,915.0,915.0,915.0,915.0,1700
2020-02-10,755.5991821289062,895.0,895.0,895.0,895.0,100
2020-02-11,755.5991821289062,895.0,895.0,890.0,890.0,5500
2020-02-12,755.5991821289062,895.0,895.0,895.0,895.0,3800
2020-02-13,730.2718505859375,865.0,895.0,865.0,895.0,1100
2020-02-14,730.2718505859375,865.0,865.0,865.0,865.0,17300
2020-02-17,726.0505981445312,860.0,865.0,850.0,850.0,105800
2020-02-18,726.0505981445312,860.0,860.0,855.0,860.0,7400
2020-02-19,726.0505981445312,860.0,870.0,860.0,860.0,68300
2020-02-20,717.608154296875,850.0,860.0,845.0,860.0,193200
2020-02-21,713.386962890625,845.0,850.0,845.0,850.0,12500
2020-02-24,709.1657104492188,840.0,850.0,840.0,845.0,12700
2020-02-25,704.9445190429688,835.0,840.0,835.0,840.0,67400
2020-02-26,700.7232055664062,830.0,830.0,830.0,830.0,900
2020-02-27,696.5020751953125,825.0,830.0,825.0,830.0,1900
2020-02-28,696.5020751953125,825.0,825.0,820.0,825.0,6800
2020-03-02,696.5020751953125,825.0,825.0,825.0,825.0,300
2020-03-03,683.83837890625,810.0,810.0,800.0,800.0,3100
2020-03-04,679.6171875,805.0,810.0,805.0,810.0,12500
2020-03-05,671.1746826171875,795.0,805.0,795.0,805.0,12600
2020-03-06,658.5110473632812,780.0,795.0,765.0,795.0,2000
2020-03-09,658.5110473632812,780.0,780.0,775.0,780.0,4800
2020-03-10,658.5110473632812,780.0,780.0,775.0,775.0,1400
2020-03-11,645.8473510742188,765.0,780.0,765.0,780.0,800
2020-03-12,582.5289916992188,690.0,765.0,690.0,765.0,3100
2020-03-13,582.5289916992188,690.0,690.0,690.0,690.0,0
2020-03-16,582.5289916992188,690.0,690.0,690.0,690.0,0
2020-03-17,506.54693603515625,600.0,615.0,580.0,615.0,17100
2020-03-18,472.77716064453125,560.0,600.0,560.0,600.0,8800
2020-03-19,443.22857666015625,525.0,525.0,525.0,525.0,2700
2020-03-20,413.6800231933594,490.0,515.0,490.0,515.0,27500
2020-03-23,405.237548828125,480.0,490.0,480.0,490.0,14300
2020-03-24,388.3526916503906,460.0,490.0,460.0,480.0,12500
2020-03-26,388.3526916503906,460.0,462.0,448.0,460.0,265000
2020-03-27,379.91021728515625,450.0,490.0,450.0,460.0,111200
2020-03-30,359.6483459472656,426.0,450.0,420.0,450.0,15700
2020-03-31,368.09075927734375,436.0,436.0,420.0,420.0,100200
2020-04-01,405.237548828125,480.0,500.0,436.0,436.0,142800
2020-04-02,405.237548828125,480.0,530.0,480.0,480.0,122200
2020-04-03,498.1044921875,590.0,600.0,480.0,480.0,253800
2020-04-06,506.54693603515625,600.0,630.0,575.0,600.0,104200
2020-04-07,506.54693603515625,600.0,610.0,560.0,595.0,13000
2020-04-08,506.54693603515625,600.0,600.0,560.0,600.0,17500
2020-04-09,493.88323974609375,585.0,600.0,560.0,570.0,29000
2020-04-13,489.6620788574219,580.0,595.0,545.0,580.0,8300
2020-04-14,455.89227294921875,540.0,580.0,540.0,575.0,106900
2020-04-15,451.6710205078125,535.0,560.0,535.0,540.0,131600
2020-04-16,447.4497985839844,530.0,530.0,510.0,510.0,3500
2020-04-17,418.7454833984375,496.0,530.0,496.0,530.0,77700
2020-04-20,390.0411376953125,462.0,500.0,462.0,496.0,658300
2020-04-21,363.0252990722656,430.0,462.0,430.0,462.0,629700
2020-04-22,337.69793701171875,400.0,450.0,400.0,430.0,3120000
2020-04-23,329.2555236816406,390.0,410.0,388.0,408.0,1996000
2020-04-24,346.1404113769531,410.0,438.0,394.0,404.0,2291800
2020-04-27,346.1404113769531,410.0,438.0,406.0,416.0,267300
2020-04-28,352.8943786621094,418.0,420.0,410.0,410.0,67100
2020-04-29,351.20587158203125,416.0,430.0,416.0,420.0,156300
2020-04-30,351.20587158203125,416.0,450.0,416.0,428.0,820500
2020-05-04,351.20587158203125,416.0,420.0,412.0,416.0,572100
2020-05-05,346.1404113769531,410.0,428.0,410.0,428.0,545300
2020-05-06,346.1404113769531,410.0,416.0,410.0,412.0,240800
2020-05-08,344.4519348144531,408.0,414.0,408.0,410.0,260400
2020-05-11,359.6483459472656,426.0,428.0,398.0,410.0,154100
2020-05-12,352.8943786621094,418.0,430.0,410.0,410.0,533100
2020-05-13,354.5828552246094,420.0,420.0,414.0,418.0,81100
2020-05-14,352.8943786621094,418.0,422.0,418.0,420.0,123000
2020-05-15,347.82891845703125,412.0,418.0,412.0,418.0,102000
2020-05-18,351.20587158203125,416.0,420.0,412.0,414.0,278100
2020-05-19,354.5828552246094,420.0,428.0,414.0,420.0,147400
2020-05-20,354.5828552246094,420.0,426.0,416.0,420.0,233500
2020-05-26,366.40228271484375,434.0,442.0,420.0,420.0,385700
2020-05-27,379.91021728515625,450.0,484.0,438.0,438.0,433200
2020-05-28,388.3526916503906,460.0,480.0,450.0,450.0,128100
2020-05-29,393.4181213378906,466.0,484.0,466.0,466.0,139100
2020-06-02,451.6710205078125,535.0,540.0,470.0,470.0,578800
2020-06-03,447.4497985839844,530.0,555.0,505.0,535.0,114100
2020-06-04,439.0073547363281,520.0,580.0,520.0,530.0,358800
2020-06-05,464.3346862792969,550.0,570.0,515.0,535.0,504100
2020-06-08,460.1134948730469,545.0,590.0,545.0,560.0,833400
2020-06-09,447.4497985839844,530.0,565.0,520.0,545.0,433400
2020-06-10,422.1224670410156,500.0,535.0,494.0,535.0,242400
2020-06-11,418.7454833984375,496.0,510.0,478.0,500.0,347400
2020-06-12,451.6710205078125,535.0,535.0,480.0,490.0,256500
2020-06-15,434.7861328125,515.0,560.0,515.0,535.0,329000
2020-06-16,447.4497985839844,530.0,535.0,510.0,515.0,141600
2020-06-17,455.89227294921875,540.0,540.0,520.0,530.0,176800
2020-06-18,460.1134948730469,545.0,555.0,540.0,540.0,254400
2020-06-19,464.3346862792969,550.0,555.0,535.0,555.0,134600
2020-06-22,439.0073547363281,520.0,560.0,520.0,550.0,280800
2020-06-23,451.6710205078125,535.0,540.0,515.0,535.0,277900
2020-06-24,451.6710205078125,535.0,540.0,530.0,535.0,98300
2020-06-25,439.0073547363281,520.0,530.0,510.0,530.0,156900
2020-06-26,439.0073547363281,520.0,535.0,510.0,530.0,131200
2020-06-29,434.7861328125,515.0,530.0,510.0,520.0,136700
2020-06-30,447.4497985839844,530.0,535.0,510.0,515.0,156700
2020-07-01,447.4497985839844,530.0,535.0,520.0,535.0,157000
2020-07-02,455.89227294921875,540.0,540.0,530.0,535.0,115300
2020-07-03,447.4497985839844,530.0,550.0,525.0,540.0,191900
2020-07-06,447.4497985839844,530.0,550.0,525.0,550.0,140400
2020-07-07,447.4497985839844,530.0,535.0,525.0,535.0,393400
2020-07-08,447.4497985839844,530.0,530.0,525.0,530.0,635900
2020-07-09,455.89227294921875,540.0,545.0,530.0,530.0,43700
2020-07-10,451.6710205078125,535.0,550.0,535.0,550.0,115000
2020-07-13,451.6710205078125,535.0,545.0,530.0,540.0,122600
2020-07-14,455.89227294921875,540.0,540.0,535.0,535.0,79700
2020-07-15,455.89227294921875,540.0,550.0,535.0,540.0,331200
2020-07-16,468.5559387207031,555.0,575.0,530.0,540.0,452500
2020-07-17,464.3346862792969,550.0,560.0,550.0,560.0,21400
2020-07-20,451.6710205078125,535.0,555.0,535.0,550.0,155700
2020-07-21,455.89227294921875,540.0,545.0,530.0,535.0,104600
2020-07-22,464.3346862792969,550.0,555.0,545.0,550.0,49900
2020-07-23,460.1134948730469,545.0,550.0,540.0,550.0,61100
2020-07-24,455.89227294921875,540.0,550.0,540.0,545.0,132000
2020-07-27,455.89227294921875,540.0,560.0,535.0,540.0,92600
2020-07-28,447.4497985839844,530.0,545.0,530.0,540.0,115500
2020-07-29,455.89227294921875,540.0,545.0,530.0,530.0,87100
2020-07-30,443.22857666015625,525.0,540.0,520.0,540.0,278200
2020-08-03,434.7861328125,515.0,530.0,500.0,525.0,265600
2020-08-04,439.0073547363281,520.0,520.0,500.0,515.0,44600
2020-08-05,434.7861328125,515.0,525.0,510.0,520.0,71000
2020-08-06,455.89227294921875,540.0,540.0,510.0,515.0,89200
2020-08-07,455.89227294921875,540.0,540.0,525.0,535.0,64500
2020-08-10,447.4497985839844,530.0,540.0,530.0,540.0,188000
2020-08-11,439.0073547363281,520.0,535.0,520.0,530.0,140200
2020-08-12,447.4497985839844,530.0,535.0,515.0,520.0,20600
2020-08-13,451.6710205078125,535.0,535.0,510.0,515.0,16300
2020-08-14,451.6710205078125,535.0,550.0,525.0,525.0,596700
2020-08-18,502.32574462890625,595.0,630.0,535.0,535.0,216600
2020-08-19,493.88323974609375,585.0,600.0,555.0,595.0,129200
2020-08-24,481.2196350097656,570.0,585.0,555.0,585.0,79700
2020-08-25,481.2196350097656,570.0,580.0,545.0,555.0,138900
2020-08-26,455.89227294921875,540.0,560.0,535.0,550.0,756400
2020-08-27,426.34368896484375,505.0,540.0,505.0,540.0,1981800
2020-08-28,426.34368896484375,505.0,510.0,496.0,505.0,558000
2020-08-31,426.34368896484375,505.0,520.0,505.0,510.0,302600
2020-09-01,434.7861328125,515.0,515.0,505.0,505.0,19200
2020-09-02,439.0073547363281,520.0,525.0,515.0,520.0,124400
2020-09-03,439.0073547363281,520.0,525.0,510.0,520.0,196600
2020-09-04,434.7861328125,515.0,520.0,505.0,515.0,75200
2020-09-07,434.7861328125,515.0,515.0,505.0,515.0,130800
2020-09-08,439.0073547363281,520.0,520.0,515.0,515.0,219300
