Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,1304.558349609375,1370.0,1370.0,1310.0,1335.0,4365700
2020-01-03,1275.9913330078125,1340.0,1400.0,1325.0,1380.0,3589100
2020-01-06,1256.94677734375,1320.0,1360.0,1310.0,1330.0,1335200
2020-01-07,1256.94677734375,1320.0,1345.0,1300.0,1320.0,750200
2020-01-08,1214.0963134765625,1275.0,1320.0,1275.0,1320.0,1709200
2020-01-09,1242.6632080078125,1305.0,1310.0,1275.0,1275.0,1528000
2020-01-10,1233.140869140625,1295.0,1315.0,1285.0,1310.0,1052200
2020-01-13,1237.902099609375,1300.0,1300.0,1280.0,1295.0,1474800
2020-01-14,1228.379638671875,1290.0,1300.0,1280.0,1300.0,1155000
2020-01-15,1180.76806640625,1240.0,1300.0,1235.0,1295.0,2623600
2020-01-16,1166.484619140625,1225.0,1250.0,1220.0,1240.0,3606600
2020-01-17,1190.2904052734375,1250.0,1255.0,1220.0,1225.0,1156100
2020-01-20,1171.245849609375,1230.0,1260.0,1225.0,1250.0,1049300
2020-01-21,1152.201171875,1210.0,1235.0,1205.0,1230.0,888900
2020-01-22,1137.9176025390625,1195.0,1210.0,1185.0,1210.0,1180700
2020-01-23,1128.3953857421875,1185.0,1210.0,1185.0,1210.0,1622400
2020-01-24,1152.201171875,1210.0,1220.0,1185.0,1185.0,901800
2020-01-27,1133.156494140625,1190.0,1210.0,1165.0,1210.0,2820800
2020-01-28,1118.873046875,1175.0,1190.0,1165.0,1180.0,1579600
2020-01-29,1109.3507080078125,1165.0,1195.0,1165.0,1185.0,1440900
2020-01-30,1095.067138671875,1150.0,1165.0,1140.0,1165.0,1616400
2020-01-31,1104.5894775390625,1160.0,1170.0,1145.0,1145.0,2100100
2020-02-03,1071.2613525390625,1125.0,1160.0,1115.0,1160.0,3383600
2020-02-04,1076.0225830078125,1130.0,1135.0,1110.0,1130.0,566800
2020-02-05,1152.201171875,1210.0,1215.0,1130.0,1130.0,16944000
2020-02-06,1137.9176025390625,1195.0,1245.0,1185.0,1235.0,5274200
2020-02-07,1128.3953857421875,1185.0,1215.0,1180.0,1200.0,1052900
2020-02-10,1090.3060302734375,1145.0,1175.0,1140.0,1175.0,5043500
2020-02-11,1080.7838134765625,1135.0,1160.0,1135.0,1160.0,6445200
2020-02-12,1104.5894775390625,1160.0,1175.0,1145.0,1145.0,4159500
2020-02-13,1071.2613525390625,1125.0,1175.0,1110.0,1165.0,11324100
2020-02-14,1128.3953857421875,1185.0,1190.0,1125.0,1125.0,6610900
2020-02-17,1147.43994140625,1205.0,1210.0,1165.0,1200.0,4571500
2020-02-18,1142.6788330078125,1200.0,1250.0,1180.0,1210.0,8530600
2020-02-19,1161.7235107421875,1220.0,1235.0,1165.0,1165.0,5492600
2020-02-20,1171.245849609375,1230.0,1240.0,1220.0,1220.0,2865000
2020-02-21,1152.201171875,1210.0,1230.0,1200.0,1225.0,3948700
2020-02-24,1118.873046875,1175.0,1200.0,1175.0,1200.0,3210100
2020-02-25,1118.873046875,1175.0,1180.0,1155.0,1160.0,280800
2020-02-26,1099.828369140625,1155.0,1180.0,1150.0,1180.0,1499900
2020-02-27,1071.2613525390625,1125.0,1165.0,1080.0,1165.0,4699100
2020-02-28,1033.172119140625,1085.0,1105.0,1050.0,1095.0,5275300
2020-03-02,1033.172119140625,1085.0,1105.0,1000.0,1105.0,3246000
2020-03-03,1047.45556640625,1100.0,1125.0,1085.0,1085.0,440300
2020-03-04,1095.067138671875,1150.0,1150.0,1090.0,1100.0,1358500
2020-03-05,1099.828369140625,1155.0,1170.0,1125.0,1160.0,4144800
2020-03-06,1080.7838134765625,1135.0,1150.0,1090.0,1145.0,4840900
2020-03-09,966.5158081054688,1015.0,1130.0,1010.0,1130.0,10240100
2020-03-10,952.2323608398438,1000.0,1050.0,1000.0,1040.0,1646600
2020-03-11,923.6653442382812,970.0,1010.0,950.0,1010.0,6853700
2020-03-12,857.0090942382812,900.0,955.0,875.0,955.0,4360900
2020-03-13,880.8148803710938,925.0,955.0,840.0,855.0,8695900
2020-03-16,823.6809692382812,865.0,930.0,865.0,930.0,2469600
2020-03-17,766.5469970703125,805.0,820.0,805.0,815.0,4419500
2020-03-18,714.1742553710938,750.0,800.0,750.0,800.0,9126600
2020-03-19,666.5626220703125,700.0,725.0,700.0,710.0,1051100
2020-03-20,628.473388671875,660.0,720.0,655.0,700.0,25582500
2020-03-23,657.040283203125,690.0,700.0,615.0,645.0,15199000
2020-03-24,614.1898193359375,645.0,700.0,645.0,670.0,8750100
2020-03-26,728.457763671875,765.0,765.0,645.0,690.0,10398300
2020-03-27,733.2189331054688,770.0,805.0,725.0,770.0,11326200
2020-03-30,685.6072998046875,720.0,725.0,720.0,725.0,1316700
2020-03-31,657.040283203125,690.0,745.0,670.0,725.0,6587400
2020-04-01,657.040283203125,690.0,715.0,685.0,690.0,2117400
2020-04-02,657.040283203125,690.0,700.0,650.0,660.0,2079100
2020-04-03,704.6519165039062,740.0,740.0,700.0,700.0,3580700
2020-04-06,747.5023803710938,785.0,785.0,740.0,750.0,3188300
2020-04-07,757.0247192382812,795.0,825.0,760.0,815.0,4826900
2020-04-08,704.6519165039062,740.0,805.0,740.0,795.0,2361000
2020-04-09,714.1742553710938,750.0,765.0,705.0,745.0,1774900
2020-04-13,718.9354248046875,755.0,765.0,725.0,750.0,647200
2020-04-14,718.9354248046875,755.0,770.0,750.0,760.0,738100
2020-04-15,728.457763671875,765.0,765.0,735.0,760.0,3117700
2020-04-16,709.4130859375,745.0,765.0,730.0,760.0,2564600
2020-04-17,757.0247192382812,795.0,795.0,745.0,765.0,4297500
2020-04-20,742.7412719726562,780.0,810.0,765.0,795.0,1198200
2020-04-21,737.9801025390625,775.0,785.0,745.0,770.0,2024200
2020-04-22,728.457763671875,765.0,775.0,750.0,775.0,583400
2020-04-23,733.2189331054688,770.0,775.0,765.0,770.0,397400
2020-04-24,709.4130859375,745.0,775.0,730.0,770.0,1530500
2020-04-27,714.1742553710938,750.0,755.0,720.0,750.0,167500
2020-04-28,714.1742553710938,750.0,755.0,735.0,755.0,1705300
2020-04-29,709.4130859375,745.0,760.0,740.0,750.0,790900
2020-04-30,718.9354248046875,755.0,760.0,735.0,745.0,6087100
2020-05-04,699.8907470703125,735.0,755.0,715.0,755.0,3815400
2020-05-05,699.8907470703125,735.0,745.0,725.0,735.0,919900
2020-05-06,685.6072998046875,720.0,735.0,720.0,735.0,1909500
2020-05-08,680.8461303710938,715.0,725.0,715.0,720.0,856400
2020-05-11,699.8907470703125,735.0,745.0,720.0,720.0,2651300
2020-05-12,695.129638671875,730.0,735.0,725.0,735.0,658300
2020-05-13,695.129638671875,730.0,730.0,700.0,725.0,390700
2020-05-14,676.0850219726562,710.0,730.0,710.0,720.0,1549200
2020-05-15,657.040283203125,690.0,705.0,685.0,690.0,898600
2020-05-18,647.5180053710938,680.0,695.0,665.0,690.0,1043100
2020-05-19,652.2791748046875,685.0,705.0,685.0,695.0,1813200
2020-05-20,637.9956665039062,670.0,690.0,670.0,685.0,1335800
2020-05-26,657.040283203125,690.0,700.0,670.0,680.0,1228900
2020-05-27,647.5180053710938,680.0,695.0,675.0,695.0,1529000
2020-05-28,685.6072998046875,720.0,720.0,685.0,690.0,3983200
2020-05-29,704.6519165039062,740.0,745.0,710.0,720.0,8320200
2020-06-02,704.6519165039062,740.0,765.0,735.0,750.0,3001200
2020-06-03,714.1742553710938,750.0,770.0,740.0,750.0,3794100
2020-06-04,718.9354248046875,755.0,780.0,755.0,760.0,4944300
2020-06-05,723.6965942382812,760.0,765.0,745.0,755.0,4609100
2020-06-08,771.3081665039062,810.0,830.0,765.0,770.0,8359500
2020-06-09,809.3975219726562,850.0,860.0,815.0,820.0,13114700
2020-06-10,766.5469970703125,805.0,850.0,800.0,850.0,6897800
2020-06-11,733.2189331054688,770.0,800.0,765.0,800.0,2933300
2020-06-12,718.9354248046875,755.0,770.0,725.0,730.0,4159100
2020-06-15,685.6072998046875,720.0,765.0,720.0,750.0,4085800
