Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,1520.0,1520.0,1520.0,1480.0,1490.0,700
2020-01-03,1480.0,1480.0,1500.0,1480.0,1500.0,1000
2020-01-06,1430.0,1430.0,1430.0,1430.0,1430.0,100
2020-01-07,1475.0,1475.0,1475.0,1420.0,1420.0,300
2020-01-08,1480.0,1480.0,1530.0,1430.0,1475.0,1800
2020-01-09,1425.0,1425.0,1470.0,1320.0,1400.0,3000
2020-01-10,1410.0,1410.0,1425.0,1300.0,1375.0,16100
2020-01-13,1400.0,1400.0,1405.0,1300.0,1390.0,6800
2020-01-14,1400.0,1400.0,1400.0,1400.0,1400.0,0
2020-01-15,1270.0,1270.0,1390.0,1265.0,1390.0,7500
2020-01-16,1365.0,1365.0,1390.0,1260.0,1280.0,3000
2020-01-17,1320.0,1320.0,1355.0,1270.0,1355.0,2600
2020-01-20,1330.0,1330.0,1345.0,1265.0,1345.0,800
2020-01-21,1330.0,1330.0,1330.0,1330.0,1330.0,0
2020-01-22,1330.0,1330.0,1350.0,1265.0,1350.0,1300
2020-01-23,1345.0,1345.0,1355.0,1300.0,1330.0,11300
2020-01-24,1400.0,1400.0,1400.0,1400.0,1400.0,100
2020-01-27,1370.0,1370.0,1400.0,1270.0,1380.0,2400
2020-01-28,1410.0,1410.0,1410.0,1350.0,1350.0,1300
2020-01-29,1380.0,1380.0,1385.0,1380.0,1385.0,900
2020-01-30,1050.0,1050.0,1400.0,1050.0,1380.0,1000
2020-01-31,1310.0,1310.0,1310.0,1300.0,1300.0,3500
2020-02-03,1445.0,1445.0,1635.0,1310.0,1310.0,16300
2020-02-04,1350.0,1350.0,1440.0,1350.0,1440.0,1600
2020-02-05,1465.0,1465.0,1465.0,1260.0,1300.0,10000
2020-02-06,1430.0,1430.0,1455.0,1280.0,1455.0,1100
2020-02-07,1320.0,1320.0,1430.0,1270.0,1430.0,4400
2020-02-10,1250.0,1250.0,1320.0,1250.0,1320.0,2300
2020-02-11,1285.0,1285.0,1350.0,1250.0,1250.0,1900
2020-02-12,1280.0,1280.0,1285.0,1160.0,1285.0,1500
2020-02-13,1200.0,1200.0,1300.0,1200.0,1300.0,3100
2020-02-14,1195.0,1195.0,1195.0,1130.0,1150.0,2200
2020-02-17,1260.0,1260.0,1280.0,1120.0,1155.0,2000
2020-02-18,1245.0,1245.0,1245.0,1080.0,1080.0,400
2020-02-19,1105.0,1105.0,1195.0,1095.0,1100.0,2100
2020-02-20,1100.0,1100.0,1105.0,1085.0,1105.0,600
2020-02-21,1130.0,1130.0,1235.0,1105.0,1235.0,700
2020-02-24,1185.0,1185.0,1205.0,1130.0,1205.0,300
2020-02-25,1175.0,1175.0,1180.0,1170.0,1180.0,500
2020-02-26,1290.0,1290.0,1290.0,1290.0,1290.0,100
2020-02-27,1290.0,1290.0,1290.0,1290.0,1290.0,0
2020-02-28,1240.0,1240.0,1240.0,1010.0,1060.0,2000
2020-03-02,1205.0,1205.0,1220.0,1170.0,1220.0,900
2020-03-03,1205.0,1205.0,1205.0,1205.0,1205.0,0
2020-03-04,1250.0,1250.0,1290.0,1190.0,1190.0,1400
2020-03-05,985.0,985.0,1345.0,985.0,1250.0,23900
2020-03-06,970.0,970.0,1000.0,765.0,765.0,5200
2020-03-09,965.0,965.0,970.0,965.0,970.0,2900
2020-03-10,900.0,900.0,960.0,870.0,920.0,12000
2020-03-11,915.0,915.0,915.0,860.0,860.0,500
2020-03-12,915.0,915.0,915.0,915.0,915.0,0
2020-03-13,915.0,915.0,915.0,915.0,915.0,0
2020-03-16,915.0,915.0,915.0,915.0,915.0,0
2020-03-17,905.0,905.0,905.0,865.0,865.0,800
2020-03-18,945.0,945.0,945.0,945.0,945.0,100
2020-03-19,880.0,880.0,880.0,880.0,880.0,400
2020-03-20,890.0,890.0,945.0,855.0,945.0,1800
2020-03-23,885.0,885.0,910.0,845.0,910.0,900
2020-03-24,825.0,825.0,825.0,825.0,825.0,100
2020-03-26,870.0,870.0,895.0,870.0,895.0,300
2020-03-27,925.0,925.0,980.0,925.0,930.0,300
2020-03-30,915.0,915.0,915.0,915.0,915.0,400
2020-03-31,1095.0,1095.0,1095.0,1095.0,1095.0,100
2020-04-01,1025.0,1025.0,1105.0,1020.0,1045.0,1600
2020-04-02,1000.0,1000.0,1040.0,1000.0,1010.0,14200
2020-04-03,1040.0,1040.0,1040.0,1040.0,1040.0,100
2020-04-06,1030.0,1030.0,1030.0,980.0,1025.0,900
2020-04-07,1010.0,1010.0,1010.0,960.0,1010.0,1700
2020-04-08,990.0,990.0,990.0,990.0,990.0,300
2020-04-09,1040.0,1040.0,1040.0,1015.0,1015.0,1300
2020-04-13,995.0,995.0,1000.0,970.0,1000.0,700
2020-04-14,945.0,945.0,950.0,930.0,930.0,800
2020-04-15,1175.0,1175.0,1180.0,900.0,900.0,68900
2020-04-16,1105.0,1105.0,1105.0,1095.0,1095.0,200
2020-04-17,1145.0,1145.0,1145.0,1145.0,1145.0,100
2020-04-20,1095.0,1095.0,1095.0,1065.0,1095.0,800
2020-04-21,1095.0,1095.0,1095.0,1095.0,1095.0,0
2020-04-22,1195.0,1195.0,1325.0,1195.0,1325.0,12300
2020-04-23,1125.0,1125.0,1125.0,1115.0,1120.0,300
2020-04-24,1120.0,1120.0,1125.0,1050.0,1110.0,3000
2020-04-27,1180.0,1180.0,1185.0,1170.0,1185.0,400
2020-04-28,1180.0,1180.0,1180.0,1180.0,1180.0,0
2020-04-29,1165.0,1165.0,1165.0,1110.0,1110.0,300
2020-04-30,1155.0,1155.0,1160.0,1085.0,1095.0,25900
2020-05-04,1095.0,1095.0,1145.0,1075.0,1080.0,9500
2020-05-05,1135.0,1135.0,1245.0,1055.0,1095.0,4000
2020-05-06,1230.0,1230.0,1345.0,1200.0,1200.0,5300
2020-05-08,1145.0,1145.0,1145.0,1145.0,1145.0,22900
2020-05-11,1065.0,1065.0,1065.0,1065.0,1065.0,22000
2020-05-12,1070.0,1070.0,1110.0,1005.0,1110.0,14200
2020-05-13,1070.0,1070.0,1190.0,1000.0,1100.0,24700
2020-05-14,1020.0,1020.0,1085.0,1000.0,1005.0,23000
2020-05-15,1100.0,1100.0,1100.0,1100.0,1100.0,2400
2020-05-18,1090.0,1090.0,1145.0,1025.0,1125.0,5500
2020-05-19,1090.0,1090.0,1130.0,1015.0,1125.0,6300
2020-05-20,1095.0,1095.0,1200.0,1050.0,1200.0,600
2020-05-26,1035.0,1035.0,1190.0,1020.0,1140.0,139300
2020-05-27,1005.0,1005.0,1025.0,965.0,1025.0,132200
2020-05-28,1015.0,1015.0,1025.0,960.0,1005.0,14600
2020-05-29,1050.0,1050.0,1110.0,960.0,1110.0,104000
2020-06-02,980.0,980.0,990.0,980.0,990.0,16300
2020-06-03,955.0,955.0,980.0,915.0,930.0,43700
2020-06-04,985.0,985.0,990.0,925.0,945.0,71900
2020-06-05,930.0,930.0,985.0,920.0,985.0,28500
2020-06-08,930.0,930.0,975.0,930.0,975.0,1500
2020-06-09,920.0,920.0,970.0,865.0,970.0,2500
2020-06-10,935.0,935.0,1010.0,860.0,920.0,25000
2020-06-11,920.0,920.0,960.0,870.0,960.0,33200
2020-06-12,965.0,965.0,995.0,870.0,900.0,7600
2020-06-15,960.0,960.0,1200.0,900.0,920.0,40700
2020-06-16,960.0,960.0,1080.0,960.0,1000.0,12000
2020-06-17,975.0,975.0,1090.0,960.0,960.0,133400
2020-06-18,1065.0,1065.0,1090.0,1010.0,1010.0,1000
2020-06-19,1200.0,1200.0,1200.0,995.0,1000.0,171600
2020-06-22,1185.0,1185.0,1200.0,1120.0,1120.0,119000
2020-06-23,1170.0,1170.0,1185.0,1105.0,1105.0,2800
2020-06-24,1200.0,1200.0,1200.0,1165.0,1165.0,21000
2020-06-25,1165.0,1165.0,1250.0,1120.0,1200.0,25000
2020-06-26,1200.0,1200.0,1200.0,1200.0,1200.0,100
2020-06-29,1160.0,1160.0,1250.0,1120.0,1200.0,21900
2020-06-30,1215.0,1215.0,1220.0,1160.0,1160.0,9400
2020-07-01,1175.0,1175.0,1190.0,1130.0,1130.0,4400
2020-07-02,1165.0,1165.0,1195.0,1095.0,1195.0,19200
2020-07-03,1190.0,1190.0,1200.0,1115.0,1115.0,7800
2020-07-06,1170.0,1170.0,1190.0,1110.0,1110.0,13900
2020-07-07,1170.0,1170.0,1170.0,1170.0,1170.0,0
2020-07-08,1145.0,1145.0,1200.0,1090.0,1160.0,20200
2020-07-09,1185.0,1185.0,1195.0,1170.0,1170.0,4000
2020-07-10,1175.0,1175.0,1175.0,1175.0,1175.0,1000
2020-07-13,1170.0,1170.0,1200.0,1095.0,1095.0,10900
2020-07-14,1145.0,1145.0,1170.0,1095.0,1095.0,10500
2020-07-15,1185.0,1185.0,1200.0,1165.0,1165.0,4100
2020-07-16,1185.0,1185.0,1185.0,1185.0,1185.0,0
2020-07-17,1165.0,1165.0,1180.0,1105.0,1160.0,28800
2020-07-20,1170.0,1170.0,1170.0,1085.0,1085.0,12700
2020-07-21,1165.0,1165.0,1180.0,1090.0,1090.0,11500
2020-07-22,1170.0,1170.0,1180.0,1165.0,1165.0,3000
2020-07-23,1155.0,1155.0,1160.0,1155.0,1160.0,200
2020-07-24,1140.0,1140.0,1150.0,1075.0,1075.0,10600
2020-07-27,1155.0,1155.0,1180.0,1065.0,1160.0,27500
2020-07-28,1160.0,1160.0,1180.0,1075.0,1155.0,46500
2020-07-29,1080.0,1080.0,1135.0,1080.0,1130.0,9900
2020-07-30,1140.0,1140.0,1145.0,1105.0,1105.0,3600
2020-08-03,1080.0,1080.0,1160.0,1065.0,1095.0,26900
2020-08-04,1170.0,1170.0,1180.0,1080.0,1080.0,20500
2020-08-05,1180.0,1180.0,1180.0,1090.0,1130.0,40400
2020-08-06,1250.0,1250.0,1350.0,1100.0,1140.0,88800
2020-08-07,1245.0,1245.0,1280.0,1165.0,1245.0,154700
2020-08-10,1160.0,1160.0,1230.0,1160.0,1165.0,261800
2020-08-11,1080.0,1080.0,1240.0,1080.0,1150.0,262700
2020-08-12,1210.0,1210.0,1275.0,1030.0,1080.0,245900
2020-08-13,1145.0,1145.0,1210.0,1130.0,1210.0,26800
2020-08-14,1065.0,1065.0,1145.0,1065.0,1145.0,117100
2020-08-18,995.0,995.0,1245.0,995.0,1065.0,216200
2020-08-19,1010.0,1010.0,1050.0,935.0,995.0,61300
2020-08-24,1025.0,1025.0,1075.0,1000.0,1020.0,45100
2020-08-25,1015.0,1015.0,1040.0,995.0,1030.0,11900
2020-08-26,1070.0,1070.0,1090.0,1020.0,1020.0,15700
2020-08-27,1075.0,1075.0,1080.0,1000.0,1080.0,131100
2020-08-28,1065.0,1065.0,1090.0,1025.0,1075.0,19700
2020-08-31,1100.0,1100.0,1100.0,1100.0,1100.0,100
2020-09-01,1095.0,1095.0,1095.0,1030.0,1030.0,1400
2020-09-02,1025.0,1025.0,1025.0,1025.0,1025.0,1700
2020-09-03,1035.0,1035.0,1090.0,1025.0,1025.0,6300
2020-09-04,965.0,965.0,1290.0,965.0,1065.0,94400
2020-09-07,990.0,990.0,1030.0,945.0,1015.0,33600
2020-09-08,985.0,985.0,990.0,985.0,990.0,5400
2020-09-09,1015.0,1015.0,1080.0,980.0,980.0,49200
2020-09-10,990.0,990.0,1020.0,945.0,1020.0,38700
2020-09-11,945.0,945.0,1020.0,925.0,990.0,48400
2020-09-14,1050.0,1050.0,1100.0,925.0,995.0,13500
2020-09-15,1115.0,1115.0,1120.0,980.0,1100.0,274700
2020-09-16,1055.0,1055.0,1100.0,1040.0,1100.0,23700
2020-09-17,1070.0,1070.0,1105.0,1030.0,1105.0,29400
2020-09-18,1085.0,1085.0,1120.0,1050.0,1120.0,28000
2020-09-21,1010.0,1010.0,1135.0,1010.0,1135.0,19900
2020-09-22,1020.0,1020.0,1085.0,940.0,1060.0,79700
2020-09-23,1020.0,1020.0,1085.0,1000.0,1070.0,3800
2020-09-24,1015.0,1015.0,1075.0,975.0,1070.0,4400
2020-09-25,1010.0,1010.0,1020.0,985.0,1015.0,30300
2020-09-28,1010.0,1010.0,1060.0,995.0,1060.0,11300
2020-09-29,1040.0,1040.0,1050.0,1030.0,1035.0,19700
2020-09-30,1040.0,1040.0,1060.0,1040.0,1060.0,400
2020-10-01,1050.0,1050.0,1090.0,1040.0,1090.0,2300
2020-10-02,1040.0,1040.0,1100.0,1030.0,1100.0,4700
2020-10-05,995.0,995.0,1060.0,990.0,1060.0,24900
2020-10-06,995.0,995.0,1045.0,995.0,1045.0,2900
2020-10-07,1065.0,1065.0,1095.0,950.0,1030.0,150200
2020-10-08,995.0,995.0,1090.0,995.0,1065.0,87400
2020-10-09,995.0,995.0,1045.0,985.0,1045.0,4600
2020-10-12,1000.0,1000.0,1020.0,995.0,1020.0,8200
2020-10-13,1000.0,1000.0,1050.0,950.0,1050.0,5200
2020-10-14,1010.0,1010.0,1050.0,990.0,1050.0,16700
2020-10-15,1000.0,1000.0,1060.0,970.0,1060.0,11200
2020-10-16,1000.0,1000.0,1050.0,975.0,1050.0,9000
2020-10-19,1005.0,1005.0,1050.0,965.0,1050.0,35900
2020-10-20,1005.0,1005.0,1055.0,980.0,1055.0,12000
2020-10-21,1005.0,1005.0,1050.0,1000.0,1050.0,300
2020-10-22,1015.0,1015.0,1055.0,1005.0,1055.0,600
2020-10-23,1025.0,1025.0,1040.0,965.0,1040.0,700
2020-10-26,1005.0,1005.0,1040.0,1005.0,1040.0,2200
2020-10-27,1015.0,1015.0,1055.0,955.0,1055.0,11900
