Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,11125.0,11125.0,11125.0,11050.0,11050.0,413000
2020-01-03,11075.0,11075.0,11125.0,11075.0,11125.0,406800
2020-01-06,11175.0,11175.0,11325.0,11075.0,11075.0,391000
2020-01-07,11225.0,11225.0,11300.0,11175.0,11175.0,422900
2020-01-08,11250.0,11250.0,11250.0,11200.0,11200.0,454900
2020-01-09,11250.0,11250.0,11250.0,11225.0,11250.0,367200
2020-01-10,11250.0,11250.0,11250.0,11200.0,11250.0,394100
2020-01-13,11225.0,11225.0,11250.0,11200.0,11250.0,404400
2020-01-14,11175.0,11175.0,11225.0,11175.0,11200.0,293300
2020-01-15,11100.0,11100.0,11175.0,11075.0,11175.0,384300
2020-01-16,11050.0,11050.0,11100.0,11050.0,11100.0,345600
2020-01-17,10475.0,10475.0,11050.0,9800.0,11050.0,104300
2020-01-20,10500.0,10500.0,10500.0,10475.0,10475.0,446900
2020-01-21,10500.0,10500.0,10525.0,10475.0,10525.0,325900
2020-01-22,10500.0,10500.0,10525.0,10500.0,10525.0,324400
2020-01-23,10500.0,10500.0,10525.0,10500.0,10525.0,212800
2020-01-24,10525.0,10525.0,10525.0,10500.0,10525.0,225900
2020-01-27,10525.0,10525.0,10550.0,10500.0,10550.0,459000
2020-01-28,10550.0,10550.0,10550.0,10500.0,10525.0,505700
2020-01-29,10500.0,10500.0,10550.0,10500.0,10525.0,395000
2020-01-30,10525.0,10525.0,10550.0,10500.0,10500.0,379600
2020-01-31,10525.0,10525.0,10550.0,10525.0,10525.0,333500
2020-02-03,10500.0,10500.0,10550.0,10500.0,10550.0,408300
2020-02-04,10525.0,10525.0,10525.0,10500.0,10500.0,356000
2020-02-05,10725.0,10725.0,10725.0,10525.0,10525.0,376100
2020-02-06,10825.0,10825.0,10850.0,10750.0,10750.0,792200
2020-02-07,11100.0,11100.0,11100.0,10850.0,10850.0,703200
2020-02-10,11350.0,11350.0,11375.0,11075.0,11075.0,685200
2020-02-11,11525.0,11525.0,11550.0,11325.0,11350.0,674900
2020-02-12,11525.0,11525.0,11600.0,9225.0,11525.0,705000
2020-02-13,11550.0,11550.0,11550.0,11475.0,11500.0,623200
2020-02-14,11525.0,11525.0,11550.0,11525.0,11550.0,622600
2020-02-17,11550.0,11550.0,11575.0,11550.0,11550.0,496000
2020-02-18,11650.0,11650.0,11650.0,11525.0,11550.0,642300
2020-02-19,11650.0,11650.0,11675.0,11600.0,11650.0,407800
2020-02-20,11625.0,11625.0,11650.0,11600.0,11650.0,369800
2020-02-21,11600.0,11600.0,11625.0,11575.0,11625.0,587700
2020-02-24,11600.0,11600.0,11625.0,11600.0,11600.0,365600
2020-02-25,11625.0,11625.0,11625.0,11600.0,11600.0,723900
2020-02-26,11625.0,11625.0,11650.0,11625.0,11625.0,540500
2020-02-27,11600.0,11600.0,11625.0,11575.0,11600.0,602500
2020-02-28,11550.0,11550.0,11600.0,11550.0,11575.0,260700
2020-03-02,11350.0,11350.0,11600.0,11350.0,11575.0,727800
2020-03-03,11725.0,11725.0,11725.0,11575.0,11575.0,784100
2020-03-04,11650.0,11650.0,11750.0,11650.0,11750.0,452300
2020-03-05,11500.0,11500.0,11725.0,11500.0,11700.0,316400
2020-03-06,11175.0,11175.0,11500.0,11175.0,11500.0,365200
2020-03-09,10475.0,10475.0,11300.0,10475.0,11300.0,247200
2020-03-10,10575.0,10575.0,10825.0,10400.0,10475.0,115100
2020-03-11,10000.0,10000.0,10575.0,9525.0,10550.0,177100
2020-03-12,9600.0,9600.0,10325.0,9125.0,10000.0,1487300
2020-03-13,9625.0,9625.0,10000.0,9275.0,10000.0,612000
2020-03-16,9275.0,9275.0,9850.0,9275.0,9850.0,105700
2020-03-17,9250.0,9250.0,9450.0,8825.0,9425.0,329200
2020-03-18,9600.0,9600.0,9600.0,8850.0,9375.0,428700
2020-03-19,9000.0,9000.0,9600.0,8950.0,9600.0,639100
2020-03-20,9475.0,9475.0,9475.0,8375.0,9300.0,531500
2020-03-23,9300.0,9300.0,9500.0,8825.0,9475.0,508400
2020-03-24,8775.0,8775.0,9350.0,8650.0,9300.0,570000
2020-03-26,9000.0,9000.0,9500.0,8725.0,9250.0,536400
2020-03-27,10800.0,10800.0,10800.0,8825.0,9025.0,581700
2020-03-30,11000.0,11000.0,11000.0,10100.0,10825.0,282600
2020-03-31,10900.0,10900.0,11250.0,10525.0,11025.0,359800
2020-04-01,10150.0,10150.0,11200.0,10150.0,10925.0,471600
2020-04-02,9450.0,9450.0,10300.0,9450.0,10300.0,488700
2020-04-03,8800.0,8800.0,9475.0,8800.0,9450.0,497500
2020-04-06,9225.0,9225.0,9275.0,9075.0,9275.0,492700
2020-04-07,9000.0,9000.0,9425.0,8600.0,9400.0,524000
2020-04-08,8375.0,8375.0,9225.0,8375.0,9225.0,379100
2020-04-09,8425.0,8425.0,8925.0,8200.0,8850.0,428100
2020-04-13,7850.0,7850.0,8650.0,7850.0,8650.0,52200
2020-04-14,7325.0,7325.0,8350.0,7325.0,8350.0,145100
2020-04-15,6825.0,6825.0,7000.0,6825.0,6825.0,9000
2020-04-16,6350.0,6350.0,6350.0,6350.0,6350.0,3500
2020-04-17,7250.0,7250.0,7600.0,6375.0,6525.0,297400
2020-04-20,6825.0,6825.0,7500.0,6825.0,7275.0,168300
2020-04-21,6800.0,6800.0,7250.0,6350.0,7025.0,85700
2020-04-22,6325.0,6325.0,6975.0,6325.0,6800.0,95000
2020-04-23,6300.0,6300.0,6775.0,5900.0,6775.0,446100
2020-04-24,5875.0,5875.0,6400.0,5875.0,6300.0,231500
2020-04-27,5475.0,5475.0,6300.0,5475.0,6300.0,12200
2020-04-28,5100.0,5100.0,5475.0,5100.0,5475.0,22300
2020-04-29,4750.0,4750.0,5500.0,4750.0,5500.0,14700
2020-04-30,4740.0,4740.0,4750.0,4420.0,4720.0,483900
2020-05-04,5125.0,5125.0,5275.0,4740.0,4740.0,869500
2020-05-05,5800.0,5800.0,5850.0,5100.0,5150.0,493600
2020-05-06,6125.0,6125.0,6200.0,5575.0,5825.0,472500
2020-05-08,6950.0,6950.0,6950.0,6050.0,6150.0,421300
2020-05-11,7850.0,7850.0,7900.0,6975.0,6975.0,392000
2020-05-12,8150.0,8150.0,8450.0,7800.0,7875.0,441700
2020-05-13,8125.0,8125.0,8275.0,8075.0,8150.0,319400
2020-05-14,8675.0,8675.0,8750.0,8100.0,8175.0,350600
2020-05-15,9075.0,9075.0,9125.0,8675.0,8700.0,373300
2020-05-18,9075.0,9075.0,9250.0,8850.0,9075.0,309800
2020-05-19,9375.0,9375.0,10000.0,9100.0,9100.0,330800
2020-05-20,8725.0,8725.0,9400.0,8725.0,9375.0,124100
2020-05-26,8125.0,8125.0,8750.0,8125.0,8725.0,149300
2020-05-27,7575.0,7575.0,7825.0,7575.0,7825.0,23700
2020-05-28,8400.0,8400.0,8900.0,7050.0,7600.0,37300
2020-05-29,7825.0,7825.0,8525.0,7825.0,8400.0,16700
2020-06-02,7850.0,7850.0,8200.0,7300.0,7825.0,28500
2020-06-03,7500.0,7500.0,8000.0,7500.0,7850.0,5900
2020-06-04,7550.0,7550.0,8200.0,7300.0,7425.0,17700
2020-06-05,7125.0,7125.0,7825.0,7050.0,7550.0,11600
2020-06-08,7375.0,7375.0,7725.0,7000.0,7125.0,19500
2020-06-09,7300.0,7300.0,7550.0,6950.0,7375.0,18300
2020-06-10,7000.0,7000.0,7200.0,6800.0,7100.0,39000
2020-06-11,6925.0,6925.0,7475.0,6525.0,7000.0,186900
2020-06-12,6450.0,6450.0,7275.0,6450.0,6925.0,621600
2020-06-15,6425.0,6425.0,6700.0,6200.0,6450.0,55600
2020-06-16,6475.0,6475.0,6575.0,6425.0,6425.0,23200
2020-06-17,6600.0,6600.0,6900.0,6400.0,6475.0,87000
2020-06-18,6325.0,6325.0,7000.0,6325.0,6600.0,123800
2020-06-19,6400.0,6400.0,6700.0,6275.0,6325.0,105300
2020-06-22,6150.0,6150.0,6600.0,6150.0,6600.0,207000
2020-06-23,6175.0,6175.0,6350.0,6050.0,6150.0,51100
2020-06-24,6175.0,6175.0,6250.0,6000.0,6175.0,55900
2020-06-25,5950.0,5950.0,6275.0,5900.0,6250.0,33300
2020-06-26,6175.0,6175.0,6700.0,5550.0,5950.0,71500
2020-06-29,6075.0,6075.0,6700.0,5875.0,6175.0,53200
