Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,61.0,61.0,62.0,59.0,60.0,827000
2020-01-03,61.0,61.0,62.0,59.0,62.0,252700
2020-01-06,63.0,63.0,63.0,59.0,61.0,239700
2020-01-07,63.0,63.0,65.0,60.0,63.0,754400
2020-01-08,63.0,63.0,65.0,53.0,53.0,169400
2020-01-09,64.0,64.0,65.0,61.0,61.0,162900
2020-01-10,63.0,63.0,65.0,62.0,63.0,236000
2020-01-13,64.0,64.0,65.0,61.0,61.0,151500
2020-01-14,63.0,63.0,63.0,62.0,62.0,63900
2020-01-15,52.0,52.0,63.0,50.0,62.0,8565200
2020-01-16,55.0,55.0,62.0,50.0,54.0,9568400
2020-01-17,56.0,56.0,58.0,50.0,50.0,787400
2020-01-20,52.0,52.0,57.0,50.0,50.0,4290800
2020-01-21,52.0,52.0,55.0,51.0,53.0,2965900
2020-01-22,52.0,52.0,54.0,52.0,52.0,617200
2020-01-23,53.0,53.0,54.0,51.0,52.0,882900
2020-01-24,53.0,53.0,53.0,52.0,53.0,329600
2020-01-27,55.0,55.0,65.0,52.0,53.0,40962500
2020-01-28,59.0,59.0,65.0,55.0,59.0,39366000
2020-01-29,59.0,59.0,61.0,57.0,60.0,4814100
2020-01-30,55.0,55.0,61.0,55.0,61.0,3017300
2020-01-31,55.0,55.0,61.0,54.0,61.0,846400
2020-02-03,54.0,54.0,55.0,52.0,55.0,1536800
2020-02-04,54.0,54.0,58.0,52.0,55.0,1170500
2020-02-05,53.0,53.0,55.0,52.0,54.0,689700
2020-02-06,53.0,53.0,53.0,51.0,53.0,1256000
2020-02-07,52.0,52.0,53.0,51.0,52.0,676800
2020-02-10,51.0,51.0,53.0,51.0,52.0,1681400
2020-02-11,51.0,51.0,52.0,51.0,52.0,760100
2020-02-12,51.0,51.0,52.0,51.0,51.0,1602400
2020-02-13,51.0,51.0,52.0,50.0,51.0,2686200
2020-02-14,50.0,50.0,51.0,50.0,51.0,1872400
2020-02-17,51.0,51.0,51.0,50.0,50.0,575900
2020-02-18,51.0,51.0,51.0,50.0,50.0,334100
2020-02-19,50.0,50.0,51.0,50.0,51.0,434800
2020-02-20,51.0,51.0,52.0,50.0,50.0,688700
2020-02-21,50.0,50.0,51.0,50.0,51.0,160300
2020-02-24,50.0,50.0,51.0,50.0,50.0,589500
2020-02-25,51.0,51.0,51.0,50.0,50.0,637700
2020-02-26,50.0,50.0,51.0,50.0,50.0,212100
2020-02-27,50.0,50.0,50.0,50.0,50.0,196700
2020-02-28,50.0,50.0,50.0,50.0,50.0,399300
2020-03-02,50.0,50.0,50.0,50.0,50.0,101300
2020-03-03,50.0,50.0,50.0,50.0,50.0,204100
2020-03-04,50.0,50.0,50.0,50.0,50.0,11300
2020-03-05,50.0,50.0,50.0,50.0,50.0,2400
2020-03-06,50.0,50.0,50.0,50.0,50.0,1000
2020-03-09,50.0,50.0,50.0,50.0,50.0,10300
2020-03-10,50.0,50.0,50.0,50.0,50.0,0
2020-03-11,50.0,50.0,50.0,50.0,50.0,1000
2020-03-12,50.0,50.0,50.0,50.0,50.0,0
2020-03-13,50.0,50.0,50.0,50.0,50.0,0
2020-03-16,50.0,50.0,50.0,50.0,50.0,0
2020-03-17,50.0,50.0,50.0,50.0,50.0,0
2020-03-18,50.0,50.0,50.0,50.0,50.0,0
2020-03-19,50.0,50.0,50.0,50.0,50.0,1200
2020-03-20,50.0,50.0,50.0,50.0,50.0,700
2020-03-23,50.0,50.0,50.0,50.0,50.0,100
2020-03-24,50.0,50.0,50.0,50.0,50.0,5000
2020-03-26,50.0,50.0,50.0,50.0,50.0,0
2020-03-27,50.0,50.0,50.0,50.0,50.0,400
2020-03-30,50.0,50.0,50.0,50.0,50.0,6100
2020-03-31,50.0,50.0,50.0,50.0,50.0,50100
2020-04-01,50.0,50.0,50.0,50.0,50.0,10000
2020-04-02,50.0,50.0,50.0,50.0,50.0,0
2020-04-03,50.0,50.0,50.0,50.0,50.0,0
2020-04-06,50.0,50.0,50.0,50.0,50.0,211100
2020-04-07,50.0,50.0,50.0,50.0,50.0,532600
2020-04-08,50.0,50.0,50.0,50.0,50.0,111400
2020-04-09,50.0,50.0,50.0,50.0,50.0,200
2020-04-13,50.0,50.0,50.0,50.0,50.0,31800
2020-04-14,50.0,50.0,50.0,50.0,50.0,900
2020-04-15,50.0,50.0,50.0,50.0,50.0,1700
2020-04-16,50.0,50.0,50.0,50.0,50.0,0
2020-04-17,50.0,50.0,50.0,50.0,50.0,0
2020-04-20,50.0,50.0,50.0,50.0,50.0,0
2020-04-21,50.0,50.0,50.0,50.0,50.0,0
2020-04-22,50.0,50.0,50.0,50.0,50.0,0
2020-04-23,50.0,50.0,50.0,50.0,50.0,100
2020-04-24,50.0,50.0,50.0,50.0,50.0,100
