Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,380.0,380.0,390.0,380.0,390.0,10016000
2020-01-03,380.0,380.0,380.0,380.0,380.0,0
2020-01-06,380.0,380.0,380.0,290.0,290.0,2300
2020-01-07,400.0,400.0,474.0,376.0,474.0,27100
2020-01-08,400.0,400.0,400.0,400.0,400.0,0
2020-01-09,330.0,330.0,500.0,310.0,400.0,84300
2020-01-10,346.0,346.0,400.0,320.0,368.0,14000
2020-01-13,346.0,346.0,346.0,346.0,346.0,0
2020-01-14,326.0,326.0,430.0,290.0,322.0,158400
2020-01-15,326.0,326.0,394.0,322.0,344.0,12800
2020-01-16,328.0,328.0,364.0,294.0,326.0,23500
2020-01-17,346.0,346.0,346.0,330.0,330.0,1700
2020-01-20,368.0,368.0,368.0,360.0,360.0,600
2020-01-21,362.0,362.0,368.0,360.0,360.0,22900
2020-01-22,378.0,378.0,378.0,378.0,378.0,100
2020-01-23,318.0,318.0,450.0,300.0,378.0,1733300
2020-01-24,316.0,316.0,322.0,282.0,318.0,49500
2020-01-27,328.0,328.0,346.0,302.0,316.0,12400
2020-01-28,328.0,328.0,328.0,320.0,328.0,2500
2020-01-29,326.0,326.0,330.0,318.0,330.0,12400
2020-01-30,338.0,338.0,360.0,270.0,324.0,274300
2020-01-31,350.0,350.0,350.0,340.0,340.0,500
2020-02-03,328.0,328.0,390.0,320.0,350.0,14300
2020-02-04,302.0,302.0,398.0,262.0,348.0,444500
2020-02-05,316.0,316.0,358.0,310.0,348.0,88000
2020-02-06,306.0,306.0,394.0,302.0,350.0,84400
2020-02-07,344.0,344.0,378.0,306.0,306.0,50000
2020-02-10,344.0,344.0,380.0,344.0,344.0,3300
2020-02-11,314.0,314.0,340.0,314.0,340.0,6200
2020-02-12,300.0,300.0,312.0,300.0,312.0,5700
2020-02-13,274.0,274.0,348.0,272.0,348.0,7900
2020-02-14,326.0,326.0,338.0,294.0,300.0,57600
2020-02-17,338.0,338.0,370.0,326.0,326.0,7900
2020-02-18,328.0,328.0,338.0,328.0,338.0,1100
2020-02-19,328.0,328.0,328.0,328.0,328.0,0
2020-02-20,292.0,292.0,312.0,292.0,312.0,3800
2020-02-21,330.0,330.0,364.0,300.0,300.0,29100
2020-02-24,314.0,314.0,366.0,300.0,330.0,25800
2020-02-25,310.0,310.0,320.0,302.0,302.0,6300
2020-02-26,320.0,320.0,320.0,302.0,302.0,300
2020-02-27,320.0,320.0,320.0,320.0,320.0,0
