Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,172.21621704101562,190.0,200.0,190.0,198.0,181600
2020-01-03,174.9354248046875,193.0,196.0,190.0,190.0,183600
2020-01-06,169.4970245361328,187.0,193.0,187.0,193.0,59200
2020-01-07,172.21621704101562,190.0,190.0,180.0,187.0,474500
2020-01-08,165.8714141845703,183.0,184.0,183.0,183.0,79500
2020-01-09,161.3394012451172,178.0,186.0,176.0,186.0,573500
2020-01-10,166.77781677246094,184.0,204.0,178.0,178.0,3676200
2020-01-13,166.77781677246094,184.0,198.0,183.0,184.0,1640500
2020-01-14,166.77781677246094,184.0,188.0,181.0,184.0,998200
2020-01-15,165.8714141845703,183.0,185.0,179.0,181.0,624000
2020-01-16,164.9650115966797,182.0,185.0,175.0,185.0,706500
2020-01-17,156.80740356445312,173.0,180.0,172.0,177.0,380800
2020-01-20,158.62020874023438,175.0,180.0,171.0,173.0,304100
2020-01-21,154.99459838867188,171.0,175.0,171.0,175.0,55400
2020-01-22,157.7137908935547,174.0,175.0,157.0,171.0,679400
2020-01-23,154.0882110595703,170.0,175.0,160.0,175.0,160600
2020-01-24,150.4626007080078,166.0,168.0,160.0,163.0,253300
2020-01-27,144.11778259277344,159.0,168.0,155.0,168.0,1064600
2020-01-28,137.77297973632812,152.0,158.0,152.0,158.0,84400
2020-01-29,144.11778259277344,159.0,160.0,146.0,150.0,276600
2020-01-30,142.30499267578125,157.0,164.0,151.0,159.0,87400
2020-01-31,135.05377197265625,149.0,157.0,142.0,157.0,163900
2020-02-03,122.3641586303711,135.0,149.0,130.0,146.0,272900
2020-02-04,128.70896911621094,142.0,142.0,136.0,136.0,54600
2020-02-05,128.70896911621094,142.0,144.0,139.0,144.0,11100
2020-02-06,125.08336639404297,138.0,142.0,136.0,142.0,60400
2020-02-07,122.3641586303711,135.0,136.0,130.0,136.0,37100
2020-02-10,120.55135345458984,133.0,135.0,129.0,135.0,172400
2020-02-11,123.27055358886719,136.0,136.0,129.0,132.0,149200
2020-02-12,123.27055358886719,136.0,136.0,133.0,136.0,284600
2020-02-13,115.11295318603516,127.0,133.0,127.0,133.0,24500
2020-02-14,116.01934814453125,128.0,128.0,110.0,125.0,139500
2020-02-17,116.01934814453125,128.0,128.0,128.0,128.0,200
2020-02-18,120.55135345458984,133.0,135.0,84.0,120.0,580400
2020-02-19,120.55135345458984,133.0,133.0,133.0,133.0,0
2020-02-20,120.55135345458984,133.0,133.0,133.0,133.0,0
2020-02-21,122.3641586303711,135.0,140.0,111.0,120.0,185100
2020-02-24,113.3001480102539,125.0,134.0,125.0,134.0,27300
2020-02-25,112.39374542236328,124.0,124.0,124.0,124.0,600
