Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,194.0,194.0,256.0,194.0,256.0,4100
2020-01-03,194.0,194.0,194.0,194.0,194.0,0
2020-01-06,194.0,194.0,194.0,194.0,194.0,0
2020-01-07,192.0,192.0,192.0,192.0,192.0,100
2020-01-08,192.0,192.0,192.0,192.0,192.0,0
2020-01-09,192.0,192.0,192.0,192.0,192.0,0
2020-01-10,192.0,192.0,192.0,192.0,192.0,0
2020-01-13,199.0,199.0,199.0,199.0,199.0,100
2020-01-14,195.0,195.0,195.0,195.0,195.0,100
2020-01-15,195.0,195.0,195.0,195.0,195.0,0
2020-01-16,128.0,128.0,128.0,128.0,128.0,3800
2020-01-17,131.0,131.0,131.0,131.0,131.0,100
2020-01-20,131.0,131.0,131.0,131.0,131.0,0
2020-01-21,86.0,86.0,132.0,86.0,132.0,147200
2020-01-22,100.0,100.0,100.0,90.0,91.0,43200
2020-01-23,92.0,92.0,110.0,92.0,110.0,13100
2020-01-24,100.0,100.0,100.0,100.0,100.0,2100
2020-01-27,90.0,90.0,92.0,90.0,92.0,500
2020-01-28,90.0,90.0,90.0,90.0,90.0,0
2020-01-29,80.0,80.0,100.0,80.0,100.0,1700
2020-01-30,80.0,80.0,80.0,80.0,80.0,0
2020-01-31,89.0,89.0,99.0,81.0,90.0,7100
2020-02-03,79.0,79.0,89.0,69.0,89.0,7600
2020-02-04,79.0,79.0,81.0,79.0,79.0,10300
2020-02-05,79.0,79.0,79.0,79.0,79.0,0
2020-02-06,79.0,79.0,79.0,79.0,79.0,2600
2020-02-07,73.0,73.0,79.0,73.0,79.0,7900
2020-02-10,91.0,91.0,96.0,84.0,96.0,1500
2020-02-11,86.0,86.0,114.0,74.0,114.0,16100
2020-02-12,86.0,86.0,86.0,86.0,86.0,1000
2020-02-13,77.0,77.0,77.0,74.0,74.0,5200
2020-02-14,69.0,69.0,69.0,69.0,69.0,100
2020-02-17,72.0,72.0,72.0,72.0,72.0,500
2020-02-18,72.0,72.0,72.0,72.0,72.0,0
2020-02-19,72.0,72.0,72.0,72.0,72.0,0
2020-02-20,95.0,95.0,95.0,63.0,63.0,200
2020-02-21,95.0,95.0,95.0,95.0,95.0,800
2020-02-24,95.0,95.0,95.0,95.0,95.0,0
2020-02-25,95.0,95.0,95.0,95.0,95.0,0
2020-02-26,97.0,97.0,99.0,67.0,99.0,1200
2020-02-27,91.0,91.0,91.0,91.0,91.0,100
2020-02-28,91.0,91.0,91.0,91.0,91.0,0
2020-03-02,75.0,75.0,95.0,66.0,95.0,1900
2020-03-03,97.0,97.0,97.0,89.0,89.0,3900
2020-03-04,86.0,86.0,91.0,81.0,91.0,3800
2020-03-05,97.0,97.0,97.0,97.0,97.0,2300
2020-03-06,96.0,96.0,96.0,96.0,96.0,10300
2020-03-09,82.0,82.0,82.0,82.0,82.0,100
2020-03-10,77.0,77.0,77.0,77.0,77.0,100
2020-03-11,72.0,72.0,72.0,72.0,72.0,100
2020-03-12,71.0,71.0,71.0,67.0,67.0,5100
2020-03-13,76.0,76.0,76.0,76.0,76.0,1000
2020-03-16,78.0,78.0,78.0,78.0,78.0,600
2020-03-17,78.0,78.0,78.0,78.0,78.0,0
2020-03-18,78.0,78.0,78.0,78.0,78.0,0
2020-03-19,78.0,78.0,78.0,78.0,78.0,0
2020-03-20,78.0,78.0,78.0,78.0,78.0,0
2020-03-23,73.0,73.0,73.0,73.0,73.0,100
2020-03-24,68.0,68.0,68.0,68.0,68.0,100
2020-03-26,64.0,64.0,64.0,64.0,64.0,100
2020-03-27,61.0,61.0,61.0,61.0,61.0,100
2020-03-30,64.0,64.0,64.0,64.0,64.0,200
2020-03-31,64.0,64.0,64.0,64.0,64.0,0
2020-04-01,64.0,64.0,64.0,64.0,64.0,0
2020-04-02,64.0,64.0,64.0,64.0,64.0,0
2020-04-03,64.0,64.0,64.0,64.0,64.0,0
2020-04-06,64.0,64.0,64.0,64.0,64.0,0
2020-04-07,64.0,64.0,64.0,64.0,64.0,0
2020-04-08,64.0,64.0,64.0,64.0,64.0,0
2020-04-09,64.0,64.0,64.0,64.0,64.0,0
2020-04-13,64.0,64.0,64.0,64.0,64.0,0
2020-04-14,64.0,64.0,64.0,64.0,64.0,0
2020-04-15,64.0,64.0,64.0,64.0,64.0,0
2020-04-16,64.0,64.0,64.0,64.0,64.0,0
2020-04-17,64.0,64.0,64.0,64.0,64.0,0
2020-04-20,64.0,64.0,64.0,64.0,64.0,0
2020-04-21,64.0,64.0,64.0,64.0,64.0,0
2020-04-22,64.0,64.0,64.0,64.0,64.0,0
2020-04-23,64.0,64.0,64.0,64.0,64.0,0
2020-04-24,64.0,64.0,64.0,64.0,64.0,0
2020-04-27,64.0,64.0,64.0,64.0,64.0,0
2020-04-28,64.0,64.0,64.0,64.0,64.0,500
2020-04-29,64.0,64.0,64.0,64.0,64.0,0
2020-04-30,64.0,64.0,64.0,64.0,64.0,0
2020-05-04,64.0,64.0,64.0,64.0,64.0,0
2020-05-05,64.0,64.0,64.0,64.0,64.0,0
2020-05-06,86.0,86.0,86.0,86.0,86.0,2900
2020-05-08,86.0,86.0,86.0,86.0,86.0,1900
2020-05-11,111.0,111.0,116.0,111.0,115.0,5000
2020-05-12,135.0,135.0,145.0,109.0,110.0,10400
2020-05-13,154.0,154.0,179.0,135.0,179.0,6600
2020-05-14,161.0,161.0,164.0,154.0,164.0,8100
2020-05-15,150.0,150.0,171.0,150.0,171.0,400
2020-05-18,165.0,165.0,167.0,150.0,150.0,54300
2020-05-19,165.0,165.0,165.0,164.0,164.0,6000
2020-05-20,182.0,182.0,185.0,156.0,175.0,43000
2020-05-26,191.0,191.0,240.0,180.0,192.0,29000
2020-05-27,192.0,192.0,252.0,180.0,200.0,62500
2020-05-28,183.0,183.0,202.0,183.0,202.0,12400
2020-05-29,188.0,188.0,188.0,173.0,173.0,14600
2020-06-02,194.0,194.0,216.0,177.0,177.0,20100
2020-06-03,187.0,187.0,194.0,181.0,194.0,13800
2020-06-04,193.0,193.0,197.0,186.0,197.0,13600
2020-06-05,189.0,189.0,202.0,189.0,202.0,12700
2020-06-08,186.0,186.0,188.0,186.0,188.0,600
