Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,110.18023681640625,160.0,160.5,159.0,160.5,1210000
2020-01-03,110.52454376220703,160.5,161.0,159.5,160.0,1273000
2020-01-06,112.59043884277344,163.5,167.5,161.0,161.0,16813000
2020-01-07,113.96768951416016,165.5,170.0,165.0,165.0,16757000
2020-01-08,113.62338256835938,165.0,168.5,165.0,166.5,2812000
2020-01-09,111.21318817138672,161.5,167.0,160.0,167.0,5089000
2020-01-10,112.59043884277344,163.5,164.0,160.0,161.5,4170000
2020-01-13,113.96768951416016,165.5,166.5,163.0,164.0,5049000
2020-01-14,113.96768951416016,165.5,167.0,165.0,166.0,4531000
2020-01-15,113.96768951416016,165.5,166.5,164.0,164.5,2088000
2020-01-16,113.62338256835938,165.0,166.5,165.0,165.5,3067000
2020-01-17,113.96768951416016,165.5,166.0,164.0,165.0,1352000
2020-01-20,112.93474578857422,164.0,166.0,164.0,165.5,3317000
2020-01-21,109.49161529541016,159.0,164.0,159.0,164.0,2120000
2020-01-22,107.08142852783203,155.5,160.0,153.5,159.0,5355000
2020-01-23,108.45867156982422,157.5,158.0,152.5,155.0,1702000
2020-01-24,109.14730834960938,158.5,164.0,157.5,157.5,1329000
2020-01-27,106.0484848022461,154.0,159.5,153.5,159.5,4693000
2020-01-28,105.70417785644531,153.5,155.5,148.0,153.5,5819000
2020-01-29,106.3927993774414,154.5,157.0,153.5,157.0,1747000
2020-01-30,105.70417785644531,153.5,155.0,152.5,154.5,6336000
2020-01-31,101.9167251586914,148.0,157.5,143.0,157.5,7104000
2020-02-03,99.85083770751953,145.0,148.0,143.0,148.0,3896000
2020-02-04,99.85083770751953,145.0,148.0,145.0,148.0,2946000
2020-02-05,103.2939682006836,150.0,151.5,145.0,145.0,3349000
2020-02-06,103.2939682006836,150.0,153.5,149.5,150.0,9310000
2020-02-07,103.2939682006836,150.0,152.0,149.0,150.0,2876000
2020-02-10,102.60533905029297,149.0,154.0,148.5,150.0,706000
