Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,245.3301544189453,266.0,276.0,264.0,264.0,334900
2020-01-03,249.01934814453125,270.0,280.0,270.0,272.0,675200
2020-01-06,250.86392211914062,272.0,290.0,270.0,270.0,378700
2020-01-07,247.17474365234375,268.0,276.0,268.0,270.0,324200
2020-01-08,245.3301544189453,266.0,270.0,262.0,270.0,432900
2020-01-09,241.64097595214844,262.0,270.0,262.0,266.0,213700
2020-01-10,239.79638671875,260.0,266.0,258.0,264.0,332100
2020-01-13,243.48556518554688,264.0,266.0,260.0,260.0,182100
2020-01-14,245.3301544189453,266.0,270.0,264.0,268.0,490100
2020-01-15,239.79638671875,260.0,270.0,260.0,266.0,138400
2020-01-16,239.79638671875,260.0,264.0,254.0,260.0,92300
2020-01-17,239.79638671875,260.0,270.0,258.0,260.0,215200
2020-01-20,239.79638671875,260.0,270.0,260.0,260.0,453700
2020-01-21,212.12759399414062,230.0,260.0,230.0,260.0,723800
2020-01-22,225.03970336914062,244.0,258.0,232.0,254.0,431000
2020-01-23,232.4180450439453,252.0,254.0,240.0,252.0,168400
2020-01-24,225.03970336914062,244.0,254.0,244.0,252.0,24200
2020-01-27,221.3505096435547,240.0,250.0,230.0,246.0,332400
2020-01-28,221.3505096435547,240.0,244.0,226.0,226.0,157700
2020-01-29,226.88427734375,246.0,250.0,240.0,240.0,105300
2020-01-30,223.1951141357422,242.0,248.0,240.0,246.0,370600
2020-01-31,225.03970336914062,244.0,250.0,226.0,226.0,314000
2020-02-03,221.3505096435547,240.0,244.0,236.0,244.0,538800
2020-02-04,219.5059356689453,238.0,246.0,236.0,242.0,116400
2020-02-05,217.66134643554688,236.0,240.0,236.0,236.0,374500
2020-02-06,212.12759399414062,230.0,240.0,228.0,232.0,3161600
2020-02-07,221.3505096435547,240.0,240.0,230.0,230.0,300800
2020-02-10,223.1951141357422,242.0,256.0,238.0,240.0,689900
2020-02-11,228.72886657714844,248.0,254.0,242.0,248.0,227500
2020-02-12,225.03970336914062,244.0,250.0,240.0,250.0,335700
2020-02-13,225.03970336914062,244.0,248.0,230.0,244.0,81300
2020-02-14,215.81674194335938,234.0,248.0,228.0,238.0,498500
2020-02-17,217.66134643554688,236.0,242.0,236.0,240.0,241000
2020-02-18,217.66134643554688,236.0,246.0,236.0,246.0,216200
2020-02-19,215.81674194335938,234.0,244.0,230.0,244.0,497500
2020-02-20,215.81674194335938,234.0,238.0,230.0,234.0,278700
2020-02-21,212.12759399414062,230.0,236.0,228.0,230.0,280100
2020-02-24,223.1951141357422,242.0,280.0,238.0,238.0,3020800
