Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,119.76057434082031,151.0,151.0,151.0,151.0,4000
2020-01-03,119.76057434082031,151.0,151.0,151.0,151.0,0
2020-01-06,119.76057434082031,151.0,151.0,151.0,151.0,0
2020-01-07,119.76057434082031,151.0,151.0,151.0,151.0,0
2020-01-08,119.76057434082031,151.0,151.0,151.0,151.0,0
2020-01-09,119.76057434082031,151.0,151.0,151.0,151.0,0
2020-01-10,115.00188446044922,145.0,145.0,145.0,145.0,1000
2020-01-13,122.93303680419922,155.0,155.0,145.0,145.0,20200
2020-01-14,122.93303680419922,155.0,155.0,155.0,155.0,0
2020-01-15,122.93303680419922,155.0,155.0,155.0,155.0,0
2020-01-16,122.93303680419922,155.0,155.0,155.0,155.0,0
2020-01-17,122.93303680419922,155.0,155.0,155.0,155.0,0
2020-01-20,122.93303680419922,155.0,155.0,155.0,155.0,0
2020-01-21,122.93303680419922,155.0,155.0,155.0,155.0,0
2020-01-22,127.69174194335938,161.0,161.0,161.0,161.0,200
2020-01-23,129.27798461914062,163.0,163.0,162.0,162.0,12600
2020-01-24,129.27798461914062,163.0,163.0,163.0,163.0,0
2020-01-27,129.27798461914062,163.0,163.0,163.0,163.0,0
2020-01-28,129.27798461914062,163.0,163.0,163.0,163.0,0
2020-01-29,129.27798461914062,163.0,163.0,163.0,163.0,0
2020-01-30,129.27798461914062,163.0,163.0,163.0,163.0,0
2020-01-31,122.13993835449219,154.0,154.0,152.0,152.0,800
2020-02-03,122.13993835449219,154.0,154.0,154.0,154.0,0
2020-02-04,118.96746063232422,150.0,150.0,150.0,150.0,200
2020-02-05,118.96746063232422,150.0,150.0,150.0,150.0,5000
2020-02-06,118.96746063232422,150.0,150.0,150.0,150.0,0
2020-02-07,118.96746063232422,150.0,150.0,150.0,150.0,0
2020-02-10,118.96746063232422,150.0,150.0,150.0,150.0,0
2020-02-11,116.5881118774414,147.0,147.0,147.0,147.0,800
2020-02-12,115.79500579833984,146.0,146.0,146.0,146.0,1200
2020-02-13,115.00188446044922,145.0,146.0,145.0,146.0,2200
2020-02-14,115.00188446044922,145.0,145.0,145.0,145.0,0
2020-02-17,115.00188446044922,145.0,145.0,145.0,145.0,0
2020-02-18,115.00188446044922,145.0,145.0,145.0,145.0,0
2020-02-19,115.00188446044922,145.0,145.0,145.0,145.0,0
2020-02-20,115.00188446044922,145.0,145.0,145.0,145.0,20000
2020-02-21,113.41564178466797,143.0,143.0,143.0,143.0,1400
2020-02-24,113.41564178466797,143.0,143.0,143.0,143.0,0
2020-02-25,113.41564178466797,143.0,143.0,143.0,143.0,0
2020-02-26,113.41564178466797,143.0,143.0,143.0,143.0,0
2020-02-27,113.41564178466797,143.0,143.0,143.0,143.0,0
2020-02-28,113.41564178466797,143.0,143.0,143.0,143.0,0
2020-03-02,113.41564178466797,143.0,143.0,143.0,143.0,0
2020-03-03,113.41564178466797,143.0,143.0,143.0,143.0,0
2020-03-04,113.41564178466797,143.0,143.0,143.0,143.0,0
2020-03-05,113.41564178466797,143.0,143.0,143.0,143.0,0
2020-03-06,113.41564178466797,143.0,143.0,143.0,143.0,0
2020-03-09,113.41564178466797,143.0,143.0,143.0,143.0,0
