Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,262.0,262.0,272.0,256.0,270.0,4332700
2020-01-03,252.0,252.0,270.0,250.0,262.0,6360200
2020-01-06,266.0,266.0,266.0,244.0,252.0,8526300
2020-01-07,292.0,292.0,310.0,266.0,270.0,93543200
2020-01-08,270.0,270.0,294.0,254.0,294.0,26191400
2020-01-09,268.0,268.0,286.0,264.0,272.0,12718400
2020-01-10,264.0,264.0,276.0,264.0,270.0,4551700
2020-01-13,260.0,260.0,272.0,254.0,264.0,8194000
2020-01-14,252.0,252.0,264.0,236.0,260.0,9592400
2020-01-15,246.0,246.0,260.0,246.0,254.0,5826400
2020-01-16,240.0,240.0,252.0,230.0,246.0,6343700
2020-01-17,232.0,232.0,242.0,228.0,240.0,5089700
2020-01-20,220.0,220.0,232.0,216.0,232.0,6479900
2020-01-21,216.0,216.0,236.0,212.0,220.0,11032600
2020-01-22,246.0,246.0,270.0,216.0,218.0,116761100
2020-01-23,228.0,228.0,256.0,226.0,248.0,21071800
2020-01-24,224.0,224.0,240.0,220.0,228.0,7990000
2020-01-27,218.0,218.0,226.0,214.0,214.0,3808600
2020-01-28,224.0,224.0,228.0,208.0,210.0,5432800
2020-01-29,218.0,218.0,234.0,214.0,214.0,7375500
2020-01-30,208.0,208.0,224.0,206.0,208.0,4817900
2020-01-31,193.0,193.0,214.0,193.0,202.0,7283500
2020-02-03,175.0,175.0,193.0,170.0,183.0,5249800
2020-02-04,175.0,175.0,190.0,165.0,165.0,4572100
2020-02-05,170.0,170.0,183.0,168.0,183.0,2777100
2020-02-06,168.0,168.0,180.0,166.0,170.0,6161600
2020-02-07,183.0,183.0,208.0,167.0,167.0,32184600
2020-02-10,174.0,174.0,183.0,171.0,183.0,5171000
2020-02-11,171.0,171.0,179.0,168.0,171.0,5603600
2020-02-12,171.0,171.0,174.0,168.0,172.0,1612300
2020-02-13,151.0,151.0,170.0,150.0,161.0,5752800
2020-02-14,131.0,131.0,159.0,130.0,153.0,5702600
2020-02-17,116.0,116.0,152.0,115.0,141.0,13694600
2020-02-18,126.0,126.0,135.0,107.0,111.0,23073800
2020-02-19,128.0,128.0,132.0,121.0,128.0,5326500
2020-02-20,125.0,125.0,132.0,121.0,128.0,2798900
2020-02-21,127.0,127.0,136.0,120.0,126.0,7718600
2020-02-24,142.0,142.0,152.0,123.0,128.0,41388500
2020-02-25,184.0,184.0,188.0,140.0,145.0,84891900
2020-02-26,144.0,144.0,196.0,144.0,183.0,60307500
2020-02-27,145.0,145.0,155.0,127.0,137.0,21223200
2020-02-28,130.0,130.0,149.0,125.0,146.0,12813400
2020-03-02,118.0,118.0,137.0,117.0,130.0,14676100
2020-03-03,122.0,122.0,131.0,118.0,118.0,14064700
2020-03-04,124.0,124.0,128.0,119.0,124.0,9743400
2020-03-05,120.0,120.0,129.0,119.0,126.0,18610100
2020-03-06,120.0,120.0,128.0,120.0,122.0,15102700
2020-03-09,108.0,108.0,120.0,105.0,119.0,11955500
2020-03-10,107.0,107.0,114.0,98.0,98.0,7229900
2020-03-11,97.0,97.0,112.0,97.0,107.0,7038700
2020-03-12,88.0,88.0,97.0,88.0,97.0,3550700
2020-03-13,97.0,97.0,99.0,82.0,82.0,7408500
2020-03-16,97.0,97.0,97.0,97.0,97.0,0
2020-03-17,85.0,85.0,91.0,85.0,85.0,496500
2020-03-18,80.0,80.0,80.0,80.0,80.0,685500
2020-03-19,75.0,75.0,75.0,75.0,75.0,343600
2020-03-20,76.0,76.0,85.0,70.0,70.0,3548500
2020-03-23,72.0,72.0,84.0,71.0,71.0,4155000
2020-03-24,71.0,71.0,76.0,67.0,67.0,4777400
2020-03-26,82.0,82.0,87.0,72.0,72.0,13090400
2020-03-27,83.0,83.0,88.0,80.0,82.0,8562300
2020-03-30,78.0,78.0,80.0,78.0,78.0,715500
2020-03-31,79.0,79.0,83.0,75.0,75.0,911900
2020-04-01,79.0,79.0,83.0,77.0,79.0,2433500
2020-04-02,83.0,83.0,86.0,75.0,75.0,3840400
2020-04-03,101.0,101.0,110.0,82.0,82.0,18017600
2020-04-06,113.0,113.0,119.0,95.0,95.0,20494000
2020-04-07,107.0,107.0,118.0,106.0,118.0,10659500
2020-04-08,105.0,105.0,120.0,101.0,110.0,20481700
2020-04-09,107.0,107.0,119.0,98.0,98.0,21919500
2020-04-13,110.0,110.0,114.0,108.0,112.0,5702800
2020-04-14,111.0,111.0,113.0,107.0,112.0,3510700
2020-04-15,107.0,107.0,114.0,104.0,104.0,4127500
2020-04-16,100.0,100.0,107.0,100.0,102.0,2770000
2020-04-17,105.0,105.0,110.0,93.0,93.0,2866100
2020-04-20,102.0,102.0,108.0,98.0,98.0,1024200
2020-04-21,99.0,99.0,104.0,95.0,95.0,2112700
2020-04-22,99.0,99.0,102.0,96.0,97.0,996400
2020-04-23,103.0,103.0,106.0,99.0,101.0,2898500
2020-04-24,109.0,109.0,125.0,105.0,105.0,36005600
2020-04-27,104.0,104.0,112.0,102.0,102.0,3879100
2020-04-28,100.0,100.0,106.0,100.0,104.0,2318700
2020-04-29,99.0,99.0,102.0,96.0,101.0,2292000
