Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,525.255859375,570.0,575.0,565.0,575.0,12286300
2020-01-03,520.6483154296875,565.0,575.0,555.0,575.0,84199700
2020-01-06,502.2182922363281,545.0,565.0,545.0,560.0,76881100
2020-01-07,502.2182922363281,545.0,550.0,535.0,545.0,56419000
2020-01-08,497.61077880859375,540.0,550.0,535.0,540.0,50358200
2020-01-09,525.255859375,570.0,570.0,540.0,545.0,82447000
2020-01-10,516.040771484375,560.0,575.0,555.0,570.0,35748600
2020-01-13,539.0783081054688,585.0,590.0,560.0,560.0,121586200
2020-01-14,548.2933959960938,595.0,600.0,580.0,585.0,52551700
2020-01-15,543.6858520507812,590.0,595.0,575.0,595.0,42243100
2020-01-16,539.0783081054688,585.0,595.0,580.0,585.0,31897100
2020-01-17,539.0783081054688,585.0,595.0,580.0,590.0,26683100
2020-01-20,539.0783081054688,585.0,590.0,580.0,590.0,33931200
2020-01-21,529.8633422851562,575.0,585.0,565.0,580.0,40087000
2020-01-22,516.040771484375,560.0,575.0,560.0,575.0,24030800
2020-01-23,525.255859375,570.0,575.0,555.0,560.0,26103900
2020-01-24,525.255859375,570.0,585.0,565.0,575.0,18055700
2020-01-27,502.2182922363281,545.0,570.0,540.0,570.0,35518700
2020-01-28,506.8258056640625,550.0,555.0,535.0,540.0,39109600
2020-01-29,502.2182922363281,545.0,560.0,540.0,550.0,21094300
2020-01-30,493.0032958984375,535.0,550.0,535.0,545.0,19097100
2020-01-31,479.1807861328125,520.0,545.0,510.0,540.0,36160200
2020-02-03,469.9657287597656,510.0,525.0,510.0,510.0,29328900
2020-02-04,483.7882995605469,525.0,525.0,510.0,510.0,17404700
2020-02-05,483.7882995605469,525.0,530.0,515.0,530.0,26541300
2020-02-06,493.0032958984375,535.0,540.0,525.0,525.0,36068000
2020-02-07,493.0032958984375,535.0,545.0,530.0,530.0,35073300
2020-02-10,488.3957824707031,530.0,530.0,525.0,530.0,20747100
2020-02-11,493.0032958984375,535.0,545.0,530.0,530.0,15976500
2020-02-12,493.0032958984375,535.0,545.0,530.0,540.0,30057600
2020-02-13,497.61077880859375,540.0,545.0,535.0,535.0,13994800
2020-02-14,511.4333190917969,555.0,560.0,535.0,540.0,40321600
2020-02-17,529.8633422851562,575.0,580.0,555.0,560.0,60189000
2020-02-18,552.9009399414062,600.0,605.0,565.0,575.0,83536000
2020-02-19,548.2933959960938,595.0,610.0,590.0,600.0,42939200
2020-02-20,534.4708862304688,580.0,600.0,580.0,595.0,26496300
2020-02-21,529.8633422851562,575.0,590.0,570.0,580.0,27125000
2020-02-24,497.61077880859375,540.0,570.0,540.0,570.0,46693500
2020-02-25,511.4333190917969,555.0,560.0,530.0,530.0,36617200
2020-02-26,506.8258056640625,550.0,565.0,540.0,550.0,29188200
2020-02-27,497.61077880859375,540.0,555.0,535.0,550.0,33206500
2020-02-28,488.3957824707031,530.0,535.0,520.0,535.0,58413500
2020-03-02,483.7882995605469,525.0,550.0,520.0,530.0,40923600
2020-03-03,502.2182922363281,545.0,555.0,530.0,530.0,30440800
2020-03-04,516.040771484375,560.0,570.0,535.0,540.0,37877300
2020-03-05,502.2182922363281,545.0,570.0,545.0,565.0,29078900
2020-03-06,488.3957824707031,530.0,540.0,530.0,535.0,16555500
2020-03-09,460.7507019042969,500.0,525.0,496.0,510.0,56924500
2020-03-10,458.90771484375,498.0,520.0,496.0,498.0,27592000
2020-03-11,414.6756591796875,450.0,500.0,450.0,500.0,58257000
2020-03-12,379.6585998535156,412.0,436.0,372.0,410.0,46773100
2020-03-13,379.6585998535156,412.0,412.0,412.0,412.0,0
2020-03-16,379.6585998535156,412.0,412.0,412.0,412.0,0
2020-03-17,316.9964904785156,344.0,360.0,344.0,360.0,33865500
2020-03-18,304.095458984375,330.0,360.0,320.0,360.0,50391500
2020-03-19,283.8224182128906,308.0,350.0,308.0,350.0,36101200
2020-03-20,280.1364440917969,304.0,314.0,288.0,300.0,107051900
2020-03-23,263.5494384765625,286.0,296.0,284.0,288.0,45695900
2020-03-24,246.96237182617188,268.0,298.0,266.0,266.0,34054300
2020-03-26,285.6654357910156,310.0,328.0,272.0,274.0,59788600
2020-03-27,307.781494140625,334.0,364.0,320.0,320.0,52936100
2020-03-30,287.5084533691406,312.0,334.0,312.0,334.0,21224900
2020-03-31,283.8224182128906,308.0,338.0,304.0,322.0,80351600
