Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,1019.729248046875,1125.0,1140.0,1110.0,1110.0,4500
2020-01-03,1024.2613525390625,1130.0,1130.0,1115.0,1125.0,18900
2020-01-06,1010.6650390625,1115.0,1125.0,1115.0,1120.0,19600
2020-01-07,1019.729248046875,1125.0,1125.0,1115.0,1115.0,22600
2020-01-08,1015.1970825195312,1120.0,1130.0,1115.0,1125.0,16300
2020-01-09,1033.32568359375,1140.0,1140.0,1120.0,1120.0,60600
2020-01-10,1024.2613525390625,1130.0,1140.0,1125.0,1140.0,9000
2020-01-13,1033.32568359375,1140.0,1170.0,1140.0,1140.0,544700
2020-01-14,1033.32568359375,1140.0,1155.0,1140.0,1140.0,463100
2020-01-15,1037.8577880859375,1145.0,1150.0,1140.0,1140.0,326100
2020-01-16,1037.8577880859375,1145.0,1150.0,1145.0,1145.0,228900
2020-01-17,1015.1970825195312,1120.0,1150.0,1120.0,1150.0,1255900
2020-01-20,997.0685424804688,1100.0,1145.0,1095.0,1145.0,163700
2020-01-21,861.104736328125,950.0,1110.0,950.0,1110.0,134200
2020-01-22,978.9400634765625,1080.0,1120.0,1045.0,1100.0,608800
2020-01-23,974.4080200195312,1075.0,1090.0,1070.0,1080.0,104900
2020-01-24,960.8115844726562,1060.0,1120.0,1055.0,1075.0,14600
2020-01-27,951.747314453125,1050.0,1060.0,1030.0,1060.0,47800
2020-01-28,933.6188354492188,1030.0,1050.0,1000.0,1050.0,1832500
2020-01-29,910.9581909179688,1005.0,1035.0,1005.0,1030.0,627400
2020-01-30,906.4260864257812,1000.0,1025.0,1000.0,1005.0,346800
2020-01-31,897.3617553710938,990.0,1000.0,980.0,1000.0,115400
2020-02-03,924.5545654296875,1020.0,1030.0,980.0,990.0,25700
2020-02-04,920.0224609375,1015.0,1020.0,1000.0,1020.0,98300
2020-02-05,915.4902954101562,1010.0,1015.0,1005.0,1015.0,116300
2020-02-06,906.4260864257812,1000.0,1030.0,995.0,1010.0,29500
2020-02-07,906.4260864257812,1000.0,1005.0,995.0,1000.0,73300
2020-02-10,888.2974853515625,980.0,1000.0,980.0,995.0,178100
2020-02-11,892.8296508789062,985.0,990.0,980.0,980.0,107100
2020-02-12,892.8296508789062,985.0,985.0,980.0,985.0,76200
2020-02-13,897.3617553710938,990.0,990.0,985.0,985.0,15700
2020-02-14,915.4902954101562,1010.0,1020.0,995.0,1005.0,41700
2020-02-17,915.4902954101562,1010.0,1020.0,1010.0,1020.0,31000
2020-02-18,920.0224609375,1015.0,1025.0,1010.0,1010.0,307700
2020-02-19,906.4260864257812,1000.0,1035.0,1000.0,1015.0,230800
2020-02-20,915.4902954101562,1010.0,1020.0,1005.0,1010.0,120300
2020-02-21,915.4902954101562,1010.0,1020.0,1005.0,1020.0,156100
2020-02-24,910.9581909179688,1005.0,1015.0,995.0,1005.0,298100
2020-02-25,892.8296508789062,985.0,1005.0,985.0,995.0,122100
2020-02-26,892.8296508789062,985.0,990.0,980.0,985.0,544700
2020-02-27,883.765380859375,975.0,990.0,975.0,985.0,3322600
2020-02-28,842.9761962890625,930.0,970.0,900.0,970.0,279700
2020-03-02,806.7191772460938,890.0,950.0,890.0,930.0,156400
2020-03-03,806.7191772460938,890.0,925.0,885.0,900.0,219700
2020-03-04,815.783447265625,900.0,940.0,890.0,890.0,153100
2020-03-05,829.3798217773438,915.0,925.0,915.0,920.0,80000
2020-03-06,829.3798217773438,915.0,915.0,910.0,910.0,8200
2020-03-09,788.5906982421875,870.0,900.0,860.0,900.0,162700
2020-03-10,774.9942626953125,855.0,870.0,855.0,870.0,132500
2020-03-11,774.9942626953125,855.0,865.0,850.0,860.0,148400
2020-03-12,697.9480590820312,770.0,855.0,770.0,855.0,1532600
2020-03-13,652.6267700195312,720.0,770.0,720.0,770.0,3181400
2020-03-16,652.6267700195312,720.0,720.0,720.0,720.0,0
2020-03-17,566.5162353515625,625.0,650.0,625.0,630.0,209400
2020-03-18,557.4520263671875,615.0,630.0,585.0,590.0,1773100
2020-03-19,521.1949462890625,575.0,615.0,575.0,615.0,2999900
2020-03-20,484.9378967285156,535.0,575.0,535.0,575.0,3296800
2020-03-23,484.9378967285156,535.0,535.0,498.0,535.0,1183400
2020-03-24,475.8736572265625,525.0,570.0,515.0,535.0,137500
2020-03-26,494.0021667480469,545.0,580.0,505.0,535.0,1139500
2020-03-27,543.8555908203125,600.0,635.0,545.0,545.0,667700
2020-03-30,512.1306762695312,565.0,570.0,560.0,570.0,577500
2020-03-31,530.2592163085938,585.0,590.0,550.0,550.0,154500
2020-04-01,512.1306762695312,565.0,590.0,560.0,575.0,35300
2020-04-02,503.0664367675781,555.0,565.0,535.0,565.0,760500
2020-04-03,516.662841796875,570.0,600.0,565.0,565.0,2625800
2020-04-06,507.5985412597656,560.0,575.0,555.0,570.0,3732600
2020-04-07,512.1306762695312,565.0,585.0,560.0,570.0,6119100
2020-04-08,480.4057922363281,530.0,565.0,530.0,565.0,8303000
2020-04-09,498.5342712402344,550.0,555.0,500.0,535.0,937300
2020-04-13,512.1306762695312,565.0,580.0,540.0,555.0,1223400
2020-04-14,516.662841796875,570.0,580.0,560.0,565.0,699400
2020-04-15,525.72705078125,580.0,590.0,560.0,575.0,1985900
2020-04-16,521.1949462890625,575.0,585.0,560.0,585.0,954600
2020-04-17,543.8555908203125,600.0,620.0,575.0,575.0,1287400
2020-04-20,575.5805053710938,635.0,750.0,600.0,605.0,7991300
2020-04-21,552.9198608398438,610.0,645.0,605.0,645.0,748200
2020-04-22,543.8555908203125,600.0,620.0,575.0,600.0,772200
2020-04-23,557.4520263671875,615.0,645.0,605.0,605.0,410700
2020-04-24,543.8555908203125,600.0,620.0,600.0,620.0,223200
2020-04-27,557.4520263671875,615.0,620.0,600.0,600.0,217600
2020-04-28,566.5162353515625,625.0,640.0,610.0,615.0,522400
2020-04-29,561.984130859375,620.0,630.0,610.0,625.0,1089100
2020-04-30,566.5162353515625,625.0,635.0,610.0,625.0,1183600
2020-05-04,561.984130859375,620.0,625.0,600.0,610.0,442400
2020-05-05,561.984130859375,620.0,635.0,615.0,620.0,931800
2020-05-06,611.8375854492188,675.0,715.0,620.0,620.0,2773300
2020-05-08,611.8375854492188,675.0,700.0,645.0,675.0,653500
2020-05-11,639.0303955078125,705.0,715.0,675.0,680.0,648900
2020-05-12,661.6909790039062,730.0,730.0,695.0,705.0,527300
2020-05-13,657.1588745117188,725.0,810.0,680.0,740.0,840600
2020-05-14,620.90185546875,685.0,725.0,680.0,725.0,1135800
2020-05-15,625.4340209960938,690.0,715.0,680.0,685.0,183700
2020-05-18,634.4982299804688,700.0,715.0,680.0,695.0,60200
2020-05-19,625.4340209960938,690.0,705.0,675.0,705.0,728600
2020-05-20,639.0303955078125,705.0,705.0,680.0,685.0,167000
2020-05-26,652.6267700195312,720.0,720.0,690.0,700.0,222900
2020-05-27,661.6909790039062,730.0,740.0,710.0,720.0,138100
2020-05-28,661.6909790039062,730.0,785.0,710.0,730.0,349100
2020-05-29,657.1588745117188,725.0,750.0,710.0,730.0,313500
2020-06-02,657.1588745117188,725.0,750.0,705.0,750.0,279200
2020-06-03,652.6267700195312,720.0,730.0,710.0,725.0,214300
2020-06-04,657.1588745117188,725.0,740.0,715.0,730.0,990100
2020-06-05,734.2051391601562,810.0,825.0,725.0,725.0,1361200
2020-06-08,824.8477172851562,910.0,1000.0,820.0,820.0,1253600
2020-06-09,770.4620971679688,850.0,930.0,850.0,930.0,641800
2020-06-10,752.3336181640625,830.0,860.0,815.0,830.0,383100
2020-06-11,725.1408081054688,800.0,850.0,800.0,835.0,409700
2020-06-12,720.6087036132812,795.0,800.0,745.0,780.0,579300
2020-06-15,743.2693481445312,820.0,840.0,805.0,805.0,540200
2020-06-16,802.1870727539062,885.0,885.0,830.0,835.0,680800
2020-06-17,779.5263671875,860.0,895.0,845.0,885.0,496600
2020-06-18,770.4620971679688,850.0,860.0,830.0,860.0,132600
2020-06-19,774.9942626953125,855.0,865.0,840.0,860.0,165700
2020-06-22,779.5263671875,860.0,875.0,855.0,875.0,224200
2020-06-23,815.783447265625,900.0,920.0,870.0,870.0,1683600
2020-06-24,806.7191772460938,890.0,915.0,880.0,915.0,1728100
2020-06-25,802.1870727539062,885.0,900.0,870.0,890.0,1193700
2020-06-26,773.994873046875,825.0,880.0,825.0,880.0,1160400
2020-06-29,759.9222412109375,810.0,835.0,810.0,830.0,303800
2020-06-30,741.15869140625,790.0,840.0,785.0,810.0,304600
2020-07-01,750.5404663085938,800.0,805.0,790.0,800.0,228700
2020-07-02,698.9407958984375,745.0,800.0,745.0,795.0,1899900
2020-07-03,652.0320434570312,695.0,735.0,695.0,720.0,25052400
2020-07-06,670.7955322265625,715.0,750.0,695.0,700.0,24740800
2020-07-07,628.57763671875,670.0,725.0,665.0,725.0,13604400
2020-07-08,642.6502685546875,685.0,695.0,670.0,670.0,3864900
2020-07-09,642.6502685546875,685.0,695.0,680.0,690.0,8346800
2020-07-10,647.3411865234375,690.0,705.0,685.0,685.0,4046900
2020-07-13,642.6502685546875,685.0,700.0,680.0,690.0,2794700
2020-07-14,637.9594116210938,680.0,690.0,670.0,685.0,2044000
2020-07-15,633.2685546875,675.0,690.0,675.0,680.0,964300
2020-07-16,628.57763671875,670.0,675.0,660.0,675.0,1817800
2020-07-17,619.1959228515625,660.0,680.0,660.0,675.0,2331600
2020-07-20,605.123291015625,645.0,670.0,640.0,660.0,1591400
2020-07-21,614.5050048828125,655.0,670.0,635.0,645.0,3167000
2020-07-22,614.5050048828125,655.0,670.0,650.0,660.0,842700
2020-07-23,614.5050048828125,655.0,655.0,645.0,655.0,673500
2020-07-24,614.5050048828125,655.0,655.0,640.0,655.0,969400
2020-07-27,605.123291015625,645.0,655.0,640.0,655.0,607100
2020-07-28,600.4323120117188,640.0,650.0,630.0,650.0,659700
2020-07-29,595.741455078125,635.0,645.0,635.0,640.0,529300
2020-07-30,586.3596801757812,625.0,640.0,615.0,635.0,1261500
2020-08-03,553.5235595703125,590.0,635.0,585.0,625.0,3217600
2020-08-04,558.2144165039062,595.0,600.0,585.0,585.0,1340400
2020-08-05,558.2144165039062,595.0,620.0,590.0,595.0,993500
2020-08-06,562.9053344726562,600.0,605.0,595.0,595.0,1543000
2020-08-07,562.9053344726562,600.0,610.0,595.0,600.0,1777000
2020-08-10,591.0505981445312,630.0,660.0,595.0,600.0,7760500
2020-08-11,581.6688232421875,620.0,640.0,620.0,635.0,2176200
2020-08-12,581.6688232421875,620.0,630.0,615.0,625.0,1252800
2020-08-13,586.3596801757812,625.0,640.0,615.0,620.0,3176700
2020-08-14,581.6688232421875,620.0,635.0,620.0,625.0,4359900
2020-08-18,586.3596801757812,625.0,630.0,620.0,620.0,1658400
2020-08-19,605.123291015625,645.0,670.0,625.0,625.0,10825300
2020-08-24,609.8141479492188,650.0,650.0,635.0,645.0,2826700
2020-08-25,609.8141479492188,650.0,650.0,640.0,650.0,2893500
2020-08-26,600.4323120117188,640.0,650.0,635.0,650.0,1331800
2020-08-27,623.8867797851562,665.0,670.0,635.0,640.0,6886700
2020-08-28,614.5050048828125,655.0,675.0,650.0,665.0,2195500
2020-08-31,586.3596801757812,625.0,660.0,620.0,655.0,2061100
2020-09-01,581.6688232421875,620.0,645.0,615.0,630.0,3557000
2020-09-02,586.3596801757812,625.0,640.0,620.0,620.0,5009300
2020-09-03,591.0505981445312,630.0,640.0,625.0,630.0,2669200
2020-09-04,591.0505981445312,630.0,630.0,600.0,630.0,1041100
2020-09-07,586.3596801757812,625.0,635.0,620.0,630.0,1907400
2020-09-08,586.3596801757812,625.0,635.0,620.0,635.0,3035600
2020-09-09,581.6688232421875,620.0,625.0,610.0,625.0,1228400
2020-09-10,544.1417846679688,580.0,610.0,580.0,585.0,4193700
2020-09-11,548.8327026367188,585.0,600.0,540.0,580.0,1308100
2020-09-14,562.9053344726562,600.0,600.0,585.0,585.0,670700
2020-09-15,562.9053344726562,600.0,610.0,595.0,595.0,761100
2020-09-16,558.2144165039062,595.0,600.0,585.0,600.0,180400
2020-09-17,548.8327026367188,585.0,595.0,575.0,575.0,570400
2020-09-18,553.5235595703125,590.0,605.0,570.0,585.0,1256400
2020-09-21,544.1417846679688,580.0,590.0,580.0,590.0,966800
2020-09-22,534.7600708007812,570.0,580.0,565.0,575.0,1664000
2020-09-23,544.1417846679688,580.0,600.0,570.0,570.0,1802700
2020-09-24,548.8327026367188,585.0,635.0,580.0,580.0,2911100
2020-09-25,553.5235595703125,590.0,610.0,590.0,600.0,1062900
2020-09-28,558.2144165039062,595.0,600.0,590.0,595.0,154500
2020-09-29,544.1417846679688,580.0,600.0,580.0,595.0,129800
2020-09-30,539.450927734375,575.0,595.0,575.0,580.0,126200
2020-10-01,548.8327026367188,585.0,590.0,575.0,580.0,63900
2020-10-02,548.8327026367188,585.0,600.0,580.0,600.0,210200
2020-10-05,553.5235595703125,590.0,600.0,575.0,585.0,512400
2020-10-06,548.8327026367188,585.0,595.0,585.0,590.0,150600
2020-10-07,539.450927734375,575.0,595.0,575.0,585.0,369400
2020-10-08,544.1417846679688,580.0,600.0,575.0,575.0,4595500
2020-10-09,558.2144165039062,595.0,610.0,585.0,585.0,629100
2020-10-12,562.9053344726562,600.0,650.0,600.0,605.0,5702700
2020-10-13,576.9779663085938,615.0,640.0,600.0,605.0,5550000
2020-10-14,609.8141479492188,650.0,650.0,610.0,620.0,2825900
2020-10-15,600.4323120117188,640.0,770.0,630.0,650.0,23903300
2020-10-16,600.4323120117188,640.0,665.0,640.0,640.0,5067200
2020-10-19,595.741455078125,635.0,640.0,610.0,640.0,1013400
2020-10-20,591.0505981445312,630.0,635.0,630.0,630.0,547200
2020-10-21,600.4323120117188,640.0,640.0,615.0,625.0,1129800
2020-10-22,576.9779663085938,615.0,640.0,610.0,610.0,945800
2020-10-23,581.6688232421875,620.0,630.0,615.0,615.0,527200
2020-10-26,586.3596801757812,625.0,630.0,615.0,625.0,677300
2020-10-27,586.3596801757812,625.0,635.0,620.0,620.0,594000
2020-11-02,581.6688232421875,620.0,625.0,610.0,620.0,414900
2020-11-03,572.2870483398438,610.0,625.0,610.0,620.0,1743400
2020-11-04,576.9779663085938,615.0,620.0,600.0,605.0,728700
2020-11-05,581.6688232421875,620.0,625.0,615.0,615.0,335700
2020-11-06,581.6688232421875,620.0,635.0,615.0,620.0,402200
2020-11-09,576.9779663085938,615.0,630.0,595.0,630.0,1292200
2020-11-10,586.3596801757812,625.0,640.0,620.0,620.0,1699500
2020-11-11,591.0505981445312,630.0,635.0,625.0,630.0,949400
2020-11-12,600.4323120117188,640.0,650.0,620.0,630.0,991200
2020-11-13,609.8141479492188,650.0,660.0,635.0,650.0,1165400
2020-11-16,656.722900390625,700.0,700.0,640.0,650.0,3465200
2020-11-17,652.0320434570312,695.0,710.0,680.0,700.0,3395300
2020-11-18,684.8681640625,730.0,730.0,685.0,695.0,3895900
2020-11-19,698.9407958984375,745.0,745.0,720.0,740.0,4134200
2020-11-20,703.6317138671875,750.0,755.0,735.0,745.0,2874700
2020-11-23,703.6317138671875,750.0,760.0,745.0,750.0,1667500
2020-11-24,727.0860595703125,775.0,780.0,745.0,760.0,2141400
2020-11-25,703.6317138671875,750.0,795.0,745.0,795.0,2606200
2020-11-26,713.013427734375,760.0,780.0,750.0,755.0,1037000
2020-11-27,736.4678344726562,785.0,785.0,750.0,760.0,783700
2020-11-30,689.55908203125,735.0,790.0,735.0,790.0,1865500
2020-12-01,670.7955322265625,715.0,740.0,690.0,735.0,3605800
2020-12-02,684.8681640625,730.0,735.0,715.0,715.0,770300
2020-12-03,684.8681640625,730.0,740.0,725.0,730.0,686100
2020-12-04,675.4864501953125,720.0,730.0,715.0,730.0,843400
2020-12-07,727.0860595703125,775.0,775.0,720.0,720.0,2382400
2020-12-08,773.994873046875,825.0,830.0,775.0,780.0,3182800
2020-12-10,773.994873046875,825.0,850.0,810.0,835.0,1869000
2020-12-11,769.303955078125,820.0,825.0,790.0,825.0,1239900
2020-12-14,788.0675048828125,840.0,860.0,820.0,825.0,995400
2020-12-15,783.3765869140625,835.0,850.0,820.0,840.0,1062100
2020-12-16,778.6857299804688,830.0,835.0,820.0,835.0,723400
2020-12-17,783.3765869140625,835.0,835.0,815.0,830.0,1020000
2020-12-18,788.0675048828125,840.0,865.0,815.0,835.0,1406300
2020-12-21,788.0675048828125,840.0,850.0,830.0,845.0,1667600
2020-12-22,773.994873046875,825.0,840.0,810.0,840.0,1438500
2020-12-23,783.3765869140625,835.0,840.0,770.0,825.0,1230800
2020-12-28,764.6130981445312,815.0,835.0,810.0,835.0,281600
2020-12-29,764.6130981445312,815.0,825.0,800.0,825.0,935300
2020-12-30,759.9222412109375,810.0,820.0,800.0,810.0,942600
2021-01-04,731.7769775390625,780.0,815.0,755.0,810.0,524800
2021-01-05,731.7769775390625,780.0,795.0,770.0,770.0,342500
2021-01-06,741.15869140625,790.0,805.0,780.0,780.0,1609500
2021-01-07,741.15869140625,790.0,810.0,770.0,805.0,1312600
2021-01-08,741.15869140625,790.0,790.0,780.0,790.0,720200
2021-01-11,708.3225708007812,755.0,790.0,755.0,785.0,736800
2021-01-12,773.994873046875,825.0,825.0,755.0,755.0,675400
2021-01-13,755.2313232421875,805.0,825.0,800.0,825.0,734800
2021-01-14,750.5404663085938,800.0,820.0,790.0,805.0,628300
