Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,292.6147766113281,330.0,330.0,320.0,330.0,8800
2020-01-03,290.8413391113281,328.0,328.0,322.0,322.0,3100
2020-01-06,292.6147766113281,330.0,330.0,328.0,328.0,27000
2020-01-07,292.6147766113281,330.0,330.0,310.0,310.0,984300
2020-01-08,292.6147766113281,330.0,330.0,330.0,330.0,1200
2020-01-09,292.6147766113281,330.0,330.0,318.0,318.0,104700
2020-01-10,285.5211181640625,322.0,324.0,310.0,320.0,108700
2020-01-13,283.7476501464844,320.0,322.0,320.0,322.0,2900
2020-01-14,294.3882141113281,332.0,332.0,320.0,320.0,9700
2020-01-15,281.9742431640625,318.0,330.0,300.0,322.0,263500
2020-01-16,281.9742431640625,318.0,318.0,310.0,310.0,37800
2020-01-17,274.88055419921875,310.0,322.0,310.0,322.0,2900400
2020-01-20,276.65399169921875,312.0,320.0,312.0,320.0,55600
2020-01-21,274.88055419921875,310.0,310.0,310.0,310.0,80000
2020-01-22,276.65399169921875,312.0,312.0,312.0,312.0,112500
2020-01-23,281.9742431640625,318.0,320.0,310.0,310.0,11100
2020-01-24,283.7476501464844,320.0,332.0,316.0,318.0,13700
2020-01-27,274.88055419921875,310.0,312.0,310.0,312.0,51600
2020-01-28,276.65399169921875,312.0,312.0,312.0,312.0,100
2020-01-29,276.65399169921875,312.0,312.0,312.0,312.0,51900
2020-01-30,278.4273986816406,314.0,314.0,310.0,312.0,106700
2020-01-31,271.3337097167969,306.0,310.0,306.0,310.0,21000
2020-02-03,269.560302734375,304.0,310.0,300.0,302.0,7500
2020-02-04,266.013427734375,300.0,300.0,300.0,300.0,1151000
2020-02-05,266.013427734375,300.0,310.0,300.0,300.0,224100
2020-02-06,266.013427734375,300.0,300.0,300.0,300.0,56000
2020-02-07,266.013427734375,300.0,300.0,300.0,300.0,378000
2020-02-10,266.013427734375,300.0,300.0,300.0,300.0,48700
2020-02-11,266.013427734375,300.0,300.0,300.0,300.0,89800
2020-02-12,266.013427734375,300.0,300.0,300.0,300.0,0
2020-02-13,260.69317626953125,294.0,300.0,294.0,296.0,1064200
2020-02-14,264.2400207519531,298.0,298.0,294.0,294.0,117300
2020-02-17,266.013427734375,300.0,300.0,290.0,298.0,1400
2020-02-18,266.013427734375,300.0,300.0,300.0,300.0,0
2020-02-19,266.013427734375,300.0,300.0,300.0,300.0,1000
2020-02-20,257.1463317871094,290.0,300.0,290.0,300.0,32300
2020-02-21,257.1463317871094,290.0,290.0,290.0,290.0,400
2020-02-24,257.1463317871094,290.0,290.0,290.0,290.0,200
2020-02-25,264.2400207519531,298.0,300.0,290.0,290.0,4800
2020-02-26,257.1463317871094,290.0,296.0,288.0,288.0,1100
2020-02-27,246.50579833984375,278.0,280.0,270.0,280.0,35900
2020-02-28,241.18551635742188,272.0,278.0,260.0,270.0,231500
2020-03-02,241.18551635742188,272.0,272.0,272.0,272.0,0
2020-03-03,239.41209411621094,270.0,280.0,270.0,280.0,181800
2020-03-04,239.41209411621094,270.0,270.0,270.0,270.0,0
2020-03-05,239.41209411621094,270.0,270.0,270.0,270.0,0
2020-03-06,242.95892333984375,274.0,274.0,274.0,274.0,3100
2020-03-09,242.95892333984375,274.0,274.0,274.0,274.0,5200
