Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,218.0,218.0,218.0,212.0,214.0,4600
2020-01-03,218.0,218.0,226.0,210.0,218.0,77600
2020-01-06,218.0,218.0,218.0,218.0,218.0,1000
2020-01-07,218.0,218.0,218.0,218.0,218.0,12700
2020-01-08,216.0,216.0,224.0,214.0,224.0,8600
2020-01-09,212.0,212.0,212.0,210.0,212.0,1700
2020-01-10,222.0,222.0,222.0,212.0,212.0,15600
2020-01-13,214.0,214.0,222.0,202.0,222.0,113500
2020-01-14,218.0,218.0,218.0,210.0,210.0,94000
2020-01-15,216.0,216.0,216.0,208.0,210.0,65600
2020-01-16,216.0,216.0,216.0,212.0,216.0,7900
2020-01-17,210.0,210.0,216.0,210.0,216.0,92800
2020-01-20,208.0,208.0,210.0,208.0,210.0,47500
2020-01-21,210.0,210.0,212.0,210.0,210.0,12400
2020-01-22,204.0,204.0,210.0,202.0,210.0,83000
2020-01-23,210.0,210.0,214.0,208.0,214.0,1700
2020-01-24,206.0,206.0,206.0,206.0,206.0,10000
2020-01-27,200.0,200.0,206.0,200.0,206.0,134500
2020-01-28,200.0,200.0,202.0,200.0,202.0,38600
2020-01-29,204.0,204.0,204.0,200.0,200.0,22400
2020-01-30,200.0,200.0,202.0,200.0,200.0,71600
2020-01-31,270.0,270.0,270.0,214.0,214.0,4311200
2020-02-03,256.0,256.0,320.0,250.0,274.0,8621400
2020-02-04,242.0,242.0,256.0,240.0,256.0,891100
2020-02-05,242.0,242.0,256.0,242.0,256.0,312600
2020-02-06,302.0,302.0,302.0,232.0,232.0,10233900
2020-02-07,280.0,280.0,318.0,260.0,318.0,12036800
2020-02-10,284.0,284.0,320.0,280.0,280.0,4540800
2020-02-11,280.0,280.0,296.0,270.0,290.0,645300
2020-02-12,276.0,276.0,284.0,266.0,280.0,279500
2020-02-13,282.0,282.0,300.0,272.0,286.0,1215800
2020-02-14,290.0,290.0,296.0,272.0,284.0,256700
2020-02-17,302.0,302.0,316.0,282.0,292.0,2080900
2020-02-18,298.0,298.0,316.0,290.0,306.0,445000
2020-02-19,300.0,300.0,308.0,282.0,308.0,65200
2020-02-20,288.0,288.0,300.0,286.0,300.0,39800
2020-02-21,284.0,284.0,288.0,282.0,288.0,85400
2020-02-24,282.0,282.0,290.0,272.0,272.0,36300
2020-02-25,280.0,280.0,284.0,280.0,280.0,19000
2020-02-26,286.0,286.0,300.0,280.0,286.0,35600
2020-02-27,268.0,268.0,292.0,266.0,292.0,4300
2020-02-28,270.0,270.0,270.0,210.0,264.0,341700
2020-03-02,240.0,240.0,270.0,240.0,250.0,214600
2020-03-03,258.0,258.0,266.0,240.0,240.0,298200
2020-03-04,274.0,274.0,274.0,246.0,248.0,42600
2020-03-05,262.0,262.0,280.0,262.0,274.0,13500
