Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,8210.3017578125,9175.0,9175.0,9175.0,9175.0,2700
2020-01-03,8210.3017578125,9175.0,9175.0,9175.0,9175.0,0
2020-01-06,8210.3017578125,9175.0,9175.0,9175.0,9175.0,0
2020-01-07,8187.9296875,9150.0,9150.0,9150.0,9150.0,100
2020-01-08,8210.3017578125,9175.0,9175.0,9175.0,9175.0,1000
2020-01-09,8210.3017578125,9175.0,9175.0,9175.0,9175.0,0
2020-01-10,8210.3017578125,9175.0,9175.0,9000.0,9000.0,1500
2020-01-13,8210.3017578125,9175.0,9175.0,9175.0,9175.0,0
2020-01-14,8210.3017578125,9175.0,9175.0,9175.0,9175.0,2000
2020-01-15,8210.3017578125,9175.0,9175.0,9175.0,9175.0,2000
2020-01-16,8210.3017578125,9175.0,9175.0,9175.0,9175.0,1500
2020-01-17,8210.3017578125,9175.0,9175.0,9175.0,9175.0,0
2020-01-20,8210.3017578125,9175.0,9175.0,9175.0,9175.0,1900
2020-01-21,8232.673828125,9200.0,9200.0,9000.0,9000.0,5200
2020-01-22,8232.673828125,9200.0,9200.0,9200.0,9200.0,1100
2020-01-23,8187.9296875,9150.0,9150.0,9100.0,9100.0,11000
2020-01-24,8232.673828125,9200.0,9200.0,9100.0,9100.0,2100
2020-01-27,8210.3017578125,9175.0,9175.0,9000.0,9000.0,5700
2020-01-28,8232.673828125,9200.0,9200.0,9025.0,9025.0,7200
2020-01-29,8232.673828125,9200.0,9200.0,9200.0,9200.0,2000
2020-01-30,8232.673828125,9200.0,9200.0,9000.0,9000.0,7500
2020-01-31,8232.673828125,9200.0,9200.0,9025.0,9025.0,6200
2020-02-03,8232.673828125,9200.0,9200.0,9200.0,9200.0,100
2020-02-04,8165.5576171875,9125.0,9175.0,9000.0,9025.0,12200
2020-02-05,8187.9296875,9150.0,9150.0,9150.0,9150.0,3000
2020-02-06,8232.673828125,9200.0,9200.0,9025.0,9050.0,5500
2020-02-07,8232.673828125,9200.0,9200.0,9200.0,9200.0,1000
2020-02-10,8232.673828125,9200.0,9200.0,9200.0,9200.0,1000
2020-02-11,8232.673828125,9200.0,9200.0,9200.0,9200.0,1200
2020-02-12,8143.18798828125,9100.0,9100.0,9000.0,9025.0,6600
2020-02-13,8187.9296875,9150.0,9150.0,9150.0,9150.0,1500
2020-02-14,8210.3017578125,9175.0,9175.0,9175.0,9175.0,1000
2020-02-17,8165.5576171875,9125.0,9125.0,9125.0,9125.0,500
2020-02-18,8165.5576171875,9125.0,9125.0,9000.0,9000.0,5600
2020-02-19,8165.5576171875,9125.0,9125.0,9125.0,9125.0,1000
2020-02-20,8120.81591796875,9075.0,9075.0,9000.0,9000.0,14900
2020-02-21,8143.18798828125,9100.0,9100.0,9100.0,9100.0,1000
2020-02-24,8120.81591796875,9075.0,9075.0,9075.0,9075.0,1500
2020-02-25,8143.18798828125,9100.0,9100.0,9100.0,9100.0,2000
2020-02-26,8120.81591796875,9075.0,9075.0,9000.0,9000.0,1400
2020-02-27,8120.81591796875,9075.0,9075.0,9075.0,9075.0,500
2020-02-28,8143.18798828125,9100.0,9100.0,9100.0,9100.0,2000
2020-03-02,8143.18798828125,9100.0,9100.0,9100.0,9100.0,1000
2020-03-03,8165.5576171875,9125.0,9125.0,9125.0,9125.0,3000
2020-03-04,8120.81591796875,9075.0,9075.0,9075.0,9075.0,1000
2020-03-05,8187.9296875,9150.0,9150.0,9150.0,9150.0,1000
2020-03-06,8165.5576171875,9125.0,9125.0,9125.0,9125.0,1000
2020-03-09,8165.5576171875,9125.0,9125.0,9125.0,9125.0,500
2020-03-10,8143.18798828125,9100.0,9100.0,9100.0,9100.0,100
2020-03-11,8120.81591796875,9075.0,9075.0,9000.0,9000.0,4500
2020-03-12,8120.81591796875,9075.0,9075.0,9075.0,9075.0,0
2020-03-13,8120.81591796875,9075.0,9075.0,9000.0,9000.0,1200
2020-03-16,8120.81591796875,9075.0,9075.0,9075.0,9075.0,1000
2020-03-17,8008.958984375,8950.0,8950.0,8450.0,8450.0,8000
2020-03-18,7718.13037109375,8625.0,8875.0,8325.0,8875.0,5400
2020-03-19,7785.24560546875,8700.0,8700.0,8700.0,8700.0,500
2020-03-20,8031.330078125,8975.0,8975.0,8100.0,8125.0,4700
2020-03-23,7516.78857421875,8400.0,8800.0,8350.0,8800.0,2200
2020-03-24,7785.24560546875,8700.0,8700.0,8700.0,8700.0,500
2020-03-26,7740.501953125,8650.0,8650.0,8650.0,8650.0,500
