Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,1055.0,1055.0,1075.0,1040.0,1075.0,78600
2020-01-03,1030.0,1030.0,1060.0,995.0,1055.0,178700
2020-01-06,1025.0,1025.0,1025.0,1025.0,1025.0,15300
2020-01-07,1025.0,1025.0,1025.0,1025.0,1025.0,1000
2020-01-08,1025.0,1025.0,1025.0,1020.0,1020.0,11500
2020-01-09,1020.0,1020.0,1020.0,1010.0,1020.0,22400
2020-01-10,1020.0,1020.0,1020.0,1015.0,1015.0,4000
2020-01-13,1020.0,1020.0,1020.0,1020.0,1020.0,2000
2020-01-14,1015.0,1015.0,1025.0,1000.0,1025.0,43400
2020-01-15,1010.0,1010.0,1010.0,1000.0,1010.0,29800
2020-01-16,1010.0,1010.0,1010.0,1000.0,1005.0,10900
2020-01-17,1010.0,1010.0,1010.0,1000.0,1005.0,11500
2020-01-20,1010.0,1010.0,1010.0,1005.0,1005.0,4100
2020-01-21,995.0,995.0,1005.0,995.0,1005.0,22300
2020-01-22,995.0,995.0,995.0,990.0,990.0,167000
2020-01-23,995.0,995.0,995.0,990.0,990.0,1220400
2020-01-24,995.0,995.0,995.0,990.0,990.0,762300
2020-01-27,995.0,995.0,995.0,990.0,990.0,77400
2020-01-28,1000.0,1000.0,1000.0,995.0,995.0,143300
2020-01-29,985.0,985.0,995.0,985.0,995.0,605400
2020-01-30,965.0,965.0,980.0,965.0,980.0,41700
2020-01-31,965.0,965.0,965.0,955.0,965.0,10800
2020-02-03,955.0,955.0,960.0,955.0,960.0,15200
2020-02-04,950.0,950.0,950.0,945.0,950.0,13000
2020-02-05,950.0,950.0,950.0,945.0,945.0,5200
2020-02-06,950.0,950.0,950.0,945.0,945.0,700
2020-02-07,950.0,950.0,950.0,945.0,945.0,10200
2020-02-10,940.0,940.0,945.0,940.0,945.0,19000
2020-02-11,940.0,940.0,940.0,940.0,940.0,6100
2020-02-12,940.0,940.0,940.0,940.0,940.0,6800
2020-02-13,895.0,895.0,935.0,890.0,935.0,106900
2020-02-14,895.0,895.0,895.0,890.0,890.0,10200
2020-02-17,890.0,890.0,895.0,880.0,895.0,30900
2020-02-18,895.0,895.0,895.0,885.0,890.0,161800
2020-02-19,890.0,890.0,895.0,890.0,890.0,85900
2020-02-20,890.0,890.0,890.0,885.0,885.0,34700
2020-02-21,885.0,885.0,885.0,885.0,885.0,8700
2020-02-24,880.0,880.0,880.0,875.0,880.0,13000
2020-02-25,880.0,880.0,880.0,875.0,875.0,4200
2020-02-26,880.0,880.0,880.0,875.0,875.0,12900
2020-02-27,880.0,880.0,880.0,875.0,875.0,6700
2020-02-28,875.0,875.0,875.0,870.0,875.0,20400
2020-03-02,880.0,880.0,880.0,875.0,875.0,54600
2020-03-03,880.0,880.0,880.0,880.0,880.0,7400
2020-03-04,885.0,885.0,885.0,875.0,880.0,13900
2020-03-05,885.0,885.0,885.0,880.0,880.0,10200
2020-03-06,885.0,885.0,885.0,880.0,880.0,7900
2020-03-09,860.0,860.0,880.0,825.0,880.0,176300
2020-03-10,840.0,840.0,855.0,815.0,855.0,68600
2020-03-11,825.0,825.0,835.0,825.0,835.0,13700
2020-03-12,800.0,800.0,820.0,800.0,820.0,20900
2020-03-13,800.0,800.0,800.0,795.0,800.0,5500
