Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,817.7471313476562,862.5,868.75,856.25,862.5,267200
2020-01-03,799.9700317382812,843.75,862.5,843.75,862.5,1033600
2020-01-06,794.0443725585938,837.5,846.875,831.25,843.75,424800
2020-01-07,799.9700317382812,843.75,856.25,825.0,825.0,4836000
2020-01-08,794.0443725585938,837.5,862.5,828.125,837.5,4948800
2020-01-09,802.9329223632812,846.875,862.5,828.125,837.5,4471200
2020-01-10,799.9700317382812,843.75,856.25,818.75,837.5,6986400
2020-01-13,794.0443725585938,837.5,853.125,831.25,843.75,3540000
2020-01-14,799.9700317382812,843.75,843.75,821.875,837.5,3548800
2020-01-15,785.1558227539062,828.125,850.0,821.875,837.5,5676800
2020-01-16,788.1187133789062,831.25,837.5,821.875,828.125,2023200
2020-01-17,782.1929321289062,825.0,837.5,812.5,831.25,3665600
2020-01-20,776.2672119140625,818.75,818.75,784.375,818.75,3538400
2020-01-21,779.2300415039062,821.875,821.875,803.125,806.25,592000
2020-01-22,788.1187133789062,831.25,831.25,796.875,821.875,2631200
2020-01-23,791.08154296875,834.375,837.5,806.25,828.125,3564000
2020-01-24,799.9700317382812,843.75,850.0,828.125,837.5,3033600
2020-01-27,799.9700317382812,843.75,850.0,831.25,843.75,2216800
2020-01-28,794.0443725585938,837.5,846.875,828.125,846.875,1936000
2020-01-29,782.1929321289062,825.0,837.5,818.75,837.5,2392800
2020-01-30,782.1929321289062,825.0,825.0,815.625,825.0,649600
2020-01-31,782.1929321289062,825.0,831.25,803.125,825.0,1719200
2020-02-03,782.1929321289062,825.0,825.0,806.25,825.0,552000
2020-02-04,785.1558227539062,828.125,828.125,812.5,821.875,3677600
2020-02-05,782.1929321289062,825.0,837.5,812.5,828.125,3036000
2020-02-06,779.2300415039062,821.875,834.375,812.5,825.0,2656800
2020-02-07,779.2300415039062,821.875,825.0,806.25,821.875,1632800
2020-02-10,773.3043823242188,815.625,821.875,806.25,821.875,682400
2020-02-11,788.1187133789062,831.25,837.5,818.75,818.75,4772000
2020-02-12,797.0072021484375,840.625,843.75,825.0,834.375,4569600
2020-02-13,799.9700317382812,843.75,850.0,840.625,840.625,3211200
2020-02-14,811.8214721679688,856.25,856.25,840.625,843.75,4436000
2020-02-17,817.7471313476562,862.5,862.5,853.125,856.25,1735200
2020-02-18,814.7843627929688,859.375,862.5,856.25,862.5,952000
2020-02-19,811.8214721679688,856.25,862.5,853.125,856.25,969600
2020-02-20,811.8214721679688,856.25,859.375,853.125,859.375,668000
2020-02-21,808.858642578125,853.125,856.25,840.625,856.25,1206400
2020-02-24,808.858642578125,853.125,856.25,843.75,850.0,989600
2020-02-25,808.858642578125,853.125,853.125,850.0,853.125,522400
2020-02-26,797.0072021484375,840.625,850.0,837.5,850.0,484000
2020-02-27,788.1187133789062,831.25,843.75,818.75,843.75,412800
2020-02-28,758.4901123046875,800.0,821.875,771.875,821.875,1465600
2020-03-02,761.4530029296875,803.125,815.625,793.75,800.0,3930400
2020-03-03,758.4901123046875,800.0,803.125,793.75,796.875,3330400
2020-03-04,758.4901123046875,800.0,803.125,796.875,800.0,1022400
2020-03-05,767.3787231445312,809.375,825.0,800.0,809.375,162400
2020-03-06,752.564453125,793.75,812.5,784.375,803.125,716000
2020-03-09,737.7501220703125,778.125,790.625,750.0,787.5,1337600
2020-03-10,737.7501220703125,778.125,784.375,762.5,775.0,1613600
2020-03-11,728.861572265625,768.75,778.125,753.125,778.125,687200
2020-03-12,722.9358520507812,762.5,765.625,737.5,762.5,1944000
2020-03-13,705.1588745117188,743.75,762.5,725.0,734.375,1419200
2020-03-16,705.1588745117188,743.75,743.75,743.75,743.75,0
2020-03-17,711.0845336914062,750.0,762.5,712.5,715.625,1145600
2020-03-18,663.6788940429688,700.0,750.0,700.0,750.0,2192800
2020-03-19,619.2360229492188,653.125,665.625,653.125,653.125,558400
2020-03-20,575.9784545898438,607.5,625.0,607.5,625.0,1172000
2020-03-23,535.68359375,565.0,566.25,565.0,565.0,2634400
2020-03-24,509.61053466796875,537.5,565.0,530.0,563.75,404800
2020-03-26,592.5704345703125,625.0,625.0,526.25,527.5,7692000
2020-03-27,598.4961547851562,631.25,721.875,581.25,625.0,911200
2020-03-30,584.2744750976562,616.25,625.0,613.75,618.75,332800
2020-03-31,711.0845336914062,750.0,750.0,650.0,650.0,928800
2020-04-01,690.3445434570312,728.125,750.0,706.25,750.0,396000
2020-04-02,687.3817138671875,725.0,728.125,700.0,712.5,66400
2020-04-03,663.6788940429688,700.0,718.75,700.0,700.0,119200
2020-04-06,663.6788940429688,700.0,700.0,675.0,700.0,205600
2020-04-07,639.97607421875,675.0,712.5,675.0,700.0,104000
2020-04-08,675.5302734375,712.5,715.625,659.375,675.0,444000
2020-04-09,631.0875244140625,665.625,712.5,665.625,712.5,1236000
2020-04-13,654.790283203125,690.625,700.0,637.5,665.625,536800
2020-04-14,634.0503540039062,668.75,690.625,656.25,690.625,261600
2020-04-15,604.421875,637.5,668.75,637.5,668.75,175200
2020-04-16,580.7190551757812,612.5,653.125,605.0,637.5,268800
2020-04-17,592.5704345703125,625.0,637.5,577.5,612.5,1222400
2020-04-20,592.5704345703125,625.0,637.5,603.75,637.5,2231200
2020-04-21,568.8676147460938,600.0,608.75,600.0,606.25,240800
2020-04-22,545.164794921875,575.0,600.0,563.75,600.0,3140000
2020-04-23,558.2012939453125,588.75,600.0,575.0,575.0,507200
2020-04-24,558.2012939453125,588.75,588.75,576.25,588.75,328000
2020-04-27,562.94189453125,593.75,600.0,592.5,592.5,2490400
2020-04-28,562.94189453125,593.75,598.75,593.75,593.75,1788800
2020-04-29,586.6446533203125,618.75,618.75,591.25,600.0,291200
2020-04-30,622.1989135742188,656.25,681.25,618.75,625.0,686400
2020-05-04,590.2001342773438,622.5,656.25,618.75,653.125,1408000
2020-05-05,598.4961547851562,631.25,650.0,618.75,622.5,627200
2020-05-06,619.2360229492188,653.125,656.25,631.25,637.5,220800
2020-05-08,625.1618041992188,659.375,687.5,634.375,653.125,998400
2020-05-11,637.0132446289062,671.875,675.0,656.25,662.5,680000
2020-05-12,645.9017333984375,681.25,700.0,656.25,662.5,295200
2020-05-13,651.8275146484375,687.5,693.75,668.75,681.25,1056800
2020-05-14,651.8275146484375,687.5,693.75,687.5,687.5,116800
2020-05-15,651.8275146484375,687.5,696.875,675.0,678.125,952000
2020-05-18,651.8275146484375,687.5,700.0,681.25,687.5,376800
2020-05-19,660.7160034179688,696.875,703.125,687.5,687.5,316800
2020-05-20,651.8275146484375,687.5,687.5,684.375,687.5,88800
2020-05-26,648.8645629882812,684.375,706.25,684.375,687.5,1837600
2020-05-27,651.8275146484375,687.5,696.875,662.5,684.375,113600
2020-05-28,639.97607421875,675.0,693.75,675.0,693.75,19200
2020-05-29,648.8645629882812,684.375,687.5,684.375,687.5,6400
2020-06-02,607.3846435546875,640.625,700.0,637.5,662.5,528000
2020-06-03,645.9017333984375,681.25,687.5,640.625,640.625,416800
2020-06-04,657.753173828125,693.75,693.75,687.5,687.5,222400
2020-06-05,663.6788940429688,700.0,700.0,690.625,693.75,328000
2020-06-08,693.307373046875,731.25,731.25,687.5,700.0,588000
2020-06-09,693.307373046875,731.25,737.5,718.75,737.5,1698400
2020-06-10,687.3817138671875,725.0,740.625,687.5,731.25,1401600
2020-06-11,663.6788940429688,700.0,734.375,700.0,725.0,198400
2020-06-12,654.790283203125,690.625,700.0,681.25,687.5,131200
2020-06-15,639.97607421875,675.0,690.625,675.0,684.375,791200
2020-06-16,616.2732543945312,650.0,700.0,646.875,700.0,4564000
2020-06-17,616.2732543945312,650.0,668.75,650.0,656.25,1909600
2020-06-18,622.1989135742188,656.25,668.75,653.125,653.125,1694400
2020-06-19,619.2360229492188,653.125,665.625,653.125,656.25,1244800
2020-06-22,619.2360229492188,653.125,665.625,650.0,665.625,582400
2020-06-23,645.9017333984375,681.25,690.625,656.25,656.25,3533600
2020-06-24,651.8275146484375,687.5,700.0,678.125,690.625,3445600
2020-06-25,631.0875244140625,665.625,675.0,662.5,675.0,460800
2020-06-26,628.1246337890625,662.5,687.5,653.125,687.5,209600
2020-06-29,622.1989135742188,656.25,671.875,656.25,662.5,310400
2020-06-30,616.2732543945312,650.0,668.75,650.0,656.25,1560800
2020-07-01,613.3103637695312,646.875,650.0,640.625,650.0,508000
2020-07-02,613.3103637695312,646.875,659.375,643.75,650.0,612800
