Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,372.5115051269531,428.0,436.0,422.0,434.0,8250100
2020-01-03,370.77081298828125,426.0,440.0,426.0,430.0,14377400
2020-01-06,362.0672912597656,416.0,432.0,414.0,426.0,13708100
2020-01-07,367.28936767578125,422.0,424.0,414.0,418.0,6285300
2020-01-08,362.0672912597656,416.0,424.0,412.0,420.0,6387400
2020-01-09,381.2150573730469,438.0,438.0,416.0,416.0,21283400
2020-01-10,377.733642578125,434.0,446.0,430.0,440.0,17033000
2020-01-13,374.25225830078125,430.0,436.0,424.0,434.0,9195400
2020-01-14,370.77081298828125,426.0,436.0,426.0,432.0,11581100
2020-01-15,358.5858154296875,412.0,430.0,398.0,424.0,20945000
2020-01-16,365.5487060546875,420.0,428.0,412.0,416.0,9256100
2020-01-17,362.0672912597656,416.0,424.0,412.0,422.0,5929400
2020-01-20,360.3265686035156,414.0,422.0,412.0,420.0,6389700
2020-01-21,353.3637390136719,406.0,420.0,404.0,414.0,8737800
2020-01-22,349.88232421875,402.0,408.0,394.0,406.0,13450100
2020-01-23,344.6601867675781,396.0,410.0,394.0,408.0,7595200
2020-01-24,335.9566650390625,386.0,400.0,386.0,396.0,11316900
2020-01-27,322.0309753417969,370.0,386.0,368.0,386.0,12912200
2020-01-28,327.25311279296875,376.0,378.0,360.0,370.0,10161700
2020-01-29,327.25311279296875,376.0,382.0,368.0,376.0,7469000
2020-01-30,328.99383544921875,378.0,384.0,376.0,378.0,4686500
2020-01-31,320.290283203125,368.0,382.0,368.0,376.0,5693300
2020-02-03,313.32745361328125,360.0,368.0,354.0,366.0,6593900
2020-02-04,315.06817626953125,362.0,368.0,360.0,368.0,2271700
2020-02-05,327.25311279296875,376.0,376.0,366.0,366.0,6088000
2020-02-06,334.2159118652344,384.0,384.0,376.0,376.0,9901500
2020-02-07,330.7345275878906,380.0,388.0,378.0,384.0,3501300
2020-02-10,318.549560546875,366.0,380.0,362.0,380.0,2470100
2020-02-11,318.549560546875,366.0,374.0,360.0,374.0,2561100
2020-02-12,313.32745361328125,360.0,366.0,358.0,366.0,3145900
2020-02-13,302.8831481933594,348.0,366.0,346.0,360.0,6522100
2020-02-14,306.3646240234375,352.0,354.0,342.0,348.0,4806700
2020-02-17,302.8831481933594,348.0,358.0,348.0,352.0,2441700
2020-02-18,306.3646240234375,352.0,354.0,346.0,348.0,3129800
2020-02-19,306.3646240234375,352.0,356.0,350.0,352.0,1391000
2020-02-20,309.84600830078125,356.0,358.0,350.0,354.0,2498000
2020-02-21,306.3646240234375,352.0,358.0,350.0,356.0,2502200
2020-02-24,292.4389343261719,336.0,354.0,332.0,350.0,5656100
2020-02-25,290.6982116699219,334.0,336.0,320.0,332.0,5498600
2020-02-26,278.5132751464844,320.0,334.0,318.0,334.0,5028300
2020-02-27,268.0690612792969,308.0,322.0,300.0,320.0,8344900
2020-02-28,240.21771240234375,276.0,300.0,262.0,300.0,14138200
2020-03-02,234.99560546875,270.0,288.0,260.0,276.0,9667900
2020-03-03,247.1804962158203,284.0,288.0,270.0,270.0,4209400
2020-03-04,266.3283386230469,306.0,318.0,286.0,286.0,4736500
2020-03-05,280.2540283203125,322.0,328.0,310.0,316.0,5296100
