Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,850.0,850.0,850.0,850.0,850.0,1000
2020-01-03,830.0,830.0,830.0,830.0,830.0,3500
2020-01-06,830.0,830.0,830.0,830.0,830.0,0
2020-01-07,835.0,835.0,835.0,835.0,835.0,100
2020-01-08,850.0,850.0,850.0,850.0,850.0,22600
2020-01-09,850.0,850.0,850.0,850.0,850.0,0
2020-01-10,950.0,950.0,960.0,900.0,950.0,17000
2020-01-13,1000.0,1000.0,1000.0,945.0,945.0,7400
2020-01-14,1000.0,1000.0,1000.0,1000.0,1000.0,0
2020-01-15,1000.0,1000.0,1000.0,1000.0,1000.0,0
2020-01-16,1000.0,1000.0,1000.0,760.0,760.0,3300
2020-01-17,1000.0,1000.0,1000.0,1000.0,1000.0,0
2020-01-20,1000.0,1000.0,1000.0,1000.0,1000.0,0
2020-01-21,995.0,995.0,1045.0,765.0,1000.0,37300
2020-01-22,995.0,995.0,995.0,995.0,995.0,0
2020-01-23,900.0,900.0,995.0,810.0,995.0,1500
2020-01-24,900.0,900.0,900.0,900.0,900.0,0
2020-01-27,995.0,995.0,995.0,705.0,705.0,24100
2020-01-28,995.0,995.0,995.0,995.0,995.0,0
2020-01-29,835.0,835.0,845.0,835.0,845.0,6100
2020-01-30,990.0,990.0,995.0,990.0,995.0,10100
2020-01-31,990.0,990.0,990.0,990.0,990.0,0
2020-02-03,1000.0,1000.0,1000.0,790.0,790.0,15300
2020-02-04,1000.0,1000.0,1000.0,1000.0,1000.0,0
2020-02-05,950.0,950.0,950.0,950.0,950.0,800
2020-02-06,960.0,960.0,960.0,960.0,960.0,100
2020-02-07,915.0,915.0,915.0,915.0,915.0,3000
2020-02-10,915.0,915.0,915.0,915.0,915.0,0
2020-02-11,915.0,915.0,915.0,915.0,915.0,100
2020-02-12,890.0,890.0,890.0,800.0,820.0,10800
2020-02-13,890.0,890.0,890.0,890.0,890.0,0
2020-02-14,890.0,890.0,890.0,890.0,890.0,0
2020-02-17,810.0,810.0,810.0,810.0,810.0,5000
2020-02-18,825.0,825.0,825.0,820.0,825.0,48500
2020-02-19,1000.0,1000.0,1000.0,890.0,890.0,84700
2020-02-20,1000.0,1000.0,1000.0,1000.0,1000.0,0
2020-02-21,1000.0,1000.0,1000.0,1000.0,1000.0,0
2020-02-24,1000.0,1000.0,1000.0,1000.0,1000.0,0
2020-02-25,1000.0,1000.0,1000.0,1000.0,1000.0,0
2020-02-26,1000.0,1000.0,1000.0,1000.0,1000.0,0
2020-02-27,1000.0,1000.0,1000.0,995.0,995.0,12700
2020-02-28,1000.0,1000.0,1000.0,1000.0,1000.0,0
2020-03-02,1000.0,1000.0,1000.0,1000.0,1000.0,0
2020-03-03,1000.0,1000.0,1000.0,1000.0,1000.0,0
2020-03-04,1000.0,1000.0,1000.0,1000.0,1000.0,0
2020-03-05,1000.0,1000.0,1000.0,1000.0,1000.0,0
2020-03-06,1000.0,1000.0,1000.0,1000.0,1000.0,0
2020-03-09,1000.0,1000.0,1000.0,1000.0,1000.0,0
2020-03-10,1000.0,1000.0,1000.0,1000.0,1000.0,0
2020-03-11,905.0,905.0,980.0,905.0,980.0,3800
2020-03-12,985.0,985.0,1000.0,815.0,935.0,19900
2020-03-13,980.0,980.0,980.0,980.0,980.0,200
2020-03-16,980.0,980.0,980.0,980.0,980.0,0
2020-03-17,980.0,980.0,980.0,980.0,980.0,200
2020-03-18,980.0,980.0,980.0,980.0,980.0,0
2020-03-19,980.0,980.0,980.0,980.0,980.0,0
2020-03-20,915.0,915.0,980.0,915.0,980.0,700
2020-03-23,915.0,915.0,915.0,915.0,915.0,0
2020-03-24,890.0,890.0,900.0,855.0,900.0,500
2020-03-26,885.0,885.0,885.0,885.0,885.0,200
2020-03-27,825.0,825.0,870.0,825.0,850.0,12600
2020-03-30,770.0,770.0,770.0,770.0,770.0,1800
2020-03-31,720.0,720.0,815.0,720.0,815.0,2300
2020-04-01,720.0,720.0,725.0,720.0,725.0,1900
2020-04-02,850.0,850.0,880.0,850.0,880.0,600
2020-04-03,850.0,850.0,850.0,850.0,850.0,0
2020-04-06,840.0,840.0,840.0,840.0,840.0,200
2020-04-07,785.0,785.0,785.0,785.0,785.0,1600
2020-04-08,785.0,785.0,785.0,785.0,785.0,0
2020-04-09,840.0,840.0,885.0,735.0,770.0,23700
2020-04-13,840.0,840.0,840.0,800.0,840.0,20600
2020-04-14,800.0,800.0,850.0,785.0,795.0,80500
2020-04-15,800.0,800.0,800.0,745.0,745.0,54100
2020-04-16,850.0,850.0,850.0,800.0,800.0,12900
2020-04-17,865.0,865.0,865.0,825.0,845.0,30800
2020-04-20,990.0,990.0,990.0,865.0,865.0,13400
2020-04-21,990.0,990.0,990.0,990.0,990.0,15700
2020-04-22,1000.0,1000.0,1000.0,925.0,925.0,456600
2020-04-23,1050.0,1050.0,1050.0,935.0,935.0,23900
2020-04-24,1100.0,1100.0,1100.0,980.0,980.0,277800
2020-04-27,1025.0,1025.0,1050.0,1025.0,1050.0,1400
