Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,2948.8720703125,3870.0,4050.0,3850.0,4050.0,7400
2020-01-03,2971.731689453125,3900.0,4050.0,3900.0,3950.0,20300
2020-01-06,2910.772705078125,3820.0,3910.0,3800.0,3910.0,11600
2020-01-07,3040.31005859375,3990.0,4000.0,3820.0,3820.0,8900
2020-01-08,2933.63232421875,3850.0,3970.0,3830.0,3970.0,2000
2020-01-09,2933.63232421875,3850.0,3930.0,3850.0,3930.0,6700
2020-01-10,3002.210693359375,3940.0,3940.0,3940.0,3940.0,2500
2020-01-13,2918.392578125,3830.0,3940.0,3820.0,3940.0,5600
2020-01-14,2926.012451171875,3840.0,3840.0,3840.0,3840.0,3200
2020-01-15,2918.392578125,3830.0,3880.0,3810.0,3830.0,14000
2020-01-16,3162.22705078125,4150.0,4150.0,3750.0,3750.0,48900
2020-01-17,3162.22705078125,4150.0,4150.0,4150.0,4150.0,0
2020-01-20,3116.508056640625,4090.0,4090.0,4090.0,4090.0,100
2020-01-21,3040.31005859375,3990.0,4000.0,3990.0,3990.0,500
2020-01-22,2933.63232421875,3850.0,3970.0,3810.0,3960.0,4400
2020-01-23,2941.251953125,3860.0,3860.0,3860.0,3860.0,100
2020-01-24,2941.251953125,3860.0,3930.0,3860.0,3930.0,700
2020-01-27,2918.392578125,3830.0,3840.0,3830.0,3840.0,200
2020-01-28,2903.1533203125,3810.0,3820.0,3810.0,3820.0,3500
2020-01-29,2849.814453125,3740.0,3800.0,3740.0,3800.0,2700
2020-01-30,2849.814453125,3740.0,3750.0,3740.0,3750.0,900
2020-01-31,2849.814453125,3740.0,3750.0,3740.0,3750.0,11600
2020-02-03,2765.996337890625,3630.0,3730.0,3600.0,3730.0,3300
2020-02-04,2781.236083984375,3650.0,3700.0,3630.0,3630.0,16600
2020-02-05,2849.814453125,3740.0,3740.0,3650.0,3660.0,2300
2020-02-06,2918.392578125,3830.0,3840.0,3830.0,3840.0,900
2020-02-07,2918.392578125,3830.0,3830.0,3830.0,3830.0,200
2020-02-10,2849.814453125,3740.0,3750.0,3740.0,3750.0,1100
