Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,1048.6103515625,1195.0,1200.0,1195.0,1200.0,300
2020-01-03,1048.6103515625,1195.0,1195.0,1195.0,1195.0,200
2020-01-06,1000.3480834960938,1140.0,1175.0,1130.0,1175.0,4600
2020-01-07,987.1856079101562,1125.0,1160.0,1100.0,1150.0,105600
2020-01-08,965.2481689453125,1100.0,1150.0,1095.0,1125.0,46100
2020-01-09,960.860595703125,1095.0,1140.0,1095.0,1100.0,25800
2020-01-10,956.4732055664062,1090.0,1120.0,1090.0,1115.0,5400
2020-01-13,943.3107299804688,1075.0,1100.0,1065.0,1085.0,1300
2020-01-14,877.498291015625,1000.0,1080.0,1000.0,1075.0,123700
2020-01-15,886.2732543945312,1010.0,1030.0,990.0,1000.0,13400
2020-01-16,877.498291015625,1000.0,1010.0,1000.0,1010.0,58100
2020-01-17,881.8858032226562,1005.0,1010.0,1000.0,1000.0,400
2020-01-20,868.7232666015625,990.0,1005.0,990.0,1005.0,5100
2020-01-21,868.7232666015625,990.0,1000.0,990.0,1000.0,5800
2020-01-22,864.3357543945312,985.0,995.0,985.0,995.0,75900
2020-01-23,877.498291015625,1000.0,1095.0,960.0,975.0,36200
2020-01-24,877.498291015625,1000.0,1000.0,1000.0,1000.0,20200
2020-01-27,877.498291015625,1000.0,1020.0,990.0,990.0,74800
2020-01-28,873.1107177734375,995.0,1000.0,985.0,1000.0,18500
2020-01-29,873.1107177734375,995.0,995.0,990.0,990.0,28000
2020-01-30,868.7232666015625,990.0,995.0,990.0,995.0,75500
2020-01-31,877.498291015625,1000.0,1000.0,985.0,985.0,111100
2020-02-03,873.1107177734375,995.0,1000.0,995.0,1000.0,43300
2020-02-04,868.7232666015625,990.0,995.0,990.0,995.0,7500
2020-02-05,873.1107177734375,995.0,1000.0,975.0,990.0,29200
2020-02-06,873.1107177734375,995.0,1000.0,995.0,995.0,12400
2020-02-07,873.1107177734375,995.0,1000.0,995.0,995.0,14200
2020-02-10,873.1107177734375,995.0,995.0,990.0,995.0,98400
2020-02-11,864.3357543945312,985.0,995.0,985.0,990.0,93200
2020-02-12,873.1107177734375,995.0,995.0,995.0,995.0,21300
2020-02-13,868.7232666015625,990.0,995.0,990.0,990.0,44400
2020-02-14,868.7232666015625,990.0,995.0,990.0,995.0,42900
2020-02-17,859.9483642578125,980.0,990.0,980.0,990.0,60200
2020-02-18,851.1732788085938,970.0,990.0,970.0,990.0,14300
2020-02-19,877.498291015625,1000.0,1000.0,975.0,990.0,40700
2020-02-20,868.7232666015625,990.0,1005.0,990.0,1005.0,141600
2020-02-21,864.3357543945312,985.0,990.0,985.0,990.0,5600
2020-02-24,864.3357543945312,985.0,995.0,980.0,995.0,46400
2020-02-25,851.1732788085938,970.0,990.0,965.0,990.0,63800
2020-02-26,846.785888671875,965.0,975.0,965.0,970.0,9600
2020-02-27,833.6233520507812,950.0,965.0,950.0,965.0,24100
2020-02-28,776.5859375,885.0,925.0,885.0,925.0,68500
2020-03-02,789.7484130859375,900.0,985.0,900.0,900.0,93900
2020-03-03,798.5233764648438,910.0,955.0,880.0,895.0,28200
2020-03-04,789.7484130859375,900.0,910.0,900.0,900.0,83700
2020-03-05,789.7484130859375,900.0,905.0,895.0,900.0,102800
2020-03-06,772.198486328125,880.0,905.0,880.0,905.0,16600
2020-03-09,737.0985107421875,840.0,875.0,835.0,860.0,18200
2020-03-10,745.8734741210938,850.0,875.0,830.0,830.0,95100
2020-03-11,701.9985961914062,800.0,845.0,800.0,830.0,140700
2020-03-12,636.186279296875,725.0,775.0,725.0,750.0,47000
2020-03-13,623.0238037109375,710.0,710.0,675.0,705.0,47800
2020-03-16,583.5363159179688,665.0,705.0,665.0,670.0,2400
2020-03-17,570.3739013671875,650.0,650.0,620.0,620.0,16300
2020-03-18,565.9863891601562,645.0,700.0,640.0,650.0,27600
2020-03-19,526.4989624023438,600.0,645.0,600.0,605.0,133000
2020-03-20,526.4989624023438,600.0,615.0,560.0,595.0,8000
2020-03-23,513.3365478515625,585.0,585.0,575.0,575.0,600
2020-03-24,504.5615234375,575.0,585.0,545.0,585.0,30400
2020-03-26,513.3365478515625,585.0,610.0,580.0,580.0,22100
2020-03-27,561.5989379882812,640.0,680.0,590.0,590.0,51000
2020-03-30,544.0488891601562,620.0,630.0,605.0,625.0,17900
2020-03-31,579.1488647460938,660.0,660.0,610.0,610.0,13800
2020-04-01,583.5363159179688,665.0,675.0,630.0,630.0,4600
2020-04-02,583.5363159179688,665.0,670.0,665.0,665.0,7400
2020-04-03,587.923828125,670.0,680.0,665.0,665.0,11200
2020-04-06,710.7736206054688,810.0,830.0,680.0,680.0,30200
2020-04-07,719.548583984375,820.0,850.0,820.0,835.0,50200
2020-04-08,719.548583984375,820.0,820.0,810.0,820.0,8900
2020-04-09,719.548583984375,820.0,820.0,820.0,820.0,3000
2020-04-13,723.93603515625,825.0,860.0,825.0,860.0,1700
2020-04-14,802.9110107421875,915.0,915.0,815.0,825.0,10500
2020-04-15,780.9734497070312,890.0,915.0,865.0,915.0,5200
2020-04-16,745.8734741210938,850.0,850.0,850.0,850.0,16500
2020-04-17,745.8734741210938,850.0,920.0,850.0,850.0,3200
2020-04-20,754.6484985351562,860.0,865.0,850.0,855.0,4100
2020-04-21,732.7111206054688,835.0,860.0,835.0,860.0,1100
2020-04-22,912.5982055664062,1040.0,1040.0,860.0,860.0,444100
2020-04-23,1140.747802734375,1300.0,1300.0,1140.0,1140.0,297800
2020-04-24,1215.335205078125,1385.0,1600.0,1350.0,1350.0,1208600
2020-04-27,1131.9727783203125,1290.0,1385.0,1290.0,1385.0,97900
2020-04-28,1096.872802734375,1250.0,1395.0,1225.0,1330.0,106500
2020-04-29,1031.0604248046875,1175.0,1250.0,1165.0,1250.0,76900
2020-04-30,1000.3480834960938,1140.0,1225.0,1095.0,1225.0,96900
2020-05-04,995.9606323242188,1135.0,1185.0,1135.0,1140.0,23300
2020-05-05,991.5730590820312,1130.0,1170.0,1130.0,1170.0,30900
2020-05-06,965.2481689453125,1100.0,1130.0,1095.0,1130.0,19300
2020-05-08,960.860595703125,1095.0,1155.0,1095.0,1130.0,22000
2020-05-11,934.5357666015625,1065.0,1100.0,1045.0,1100.0,38000
2020-05-12,908.2107543945312,1035.0,1075.0,1030.0,1065.0,24000
2020-05-13,916.9856567382812,1045.0,1110.0,1025.0,1035.0,42800
2020-05-14,952.0855712890625,1085.0,1120.0,1080.0,1080.0,56300
2020-05-15,908.2107543945312,1035.0,1090.0,1025.0,1090.0,115800
2020-05-18,916.9856567382812,1045.0,1080.0,1000.0,1035.0,54200
2020-05-19,908.2107543945312,1035.0,1045.0,1025.0,1035.0,24200
2020-05-20,890.6607666015625,1015.0,1035.0,1005.0,1035.0,21500
2020-05-26,873.1107177734375,995.0,1015.0,995.0,1010.0,121700
2020-05-27,890.6607666015625,1015.0,1015.0,995.0,995.0,57900
2020-05-28,886.2732543945312,1010.0,1030.0,1010.0,1020.0,35100
2020-05-29,877.498291015625,1000.0,1015.0,1000.0,1015.0,135800
2020-06-02,886.2732543945312,1010.0,1015.0,995.0,1000.0,174500
2020-06-03,921.3732299804688,1050.0,1065.0,1015.0,1015.0,123500
2020-06-04,943.3107299804688,1075.0,1090.0,1045.0,1070.0,150400
2020-06-05,916.9856567382812,1045.0,1065.0,1020.0,1050.0,97900
2020-06-08,947.6980590820312,1080.0,1080.0,1050.0,1050.0,246700
2020-06-09,965.2481689453125,1100.0,1140.0,1090.0,1090.0,406900
2020-06-10,921.3732299804688,1050.0,1115.0,1050.0,1115.0,101400
2020-06-11,934.5357666015625,1065.0,1085.0,1045.0,1050.0,17600
2020-06-12,912.5982055664062,1040.0,1050.0,1000.0,1050.0,47900
2020-06-15,895.0482177734375,1020.0,1060.0,1020.0,1040.0,37400
2020-06-16,912.5982055664062,1040.0,1050.0,1000.0,1000.0,42000
2020-06-17,903.8232421875,1030.0,1070.0,1025.0,1040.0,13500
2020-06-18,886.2732543945312,1010.0,1065.0,1010.0,1050.0,190400
2020-06-19,873.1107177734375,995.0,1010.0,990.0,1010.0,256000
2020-06-22,873.1107177734375,995.0,1020.0,990.0,990.0,120300
2020-06-23,877.498291015625,1000.0,1010.0,990.0,995.0,106500
2020-06-24,921.3732299804688,1050.0,1050.0,1020.0,1020.0,107200
2020-06-25,1048.6103515625,1195.0,1200.0,1040.0,1040.0,362300
2020-06-26,991.5730590820312,1130.0,1200.0,1115.0,1200.0,274800
2020-06-29,952.0855712890625,1085.0,1130.0,1075.0,1120.0,124500
2020-06-30,947.6980590820312,1080.0,1120.0,1075.0,1120.0,161500
2020-07-01,956.4732055664062,1090.0,1120.0,1080.0,1110.0,117200
2020-07-02,947.6980590820312,1080.0,1105.0,1070.0,1090.0,205200
2020-07-03,938.923095703125,1070.0,1095.0,1070.0,1085.0,178100
2020-07-06,903.8232421875,1030.0,1080.0,1010.0,1065.0,280200
2020-07-07,908.2107543945312,1035.0,1060.0,1030.0,1030.0,102400
2020-07-08,934.5357666015625,1065.0,1080.0,1035.0,1050.0,113500
2020-07-09,934.5357666015625,1065.0,1070.0,1050.0,1065.0,116100
2020-07-10,916.9856567382812,1045.0,1070.0,1045.0,1065.0,53100
2020-07-13,903.8232421875,1030.0,1085.0,1025.0,1070.0,177000
2020-07-14,916.9856567382812,1045.0,1050.0,1010.0,1030.0,167300
2020-07-15,908.2107543945312,1035.0,1050.0,1010.0,1050.0,59500
2020-07-16,903.8232421875,1030.0,1030.0,1020.0,1030.0,55400
2020-07-17,908.2107543945312,1035.0,1050.0,1030.0,1050.0,72400
2020-07-20,902.5751953125,1025.0,1035.0,1020.0,1035.0,25400
2020-07-21,911.3807983398438,1035.0,1040.0,1010.0,1025.0,33300
2020-07-22,915.7835693359375,1040.0,1055.0,1040.0,1045.0,75800
2020-07-23,906.9779663085938,1030.0,1040.0,1025.0,1040.0,65000
2020-07-24,915.7835693359375,1040.0,1045.0,1025.0,1040.0,22900
2020-07-27,915.7835693359375,1040.0,1060.0,1040.0,1040.0,21000
2020-07-28,902.5751953125,1025.0,1030.0,1025.0,1030.0,40800
2020-07-29,889.36669921875,1010.0,1025.0,1000.0,1025.0,44600
2020-07-30,902.5751953125,1025.0,1030.0,995.0,1000.0,50300
2020-08-03,898.1723022460938,1020.0,1025.0,1000.0,1025.0,122300
2020-08-04,898.1723022460938,1020.0,1035.0,1015.0,1020.0,97200
2020-08-05,893.76953125,1015.0,1025.0,1015.0,1020.0,37900
2020-08-06,893.76953125,1015.0,1025.0,1010.0,1015.0,130700
2020-08-07,893.76953125,1015.0,1020.0,1000.0,1015.0,124100
2020-08-10,915.7835693359375,1040.0,1040.0,1000.0,1020.0,100300
2020-08-11,928.991943359375,1055.0,1065.0,1040.0,1040.0,141200
2020-08-12,906.9779663085938,1030.0,1060.0,1020.0,1055.0,103100
2020-08-13,898.1723022460938,1020.0,1045.0,1020.0,1040.0,66900
2020-08-14,893.76953125,1015.0,1040.0,1015.0,1020.0,33000
2020-08-18,893.76953125,1015.0,1035.0,1000.0,1015.0,38400
