Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,169.97647094726562,172.0,174.0,171.0,172.0,2498400
2020-01-03,168.9882354736328,171.0,174.0,168.0,172.0,6244300
2020-01-06,166.02352905273438,168.0,171.0,168.0,171.0,9464600
2020-01-07,168.0,170.0,170.0,167.0,168.0,4909900
2020-01-08,165.03529357910156,167.0,172.0,166.0,170.0,3835100
2020-01-09,166.02352905273438,168.0,171.0,166.0,167.0,5015500
2020-01-10,168.9882354736328,171.0,171.0,168.0,168.0,4279600
2020-01-13,169.97647094726562,172.0,175.0,171.0,172.0,6546500
2020-01-14,168.0,170.0,173.0,169.0,172.0,2711500
2020-01-15,167.0117645263672,169.0,172.0,168.0,170.0,5197500
2020-01-16,166.02352905273438,168.0,170.0,168.0,169.0,1190100
2020-01-17,168.0,170.0,173.0,168.0,169.0,4379600
2020-01-20,167.0117645263672,169.0,173.0,168.0,171.0,2875000
2020-01-21,164.04705810546875,166.0,171.0,165.0,169.0,4973000
2020-01-22,162.07058715820312,164.0,168.0,164.0,167.0,2472800
2020-01-23,160.0941162109375,162.0,165.0,160.0,164.0,7744800
2020-01-24,160.0941162109375,162.0,164.0,161.0,164.0,2208000
2020-01-27,148.23529052734375,150.0,162.0,148.0,162.0,18738200
2020-01-28,146.25881958007812,148.0,152.0,148.0,150.0,5781000
2020-01-29,151.1999969482422,153.0,154.0,148.0,150.0,4111500
2020-01-30,148.23529052734375,150.0,156.0,149.0,153.0,4296700
2020-01-31,140.32940673828125,142.0,152.0,140.0,150.0,9337800
2020-02-03,129.4588165283203,131.0,144.0,131.0,144.0,11216500
2020-02-04,128.4705810546875,130.0,135.0,129.0,133.0,6282400
2020-02-05,136.37646484375,138.0,140.0,130.0,130.0,11655400
2020-02-06,139.34117126464844,141.0,152.0,139.0,143.0,26960600
2020-02-07,138.35293579101562,140.0,143.0,136.0,142.0,6478000
2020-02-10,138.35293579101562,140.0,147.0,138.0,140.0,8826700
2020-02-11,132.42352294921875,134.0,141.0,133.0,140.0,6565600
2020-02-12,131.43528747558594,133.0,145.0,131.0,135.0,9457300
2020-02-13,127.48235321044922,129.0,138.0,129.0,133.0,10977200
2020-02-14,126.4941177368164,128.0,135.0,127.0,135.0,4795500
2020-02-17,127.48235321044922,129.0,130.0,125.0,129.0,8525500
2020-02-18,129.4588165283203,131.0,132.0,125.0,125.0,8314800
2020-02-19,134.39999389648438,136.0,136.0,126.0,126.0,5361700
2020-02-20,135.3882293701172,137.0,141.0,135.0,136.0,9355700
2020-02-21,133.41175842285156,135.0,139.0,133.0,139.0,4307300
2020-02-24,122.54117584228516,124.0,135.0,123.0,135.0,11919300
2020-02-25,118.5882339477539,120.0,125.0,114.0,114.0,9029500
2020-02-26,117.5999984741211,119.0,124.0,117.0,121.0,5738400
2020-02-27,103.76470947265625,105.0,119.0,104.0,119.0,24136900
2020-02-28,101.78823852539062,103.0,105.0,90.0,100.0,24280500
2020-03-02,99.811767578125,101.0,108.0,95.0,103.0,12817600
2020-03-03,110.6823501586914,112.0,114.0,102.0,102.0,20932300
2020-03-04,114.63529205322266,116.0,118.0,109.0,109.0,9708900
2020-03-05,110.6823501586914,112.0,119.0,112.0,116.0,8896100
2020-03-06,109.6941146850586,111.0,111.0,107.0,110.0,2642400
2020-03-09,96.84706115722656,98.0,105.0,98.0,105.0,14415400
2020-03-10,99.811767578125,101.0,103.0,97.0,100.0,11514600
2020-03-11,98.82353210449219,100.0,104.0,97.0,101.0,6288000
2020-03-12,88.94117736816406,90.0,100.0,90.0,100.0,10484900
2020-03-13,84.98823547363281,86.0,92.0,84.0,88.0,12172500
2020-03-16,79.05882263183594,80.0,87.0,80.0,86.0,11524600
2020-03-17,74.11764526367188,75.0,80.0,75.0,80.0,6138400
2020-03-18,69.17646789550781,70.0,77.0,70.0,75.0,11782200
2020-03-19,65.22352600097656,66.0,69.0,66.0,66.0,5237800
2020-03-20,70.16470336914062,71.0,74.0,62.0,64.0,12101700
2020-03-23,66.21176147460938,67.0,72.0,67.0,67.0,4170500
2020-03-24,68.188232421875,69.0,74.0,63.0,63.0,6615000
2020-03-26,78.07058715820312,79.0,83.0,65.0,65.0,8622800
2020-03-27,81.03529357910156,82.0,95.0,79.0,79.0,13506000
2020-03-30,76.0941162109375,77.0,81.0,77.0,80.0,3419400
2020-03-31,82.02352905273438,83.0,87.0,79.0,79.0,10781300
2020-04-01,84.0,85.0,90.0,79.0,83.0,9466000
2020-04-02,112.65882110595703,114.0,114.0,84.0,85.0,45705400
2020-04-03,112.65882110595703,114.0,136.0,108.0,125.0,71141700
2020-04-06,116.61176300048828,118.0,121.0,110.0,114.0,13288600
2020-04-07,113.64705657958984,115.0,123.0,110.0,119.0,17297800
2020-04-08,105.74117279052734,107.0,115.0,107.0,115.0,11050600
2020-04-09,102.77647399902344,104.0,108.0,100.0,107.0,15823400
2020-04-13,110.6823501586914,112.0,113.0,102.0,106.0,15809800
2020-04-14,128.4705810546875,130.0,133.0,115.0,115.0,100241500
2020-04-15,119.57646942138672,121.0,132.0,121.0,132.0,31126200
2020-04-16,116.61176300048828,118.0,121.0,113.0,113.0,14664900
2020-04-17,117.5999984741211,119.0,121.0,116.0,119.0,8217000
2020-04-20,110.6823501586914,112.0,119.0,111.0,119.0,12027600
2020-04-21,117.5999984741211,119.0,130.0,107.0,111.0,49210900
2020-04-22,121.55294036865234,123.0,131.0,114.0,117.0,45212400
2020-04-23,120.56470489501953,122.0,127.0,120.0,123.0,16215500
2020-04-24,117.5999984741211,119.0,125.0,116.0,121.0,7439800
2020-04-27,119.57646942138672,121.0,122.0,115.0,117.0,4077900
2020-04-28,121.55294036865234,123.0,125.0,120.0,124.0,9975800
2020-04-29,123.52941131591797,125.0,129.0,123.0,123.0,17961000
2020-04-30,120.56470489501953,122.0,129.0,119.0,127.0,15863000
2020-05-04,118.5882339477539,120.0,121.0,116.0,121.0,9412800
2020-05-05,126.4941177368164,128.0,128.0,120.0,120.0,15061600
2020-05-06,139.34117126464844,141.0,144.0,128.0,132.0,104341300
2020-05-08,136.37646484375,138.0,155.0,132.0,155.0,34048100
2020-05-11,133.41175842285156,135.0,140.0,132.0,138.0,8230700
2020-05-12,128.4705810546875,130.0,136.0,126.0,136.0,21825800
2020-05-13,137.3647003173828,139.0,143.0,124.0,131.0,48627900
2020-05-14,128.4705810546875,130.0,139.0,130.0,138.0,19649700
2020-05-15,125.5058822631836,127.0,133.0,122.0,122.0,17810000
2020-05-18,126.4941177368164,128.0,132.0,127.0,127.0,5241100
2020-05-19,125.5058822631836,127.0,131.0,126.0,130.0,9661000
2020-05-20,124.51764678955078,126.0,128.0,123.0,127.0,6565900
2020-05-26,127.48235321044922,129.0,132.0,124.0,128.0,10033400
2020-05-27,135.3882293701172,137.0,137.0,128.0,130.0,25237000
2020-05-28,131.43528747558594,133.0,140.0,130.0,140.0,20822400
2020-05-29,129.4588165283203,131.0,146.0,127.0,146.0,8156800
2020-06-02,126.4941177368164,128.0,134.0,126.0,130.0,13281900
2020-06-03,125.5058822631836,127.0,132.0,124.0,130.0,27100400
2020-06-04,128.4705810546875,130.0,134.0,127.0,127.0,26508900
2020-06-05,128.4705810546875,130.0,131.0,126.0,131.0,14385900
2020-06-08,138.35293579101562,140.0,143.0,129.0,129.0,80384600
2020-06-09,135.3882293701172,137.0,145.0,136.0,136.0,42783200
2020-06-10,128.4705810546875,130.0,140.0,128.0,140.0,27137300
2020-06-11,126.4941177368164,128.0,131.0,125.0,127.0,9765700
2020-06-12,126.4941177368164,128.0,128.0,120.0,120.0,23675000
2020-06-15,120.56470489501953,122.0,129.0,121.0,124.0,11429800
2020-06-16,125.5058822631836,127.0,129.0,123.0,123.0,12466200
2020-06-17,128.4705810546875,130.0,131.0,126.0,126.0,17378100
2020-06-18,129.4588165283203,131.0,133.0,128.0,131.0,13635600
2020-06-19,126.4941177368164,128.0,133.0,128.0,131.0,8597100
2020-06-22,126.4941177368164,128.0,131.0,127.0,128.0,7195600
2020-06-23,125.5058822631836,127.0,129.0,125.0,129.0,7648700
2020-06-24,125.5058822631836,127.0,129.0,125.0,125.0,8591200
2020-06-25,124.51764678955078,126.0,129.0,124.0,127.0,5784800
2020-06-26,124.51764678955078,126.0,128.0,125.0,127.0,9959400
2020-06-29,123.52941131591797,125.0,128.0,124.0,126.0,5387400
2020-06-30,121.55294036865234,123.0,128.0,121.0,125.0,10134300
2020-07-01,121.55294036865234,123.0,125.0,120.0,123.0,4764700
2020-07-02,120.56470489501953,122.0,125.0,121.0,123.0,10372000
2020-07-03,121.55294036865234,123.0,124.0,121.0,123.0,5389400
2020-07-06,120.56470489501953,122.0,124.0,121.0,123.0,5356200
2020-07-07,121.55294036865234,123.0,124.0,121.0,122.0,4760000
2020-07-08,121.55294036865234,123.0,124.0,122.0,123.0,5789200
2020-07-09,126.4941177368164,128.0,129.0,123.0,123.0,15992800
2020-07-10,128.4705810546875,130.0,135.0,125.0,128.0,38300800
2020-07-13,127.48235321044922,129.0,133.0,128.0,131.0,14404100
2020-07-14,125.5058822631836,127.0,129.0,126.0,129.0,7748000
2020-07-15,125.5058822631836,127.0,130.0,126.0,127.0,4732700
2020-07-16,129.4588165283203,131.0,140.0,128.0,128.0,60335100
2020-07-17,127.48235321044922,129.0,132.0,129.0,132.0,6113900
2020-07-20,123.52941131591797,125.0,131.0,125.0,129.0,10100300
2020-07-21,124.51764678955078,126.0,128.0,125.0,125.0,7337900
2020-07-22,127.48235321044922,129.0,132.0,126.0,126.0,19748800
2020-07-23,129.4588165283203,131.0,132.0,129.0,130.0,11821700
2020-07-24,139.34117126464844,141.0,148.0,129.0,131.0,125746800
2020-07-27,138.35293579101562,140.0,148.0,136.0,141.0,48847000
2020-07-28,137.3647003173828,139.0,145.0,137.0,140.0,15452100
2020-07-29,128.4705810546875,130.0,142.0,130.0,142.0,31478700
2020-07-30,119.57646942138672,121.0,130.0,121.0,130.0,44079400
2020-08-03,112.65882110595703,114.0,125.0,113.0,122.0,33665600
2020-08-04,115.62352752685547,117.0,118.0,113.0,114.0,8155200
2020-08-05,116.61176300048828,118.0,120.0,114.0,117.0,6252500
2020-08-06,131.43528747558594,133.0,147.0,118.0,120.0,256429700
2020-08-07,126.4941177368164,128.0,135.0,128.0,134.0,25111900
2020-08-10,126.4941177368164,128.0,131.0,125.0,130.0,16147700
2020-08-11,128.4705810546875,130.0,133.0,128.0,128.0,10397400
2020-08-12,125.5058822631836,127.0,130.0,124.0,130.0,11133400
2020-08-13,124.51764678955078,126.0,128.0,124.0,128.0,6812800
2020-08-14,122.54117584228516,124.0,126.0,122.0,126.0,5585100
2020-08-18,121.55294036865234,123.0,126.0,117.0,117.0,6075200
2020-08-19,123.52941131591797,125.0,130.0,120.0,120.0,10708600
2020-08-24,128.4705810546875,130.0,133.0,123.0,125.0,20899900
2020-08-25,129.4588165283203,131.0,139.0,129.0,135.0,52770800
2020-08-26,130.44705200195312,132.0,134.0,129.0,130.0,9573500
2020-08-27,131.43528747558594,133.0,135.0,129.0,129.0,9274300
2020-08-28,132.42352294921875,134.0,139.0,133.0,133.0,18849100
2020-08-31,128.4705810546875,130.0,137.0,126.0,131.0,12058800
2020-09-01,127.48235321044922,129.0,130.0,123.0,123.0,6712400
2020-09-02,133.41175842285156,135.0,135.0,125.0,125.0,13913000
2020-09-03,131.43528747558594,133.0,144.0,133.0,136.0,44100700
2020-09-04,129.4588165283203,131.0,137.0,126.0,134.0,12793700
2020-09-07,130.44705200195312,132.0,139.0,129.0,131.0,19035700
2020-09-08,129.4588165283203,131.0,135.0,131.0,132.0,5773200
2020-09-09,126.4941177368164,128.0,133.0,126.0,131.0,10083900
2020-09-10,118.5882339477539,120.0,128.0,120.0,128.0,13173400
2020-09-11,120.56470489501953,122.0,136.0,112.0,120.0,69869200
2020-09-14,122.54117584228516,124.0,126.0,116.0,123.0,8002700
2020-09-15,124.51764678955078,126.0,126.0,123.0,124.0,5533100
2020-09-16,123.52941131591797,125.0,129.0,124.0,127.0,7208200
2020-09-17,122.54117584228516,124.0,129.0,123.0,126.0,8963200
2020-09-18,123.52941131591797,125.0,127.0,124.0,124.0,3941400
2020-09-21,119.57646942138672,121.0,126.0,121.0,125.0,5271200
2020-09-22,117.5999984741211,119.0,120.0,116.0,120.0,4986300
2020-09-23,116.61176300048828,118.0,122.0,116.0,119.0,4678900
2020-09-24,114.63529205322266,116.0,118.0,111.0,118.0,6197200
2020-09-25,116.61176300048828,118.0,121.0,116.0,116.0,4158700
2020-09-28,116.61176300048828,118.0,120.0,117.0,118.0,2009500
2020-09-29,118.5882339477539,120.0,127.0,118.0,118.0,19016800
2020-09-30,116.61176300048828,118.0,121.0,117.0,120.0,3670900
2020-10-01,118.5882339477539,120.0,121.0,119.0,120.0,2810700
2020-10-02,118.5882339477539,120.0,127.0,118.0,120.0,25200600
2020-10-05,118.5882339477539,120.0,123.0,119.0,119.0,2963900
2020-10-06,118.5882339477539,120.0,123.0,120.0,120.0,5060700
2020-10-07,120.56470489501953,122.0,126.0,120.0,120.0,19421000
2020-10-08,119.57646942138672,121.0,126.0,121.0,124.0,8424300
2020-10-09,119.57646942138672,121.0,123.0,120.0,121.0,5352800
2020-10-12,120.56470489501953,122.0,122.0,120.0,122.0,6159500
2020-10-13,120.56470489501953,122.0,123.0,120.0,122.0,4147200
2020-10-14,119.57646942138672,121.0,123.0,120.0,122.0,7030000
2020-10-15,120.56470489501953,122.0,123.0,120.0,121.0,8625900
2020-10-16,119.57646942138672,121.0,123.0,120.0,123.0,6057900
2020-10-19,121.55294036865234,123.0,126.0,121.0,122.0,17231500
2020-10-20,120.56470489501953,122.0,123.0,121.0,123.0,4772300
2020-10-21,120.56470489501953,122.0,123.0,120.0,122.0,4642700
2020-10-22,119.57646942138672,121.0,122.0,120.0,122.0,6562000
2020-10-23,117.5999984741211,119.0,123.0,119.0,121.0,4868400
2020-10-26,118.5882339477539,120.0,123.0,119.0,119.0,8705100
2020-10-27,118.5882339477539,120.0,122.0,119.0,119.0,2620000
2020-11-02,118.5882339477539,120.0,122.0,118.0,120.0,2779200
2020-11-03,118.5882339477539,120.0,122.0,119.0,120.0,4325000
2020-11-04,115.62352752685547,117.0,122.0,117.0,120.0,6769500
2020-11-05,117.5999984741211,119.0,124.0,118.0,118.0,12666100
2020-11-06,118.5882339477539,120.0,121.0,119.0,120.0,1673200
2020-11-09,120.56470489501953,122.0,123.0,120.0,121.0,5674800
2020-11-10,121.55294036865234,123.0,126.0,122.0,123.0,12929300
2020-11-11,127.48235321044922,129.0,129.0,122.0,124.0,17607700
2020-11-12,123.52941131591797,125.0,132.0,123.0,130.0,20594600
2020-11-13,124.51764678955078,126.0,132.0,124.0,125.0,18088400
2020-11-16,127.48235321044922,129.0,132.0,126.0,128.0,15642700
2020-11-17,127.48235321044922,129.0,131.0,128.0,130.0,5464400
2020-11-18,128.4705810546875,130.0,133.0,129.0,129.0,8460900
2020-11-19,134.39999389648438,136.0,138.0,128.0,131.0,25878900
2020-11-20,130.44705200195312,132.0,138.0,132.0,136.0,10950500
2020-11-23,134.39999389648438,136.0,140.0,132.0,132.0,13067800
2020-11-24,139.34117126464844,141.0,142.0,136.0,136.0,25170300
2020-11-25,134.39999389648438,136.0,143.0,136.0,143.0,18839000
2020-11-26,143.2941131591797,145.0,146.0,136.0,136.0,22594600
2020-11-27,146.25881958007812,148.0,152.0,144.0,147.0,35092300
2020-11-30,139.34117126464844,141.0,152.0,138.0,150.0,34287400
2020-12-01,139.34117126464844,141.0,143.0,136.0,142.0,15506900
2020-12-02,143.2941131591797,145.0,145.0,140.0,140.0,14286000
2020-12-03,143.2941131591797,145.0,148.0,143.0,145.0,12654900
2020-12-04,171.95294189453125,174.0,183.0,145.0,146.0,197344700
2020-12-07,169.97647094726562,172.0,179.0,170.0,176.0,37638900
2020-12-08,170.96470642089844,173.0,180.0,171.0,172.0,36387200
2020-12-10,170.96470642089844,173.0,179.0,171.0,175.0,19006400
2020-12-11,229.2705841064453,232.0,232.0,172.0,173.0,293148700
2020-12-14,223.34117126464844,226.0,246.0,218.0,240.0,216111000
2020-12-15,225.31764221191406,228.0,232.0,220.0,226.0,27164200
2020-12-16,258.9176330566406,262.0,284.0,238.0,238.0,418389000
2020-12-17,262.8705749511719,266.0,274.0,252.0,252.0,73542200
2020-12-18,296.4705810546875,300.0,304.0,250.0,250.0,167337100
2020-12-21,304.37646484375,308.0,322.0,300.0,304.0,273241800
2020-12-22,284.61175537109375,288.0,308.0,288.0,308.0,105972700
2020-12-23,280.6588134765625,284.0,300.0,270.0,294.0,47670800
2020-12-28,284.61175537109375,288.0,298.0,274.0,286.0,44714100
2020-12-29,274.7294006347656,278.0,296.0,274.0,288.0,39697000
2020-12-30,260.89410400390625,264.0,296.0,264.0,278.0,95630200
2021-01-04,264.8470458984375,268.0,272.0,250.0,264.0,44658000
2021-01-05,266.8235168457031,270.0,278.0,264.0,268.0,22583800
2021-01-06,252.9882354736328,256.0,276.0,254.0,270.0,46381200
2021-01-07,266.8235168457031,270.0,292.0,258.0,260.0,93839700
2021-01-08,262.8705749511719,266.0,280.0,266.0,270.0,41398200
2021-01-11,290.5411682128906,294.0,294.0,262.0,266.0,133390900
2021-01-12,278.6823425292969,282.0,306.0,280.0,296.0,90298200
2021-01-13,274.7294006347656,278.0,288.0,274.0,288.0,39334800
2021-01-14,268.79998779296875,272.0,280.0,270.0,278.0,28994000
2021-01-15,260.89410400390625,264.0,280.0,260.0,272.0,39959200
2021-01-18,254.96470642089844,258.0,278.0,258.0,262.0,49651000
2021-01-19,237.1764678955078,240.0,260.0,240.0,260.0,57411500
2021-01-20,249.03529357910156,252.0,256.0,230.0,240.0,29694700
2021-01-21,258.9176330566406,262.0,264.0,250.0,254.0,32673700
2021-01-22,241.12940979003906,244.0,266.0,244.0,262.0,40719500
2021-01-25,225.31764221191406,228.0,244.0,228.0,244.0,27781900
2021-01-26,211.4823455810547,214.0,228.0,214.0,222.0,34062900
2021-01-27,197.64706420898438,200.0,210.0,200.0,202.0,38977500
2021-01-28,183.811767578125,186.0,206.0,186.0,200.0,28920200
2021-01-29,175.9058837890625,178.0,191.0,173.0,186.0,36289400
2021-02-01,194.68235778808594,197.0,198.0,169.0,170.0,48850300
2021-02-02,190.7294158935547,193.0,208.0,191.0,197.0,42426700
2021-02-03,192.7058868408203,195.0,206.0,185.0,185.0,25094400
2021-02-04,211.4823455810547,214.0,220.0,195.0,195.0,67093300
2021-02-05,209.50588989257812,212.0,218.0,206.0,218.0,24983400
2021-02-08,209.50588989257812,212.0,216.0,210.0,212.0,14199000
2021-02-09,209.50588989257812,212.0,236.0,206.0,214.0,66033000
2021-02-10,203.57647705078125,206.0,214.0,204.0,212.0,20338200
2021-02-11,203.57647705078125,206.0,214.0,202.0,206.0,31137500
2021-02-15,217.41175842285156,220.0,220.0,206.0,208.0,36602700
2021-02-16,217.41175842285156,220.0,230.0,220.0,224.0,32519700
2021-02-17,213.4588165283203,216.0,224.0,212.0,220.0,21356400
2021-02-18,207.5294189453125,210.0,220.0,208.0,216.0,11146500
2021-02-19,205.55294799804688,208.0,214.0,204.0,210.0,13871000
2021-02-22,205.55294799804688,208.0,218.0,206.0,208.0,16994300
2021-02-23,207.5294189453125,210.0,212.0,206.0,208.0,8535500
2021-02-24,207.5294189453125,210.0,214.0,204.0,210.0,11134000
2021-02-25,207.5294189453125,210.0,212.0,208.0,212.0,8803200
2021-02-26,203.57647705078125,206.0,210.0,202.0,210.0,10664300
2021-03-01,205.55294799804688,208.0,210.0,204.0,206.0,6596700
2021-03-02,203.57647705078125,206.0,210.0,206.0,208.0,7144800
2021-03-03,209.50588989257812,212.0,220.0,204.0,206.0,46531500
2021-03-04,203.57647705078125,206.0,218.0,202.0,216.0,21503500
2021-03-05,201.60000610351562,204.0,208.0,202.0,206.0,7351400
2021-03-08,203.57647705078125,206.0,212.0,204.0,206.0,17786300
2021-03-09,201.60000610351562,204.0,208.0,202.0,208.0,8341000
2021-03-10,197.64706420898438,200.0,206.0,200.0,204.0,10254000
2021-03-12,205.55294799804688,208.0,210.0,200.0,200.0,15094200
2021-03-15,219.3882293701172,222.0,232.0,206.0,208.0,138438100
2021-03-16,215.43528747558594,218.0,228.0,216.0,228.0,49125000
2021-03-17,213.4588165283203,216.0,220.0,212.0,216.0,15961600
2021-03-18,223.34117126464844,226.0,230.0,218.0,220.0,70847300
2021-03-19,245.0823516845703,248.0,250.0,222.0,226.0,166982200
2021-03-22,233.22352600097656,236.0,248.0,234.0,246.0,63745900
2021-03-23,219.3882293701172,222.0,240.0,222.0,236.0,48033500
2021-03-24,211.4823455810547,214.0,222.0,212.0,220.0,31420900
2021-03-25,203.57647705078125,206.0,214.0,202.0,214.0,33373100
2021-03-26,217.41175842285156,220.0,222.0,206.0,210.0,38915000
2021-03-29,213.4588165283203,216.0,226.0,216.0,224.0,20329100
2021-03-30,209.50588989257812,212.0,220.0,210.0,218.0,13309600
2021-03-31,207.5294189453125,210.0,220.0,202.0,214.0,21904200
2021-04-01,207.5294189453125,210.0,212.0,208.0,210.0,7460600
2021-04-05,205.55294799804688,208.0,212.0,206.0,210.0,7201100
2021-04-06,209.50588989257812,212.0,212.0,206.0,208.0,7486600
2021-04-07,205.55294799804688,208.0,214.0,208.0,212.0,7900100
2021-04-08,209.50588989257812,212.0,218.0,208.0,210.0,7013200
2021-04-09,221.3647003173828,224.0,224.0,214.0,214.0,26557600
2021-04-12,209.50588989257812,212.0,236.0,210.0,228.0,80403500
2021-04-13,203.57647705078125,206.0,212.0,200.0,212.0,26498700
2021-04-14,207.5294189453125,210.0,212.0,206.0,208.0,11307400
2021-04-15,203.57647705078125,206.0,212.0,206.0,212.0,7110700
2021-04-16,203.57647705078125,206.0,210.0,206.0,208.0,7888000
2021-04-19,205.55294799804688,208.0,212.0,206.0,206.0,5043100
2021-04-20,203.57647705078125,206.0,210.0,206.0,208.0,5535500
2021-04-21,203.57647705078125,206.0,210.0,204.0,206.0,7547400
2021-04-22,203.57647705078125,206.0,208.0,204.0,208.0,5195100
2021-04-23,203.57647705078125,206.0,208.0,200.0,200.0,4135700
2021-04-26,201.60000610351562,204.0,208.0,202.0,206.0,5702000
2021-04-27,199.62353515625,202.0,206.0,202.0,204.0,6167100
2021-04-28,199.62353515625,202.0,204.0,200.0,202.0,5163100
2021-04-29,201.60000610351562,204.0,206.0,200.0,202.0,5051400
2021-04-30,201.60000610351562,204.0,206.0,202.0,204.0,3953900
2021-05-03,209.50588989257812,212.0,218.0,202.0,204.0,36765300
2021-05-04,203.57647705078125,206.0,216.0,206.0,216.0,15501900
2021-05-05,201.60000610351562,204.0,208.0,202.0,206.0,10496300
2021-05-06,207.5294189453125,210.0,212.0,204.0,204.0,21112600
2021-05-07,209.50588989257812,212.0,214.0,210.0,210.0,26275700
2021-05-10,211.4823455810547,214.0,224.0,212.0,214.0,48919300
2021-05-11,219.3882293701172,222.0,228.0,208.0,214.0,81849000
2021-05-17,209.50588989257812,212.0,238.0,212.0,236.0,50726100
2021-05-18,225.31764221191406,228.0,228.0,208.0,212.0,60059200
