Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,390.8824462890625,402.0,420.0,400.0,410.0,12500
2020-01-03,404.4952697753906,416.0,416.0,400.0,402.0,20300
2020-01-06,404.4952697753906,416.0,416.0,394.0,394.0,600
2020-01-07,381.15899658203125,392.0,418.0,392.0,394.0,35200
2020-01-08,396.7165222167969,408.0,410.0,400.0,400.0,900
2020-01-09,402.55059814453125,414.0,414.0,414.0,414.0,300
2020-01-10,402.55059814453125,414.0,414.0,414.0,414.0,0
2020-01-13,402.55059814453125,414.0,414.0,414.0,414.0,0
2020-01-14,402.55059814453125,414.0,414.0,414.0,414.0,0
2020-01-15,402.55059814453125,414.0,414.0,414.0,414.0,0
2020-01-16,400.60589599609375,412.0,412.0,380.0,382.0,1400
2020-01-17,394.7718505859375,406.0,412.0,406.0,412.0,400
2020-01-20,390.8824462890625,402.0,406.0,380.0,388.0,1000
2020-01-21,406.4399719238281,418.0,418.0,406.0,406.0,300
2020-01-22,406.4399719238281,418.0,418.0,418.0,418.0,0
2020-01-23,406.4399719238281,418.0,418.0,418.0,418.0,121000
2020-01-24,406.4399719238281,418.0,418.0,418.0,418.0,0
2020-01-27,398.6612243652344,410.0,414.0,380.0,414.0,4700
2020-01-28,363.65679931640625,374.0,374.0,354.0,358.0,10500
2020-01-29,386.99310302734375,398.0,398.0,398.0,398.0,100
2020-01-30,386.99310302734375,398.0,398.0,398.0,398.0,0
2020-01-31,293.64801025390625,302.0,350.0,302.0,330.0,159300
2020-02-03,322.818359375,332.0,358.0,314.0,342.0,54300
2020-02-04,351.98870849609375,362.0,382.0,352.0,370.0,3900
2020-02-05,375.324951171875,386.0,396.0,364.0,364.0,123200
2020-02-06,328.65240478515625,338.0,368.0,320.0,320.0,140600
2020-02-07,377.2696533203125,388.0,414.0,346.0,348.0,122100
2020-02-10,381.15899658203125,392.0,398.0,330.0,388.0,95200
2020-02-11,388.9377746582031,400.0,400.0,390.0,390.0,4500
2020-02-12,379.2143249511719,390.0,400.0,390.0,400.0,1600
2020-02-13,295.59271240234375,304.0,398.0,294.0,398.0,530800
2020-02-14,359.7674560546875,370.0,378.0,324.0,324.0,23600
2020-02-17,346.15460205078125,356.0,378.0,312.0,352.0,31900
2020-02-18,377.2696533203125,388.0,390.0,322.0,342.0,29600
2020-02-19,373.3802490234375,384.0,386.0,332.0,372.0,10200
2020-02-20,377.2696533203125,388.0,396.0,342.0,388.0,13000
2020-02-21,357.82275390625,368.0,394.0,312.0,386.0,187300
2020-02-24,375.324951171875,386.0,396.0,330.0,368.0,161900
2020-02-25,371.435546875,382.0,386.0,374.0,386.0,6100
