Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,234.0,234.0,244.0,232.0,232.0,1544800
2020-01-03,236.0,236.0,242.0,234.0,234.0,2359100
2020-01-06,294.0,294.0,294.0,236.0,236.0,40216800
2020-01-07,274.0,274.0,328.0,270.0,324.0,62746600
2020-01-08,260.0,260.0,292.0,256.0,282.0,16037800
2020-01-09,254.0,254.0,276.0,250.0,250.0,9491400
2020-01-10,254.0,254.0,264.0,252.0,252.0,2578400
2020-01-13,244.0,244.0,262.0,242.0,254.0,3594000
2020-01-14,290.0,290.0,290.0,244.0,244.0,28928100
2020-01-15,262.0,262.0,298.0,256.0,292.0,18927000
2020-01-16,264.0,264.0,264.0,252.0,262.0,3351200
2020-01-17,258.0,258.0,268.0,256.0,264.0,2002100
2020-01-20,244.0,244.0,272.0,244.0,260.0,3775400
2020-01-21,252.0,252.0,256.0,248.0,248.0,2747400
2020-01-22,264.0,264.0,284.0,250.0,256.0,28847300
2020-01-23,288.0,288.0,294.0,264.0,266.0,35565900
2020-01-24,272.0,272.0,314.0,272.0,288.0,42753700
2020-01-27,268.0,268.0,288.0,266.0,276.0,12137500
2020-01-28,264.0,264.0,278.0,256.0,270.0,4787200
2020-01-29,264.0,264.0,276.0,258.0,266.0,5911800
2020-01-30,284.0,284.0,290.0,262.0,262.0,27317400
2020-01-31,264.0,264.0,286.0,260.0,286.0,13228300
2020-02-03,258.0,258.0,266.0,250.0,262.0,4692100
2020-02-04,244.0,244.0,266.0,240.0,258.0,6492100
2020-02-05,228.0,228.0,250.0,218.0,244.0,17599900
2020-02-06,234.0,234.0,248.0,228.0,228.0,6800200
2020-02-07,236.0,236.0,252.0,236.0,236.0,9605500
2020-02-10,232.0,232.0,242.0,226.0,236.0,3414900
2020-02-11,236.0,236.0,236.0,226.0,236.0,2332000
2020-02-12,224.0,224.0,238.0,220.0,236.0,2028300
2020-02-13,200.0,200.0,224.0,198.0,222.0,18367300
2020-02-14,204.0,204.0,214.0,200.0,202.0,10103100
2020-02-17,198.0,198.0,206.0,165.0,204.0,16947100
2020-02-18,191.0,191.0,200.0,186.0,198.0,3456800
2020-02-19,238.0,238.0,242.0,187.0,198.0,29078900
2020-02-20,252.0,252.0,266.0,230.0,238.0,28086000
2020-02-21,264.0,264.0,272.0,250.0,250.0,14595800
2020-02-24,270.0,270.0,284.0,266.0,268.0,20541800
2020-02-25,300.0,300.0,308.0,242.0,264.0,54744300
2020-02-26,304.0,304.0,314.0,290.0,300.0,42694000
2020-02-27,298.0,298.0,316.0,294.0,308.0,35893000
2020-02-28,270.0,270.0,294.0,268.0,294.0,22011400
2020-03-02,290.0,290.0,296.0,268.0,270.0,36870500
2020-03-03,320.0,320.0,320.0,290.0,294.0,43408300
2020-03-04,316.0,316.0,328.0,308.0,328.0,32999700
2020-03-05,326.0,326.0,336.0,316.0,316.0,27951200
2020-03-06,350.0,350.0,362.0,320.0,330.0,42904400
2020-03-09,344.0,344.0,366.0,340.0,350.0,52406900
2020-03-10,344.0,344.0,354.0,332.0,346.0,22780400
2020-03-11,310.0,310.0,350.0,310.0,344.0,30926600
2020-03-12,280.0,280.0,300.0,280.0,290.0,961600
2020-03-13,262.0,262.0,262.0,262.0,262.0,447200
2020-03-16,244.0,244.0,244.0,244.0,244.0,158800
2020-03-17,228.0,228.0,228.0,228.0,228.0,361600
2020-03-18,214.0,214.0,214.0,214.0,214.0,73900
2020-03-19,200.0,200.0,200.0,200.0,200.0,191800
2020-03-20,186.0,186.0,186.0,186.0,186.0,2188900
2020-03-23,173.0,173.0,187.0,173.0,187.0,963900
2020-03-24,220.0,220.0,222.0,161.0,172.0,32847600
2020-03-26,220.0,220.0,248.0,210.0,230.0,18475900
2020-03-27,206.0,206.0,242.0,206.0,242.0,11084900
2020-03-30,192.0,192.0,206.0,192.0,200.0,873300
2020-03-31,188.0,188.0,208.0,181.0,192.0,6596900
