Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,256.7227783203125,258.0,262.0,258.0,260.0,8250100
2020-01-03,256.7227783203125,258.0,260.0,256.0,258.0,4862400
2020-01-06,258.7128601074219,260.0,262.0,256.0,260.0,9574900
2020-01-07,260.7029724121094,262.0,262.0,258.0,262.0,8912200
2020-01-08,258.7128601074219,260.0,262.0,258.0,260.0,19067600
2020-01-09,256.7227783203125,258.0,262.0,258.0,262.0,5663600
2020-01-10,256.7227783203125,258.0,262.0,256.0,258.0,14176100
2020-01-13,268.6633605957031,270.0,278.0,258.0,260.0,74121400
2020-01-14,266.6732482910156,268.0,272.0,264.0,270.0,18823800
2020-01-15,262.69305419921875,264.0,270.0,264.0,268.0,12211600
2020-01-16,260.7029724121094,262.0,266.0,262.0,266.0,6231100
2020-01-17,262.69305419921875,264.0,272.0,260.0,262.0,22941000
2020-01-20,260.7029724121094,262.0,266.0,260.0,264.0,6635900
2020-01-21,256.7227783203125,258.0,264.0,258.0,262.0,13262700
2020-01-22,250.75247192382812,252.0,260.0,252.0,258.0,9921000
2020-01-23,248.7623748779297,250.0,254.0,248.0,252.0,6015400
2020-01-24,248.7623748779297,250.0,254.0,248.0,250.0,4878200
2020-01-27,238.81187438964844,240.0,252.0,238.0,250.0,17077900
2020-01-28,238.81187438964844,240.0,240.0,236.0,240.0,13787800
2020-01-29,236.82177734375,238.0,244.0,238.0,240.0,5311800
2020-01-30,234.83168029785156,236.0,242.0,236.0,238.0,8632200
2020-01-31,218.910888671875,220.0,240.0,220.0,236.0,37454500
2020-02-03,208.96038818359375,210.0,228.0,210.0,220.0,25679200
2020-02-04,214.93069458007812,216.0,232.0,208.0,208.0,168335800
2020-02-05,216.92079162597656,218.0,222.0,216.0,218.0,10663800
2020-02-06,220.90098571777344,222.0,222.0,218.0,220.0,5377200
2020-02-07,222.89108276367188,224.0,226.0,220.0,222.0,8765400
2020-02-10,216.92079162597656,218.0,226.0,218.0,224.0,7049900
2020-02-11,218.910888671875,220.0,222.0,218.0,218.0,6599600
2020-02-12,212.94058227539062,214.0,220.0,212.0,220.0,9485100
2020-02-13,208.96038818359375,210.0,218.0,210.0,218.0,7062800
2020-02-14,214.93069458007812,216.0,216.0,208.0,210.0,13433800
2020-02-17,212.94058227539062,214.0,218.0,210.0,216.0,26543100
2020-02-18,224.8811798095703,226.0,228.0,214.0,218.0,46280100
2020-02-19,228.8613739013672,230.0,230.0,222.0,228.0,11893500
