Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,59.85829162597656,67.0,68.0,67.0,68.0,201500
2020-01-03,59.85829162597656,67.0,68.0,67.0,67.0,464500
2020-01-06,60.75170135498047,68.0,69.0,66.0,67.0,360100
2020-01-07,59.85829162597656,67.0,68.0,67.0,68.0,140700
2020-01-08,59.85829162597656,67.0,68.0,66.0,67.0,600000
2020-01-09,60.75170135498047,68.0,68.0,58.0,66.0,1119800
2020-01-10,60.75170135498047,68.0,69.0,67.0,68.0,241700
2020-01-13,58.96488571166992,66.0,69.0,66.0,67.0,361600
2020-01-14,58.96488571166992,66.0,67.0,66.0,66.0,929100
2020-01-15,58.07147979736328,65.0,67.0,64.0,66.0,1284300
2020-01-16,58.07147979736328,65.0,67.0,65.0,66.0,1080700
2020-01-17,58.07147979736328,65.0,69.0,65.0,65.0,2578900
2020-01-20,58.07147979736328,65.0,66.0,64.0,65.0,591600
2020-01-21,48.243995666503906,54.0,65.0,53.0,65.0,35717400
2020-01-22,45.56377410888672,51.0,59.0,51.0,53.0,68348800
2020-01-23,49.13740158081055,55.0,55.0,51.0,52.0,12921200
2020-01-24,49.13740158081055,55.0,57.0,53.0,56.0,9991300
2020-01-27,49.13740158081055,55.0,56.0,50.0,50.0,5607800
2020-01-28,49.13740158081055,55.0,57.0,55.0,55.0,2330700
2020-01-29,49.13740158081055,55.0,56.0,55.0,55.0,3528600
2020-01-30,49.13740158081055,55.0,56.0,54.0,55.0,5284600
2020-01-31,50.03081130981445,56.0,56.0,55.0,55.0,6320000
2020-02-03,49.13740158081055,55.0,57.0,55.0,56.0,2595900
2020-02-04,50.03081130981445,56.0,57.0,55.0,57.0,809700
2020-02-05,51.817623138427734,58.0,58.0,55.0,56.0,2401300
2020-02-06,52.711036682128906,59.0,59.0,56.0,57.0,534500
2020-02-07,51.817623138427734,58.0,60.0,58.0,58.0,1379800
2020-02-10,54.49784469604492,61.0,63.0,58.0,58.0,4394500
2020-02-11,53.60444259643555,60.0,63.0,59.0,62.0,808200
2020-02-12,52.711036682128906,59.0,62.0,57.0,59.0,2344100
2020-02-13,54.49784469604492,61.0,62.0,58.0,60.0,2076500
2020-02-14,54.49784469604492,61.0,62.0,60.0,61.0,588700
2020-02-17,52.711036682128906,59.0,62.0,59.0,61.0,229000
2020-02-18,56.2846565246582,63.0,63.0,59.0,59.0,989900
2020-02-19,55.39125061035156,62.0,63.0,60.0,62.0,5438300
2020-02-20,54.49784469604492,61.0,62.0,60.0,62.0,979900
2020-02-21,55.39125061035156,62.0,62.0,60.0,61.0,340000
2020-02-24,54.49784469604492,61.0,62.0,59.0,62.0,401200
2020-02-25,54.49784469604492,61.0,62.0,59.0,61.0,1397100
2020-02-26,55.39125061035156,62.0,62.0,59.0,61.0,1417900
2020-02-27,54.49784469604492,61.0,62.0,59.0,61.0,8197600
2020-02-28,53.60444259643555,60.0,60.0,55.0,60.0,3274700
2020-03-02,54.49784469604492,61.0,62.0,58.0,60.0,820000
2020-03-03,55.39125061035156,62.0,62.0,60.0,60.0,7339800
2020-03-04,55.39125061035156,62.0,62.0,60.0,62.0,43800
2020-03-05,54.49784469604492,61.0,63.0,60.0,62.0,337800
2020-03-06,55.39125061035156,62.0,62.0,59.0,62.0,2275100
2020-03-09,53.60444259643555,60.0,62.0,58.0,59.0,2333400
2020-03-10,53.60444259643555,60.0,61.0,59.0,59.0,4491000
2020-03-11,53.60444259643555,60.0,61.0,59.0,60.0,3027700
2020-03-12,51.817623138427734,58.0,60.0,55.0,59.0,2426000
2020-03-13,51.817623138427734,58.0,58.0,54.0,57.0,2544900
2020-03-16,51.817623138427734,58.0,58.0,58.0,58.0,0
2020-03-17,50.03081130981445,56.0,56.0,53.0,54.0,1610800
2020-03-18,52.711036682128906,59.0,59.0,56.0,56.0,2012400
2020-03-19,49.13740158081055,55.0,58.0,55.0,58.0,1526300
2020-03-20,50.03081130981445,56.0,56.0,52.0,54.0,7269100
2020-03-23,49.13740158081055,55.0,56.0,53.0,56.0,987200
2020-03-24,49.13740158081055,55.0,56.0,54.0,55.0,6241000
2020-03-26,52.711036682128906,59.0,60.0,54.0,55.0,2368900
2020-03-27,52.711036682128906,59.0,63.0,58.0,59.0,3113600
2020-03-30,51.817623138427734,58.0,60.0,57.0,59.0,452700
2020-03-31,52.711036682128906,59.0,59.0,58.0,58.0,145300
2020-04-01,53.60444259643555,60.0,61.0,58.0,60.0,682800
2020-04-02,54.49784469604492,61.0,61.0,59.0,60.0,1301900
2020-04-03,55.39125061035156,62.0,62.0,59.0,60.0,1236500
2020-04-06,56.2846565246582,63.0,64.0,61.0,62.0,2626500
2020-04-07,57.178070068359375,64.0,65.0,61.0,63.0,1671400
2020-04-08,57.178070068359375,64.0,66.0,62.0,64.0,10135300
2020-04-09,58.07147979736328,65.0,67.0,63.0,64.0,4500300
2020-04-13,58.96488571166992,66.0,67.0,65.0,65.0,404100
2020-04-14,58.07147979736328,65.0,67.0,64.0,66.0,2900600
2020-04-15,58.07147979736328,65.0,66.0,62.0,65.0,6962600
2020-04-16,58.07147979736328,65.0,65.0,63.0,65.0,1185500
2020-04-17,54.49784469604492,61.0,65.0,61.0,65.0,9793900
2020-04-20,50.924217224121094,57.0,62.0,57.0,61.0,3607400
2020-04-21,48.243995666503906,54.0,58.0,54.0,57.0,3600600
2020-04-22,49.13740158081055,55.0,57.0,53.0,53.0,1717300
2020-04-23,47.350589752197266,53.0,57.0,52.0,56.0,6531600
2020-04-24,45.56377410888672,51.0,55.0,50.0,53.0,40302700
2020-04-27,45.56377410888672,51.0,52.0,50.0,51.0,5219200
2020-04-28,45.56377410888672,51.0,52.0,50.0,50.0,3021500
2020-04-29,45.56377410888672,51.0,52.0,50.0,51.0,2977200
2020-04-30,47.350589752197266,53.0,55.0,51.0,51.0,3729600
2020-05-04,51.817623138427734,58.0,60.0,53.0,53.0,27047700
2020-05-05,48.243995666503906,54.0,59.0,54.0,59.0,9495100
2020-05-06,48.243995666503906,54.0,55.0,52.0,54.0,2452900
2020-05-08,48.243995666503906,54.0,56.0,53.0,54.0,2113600
2020-05-11,49.13740158081055,55.0,56.0,54.0,54.0,1457400
2020-05-12,46.45718002319336,52.0,56.0,52.0,56.0,19851000
2020-05-13,47.350589752197266,53.0,56.0,51.0,52.0,5186800
2020-05-14,46.45718002319336,52.0,54.0,52.0,53.0,868600
2020-05-15,46.45718002319336,52.0,53.0,52.0,53.0,338200
2020-05-18,46.45718002319336,52.0,54.0,52.0,53.0,2547700
2020-05-19,46.45718002319336,52.0,54.0,52.0,52.0,787700
2020-05-20,47.350589752197266,53.0,54.0,52.0,53.0,1680500
2020-05-26,47.350589752197266,53.0,54.0,52.0,53.0,4435200
2020-05-27,48.243995666503906,54.0,55.0,53.0,54.0,2049300
2020-05-28,48.243995666503906,54.0,55.0,52.0,54.0,5806300
2020-05-29,47.350589752197266,53.0,55.0,52.0,54.0,2444500
2020-06-02,48.243995666503906,54.0,55.0,53.0,53.0,2816500
2020-06-03,47.350589752197266,53.0,54.0,52.0,54.0,3870700
2020-06-04,48.243995666503906,54.0,54.0,53.0,53.0,1528500
2020-06-05,49.13740158081055,55.0,57.0,53.0,54.0,4544300
2020-06-08,49.13740158081055,55.0,57.0,55.0,55.0,3665200
2020-06-09,50.03081130981445,56.0,57.0,54.0,56.0,2318600
2020-06-10,48.243995666503906,54.0,57.0,54.0,56.0,3532800
2020-06-11,50.03081130981445,56.0,56.0,51.0,54.0,1217400
2020-06-12,50.03081130981445,56.0,56.0,53.0,56.0,1114400
2020-06-15,49.13740158081055,55.0,57.0,55.0,56.0,2175000
2020-06-16,50.03081130981445,56.0,57.0,55.0,55.0,1591800
