Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,656.7052612304688,825.0,850.0,810.0,845.0,53867800
2020-01-03,660.685302734375,830.0,840.0,820.0,830.0,11644400
2020-01-06,656.7052612304688,825.0,835.0,810.0,830.0,66851500
2020-01-07,640.7850952148438,805.0,825.0,805.0,825.0,78716200
2020-01-08,636.8051147460938,800.0,805.0,785.0,805.0,28369200
2020-01-09,672.6253662109375,845.0,850.0,795.0,800.0,16194100
2020-01-10,648.7451782226562,815.0,850.0,810.0,850.0,83736800
2020-01-13,636.8051147460938,800.0,820.0,795.0,815.0,74912000
2020-01-14,656.7052612304688,825.0,830.0,800.0,805.0,51954000
2020-01-15,628.8450317382812,790.0,825.0,790.0,825.0,61734400
2020-01-16,628.8450317382812,790.0,800.0,785.0,790.0,71433300
2020-01-17,648.7451782226562,815.0,830.0,785.0,795.0,68784900
2020-01-20,628.8450317382812,790.0,820.0,775.0,820.0,82067600
2020-01-21,656.7052612304688,825.0,830.0,785.0,790.0,57123100
2020-01-22,640.7850952148438,805.0,825.0,790.0,825.0,64897600
2020-01-23,652.7252197265625,820.0,820.0,795.0,805.0,100164700
2020-01-24,644.7651977539062,810.0,815.0,795.0,815.0,35066400
2020-01-27,624.864990234375,785.0,810.0,785.0,810.0,18081700
2020-01-28,624.864990234375,785.0,790.0,775.0,785.0,71767100
2020-01-29,632.8250732421875,795.0,800.0,770.0,785.0,72395400
2020-01-30,620.8849487304688,780.0,795.0,775.0,795.0,20047100
2020-01-31,636.8051147460938,800.0,800.0,765.0,780.0,63439800
2020-02-03,608.9448852539062,765.0,795.0,750.0,790.0,92882100
2020-02-04,593.0247192382812,745.0,765.0,730.0,765.0,58776200
2020-02-05,628.8450317382812,790.0,795.0,725.0,745.0,60203700
2020-02-06,636.8051147460938,800.0,800.0,765.0,790.0,80939200
2020-02-07,636.8051147460938,800.0,800.0,785.0,800.0,64985400
2020-02-10,628.8450317382812,790.0,790.0,775.0,790.0,79371400
2020-02-11,624.864990234375,785.0,790.0,765.0,790.0,45565800
2020-02-12,628.8450317382812,790.0,800.0,780.0,785.0,7854000
2020-02-13,636.8051147460938,800.0,805.0,775.0,790.0,74316600
2020-02-14,636.8051147460938,800.0,810.0,780.0,800.0,62852800
2020-02-17,632.8250732421875,795.0,805.0,785.0,795.0,35976300
2020-02-18,632.8250732421875,795.0,805.0,785.0,795.0,63795000
2020-02-19,636.8051147460938,800.0,805.0,780.0,790.0,67125600
2020-02-20,636.8051147460938,800.0,800.0,775.0,800.0,57084400
2020-02-21,632.8250732421875,795.0,795.0,780.0,795.0,58970500
2020-02-24,624.864990234375,785.0,795.0,780.0,795.0,30133500
2020-02-25,652.7252197265625,820.0,820.0,775.0,775.0,74873800
2020-02-26,632.8250732421875,795.0,825.0,780.0,820.0,79660800
2020-02-27,632.8250732421875,795.0,810.0,770.0,795.0,23484700
2020-02-28,644.7651977539062,810.0,810.0,755.0,790.0,5917000
2020-03-02,668.6453857421875,840.0,840.0,770.0,790.0,73227400
2020-03-03,640.7850952148438,805.0,840.0,800.0,840.0,65667700
2020-03-04,624.864990234375,785.0,810.0,780.0,805.0,21447500
2020-03-05,616.9049072265625,775.0,790.0,775.0,785.0,53355900
2020-03-06,656.7052612304688,825.0,825.0,765.0,775.0,77637500
2020-03-09,608.9448852539062,765.0,800.0,765.0,800.0,57978100
2020-03-10,620.8849487304688,780.0,800.0,755.0,770.0,56661000
2020-03-11,632.8250732421875,795.0,800.0,770.0,780.0,22717600
2020-03-12,636.8051147460938,800.0,800.0,760.0,790.0,72036700
2020-03-13,644.7651977539062,810.0,810.0,780.0,780.0,1415800
2020-03-16,644.7651977539062,810.0,810.0,810.0,810.0,0
2020-03-17,612.9249267578125,770.0,790.0,770.0,790.0,15316700
2020-03-18,620.8849487304688,780.0,785.0,765.0,770.0,9931100
2020-03-19,668.6453857421875,840.0,840.0,765.0,775.0,3196900
2020-03-20,668.6453857421875,840.0,840.0,790.0,825.0,12717300
2020-03-23,648.7451782226562,815.0,840.0,805.0,835.0,6650400
2020-03-24,664.665283203125,835.0,840.0,815.0,815.0,17191200
2020-03-26,756.2061157226562,950.0,970.0,835.0,835.0,19188900
2020-03-27,760.18603515625,955.0,970.0,920.0,950.0,9847100
2020-03-30,732.325927734375,920.0,955.0,905.0,955.0,8485800
2020-03-31,744.2659301757812,935.0,960.0,920.0,920.0,8732700
2020-04-01,768.1461791992188,965.0,970.0,935.0,935.0,7967100
2020-04-02,796.0064086914062,1000.0,1000.0,915.0,970.0,8871000
2020-04-03,799.986328125,1005.0,1045.0,1000.0,1000.0,9359800
2020-04-06,831.82666015625,1045.0,1045.0,975.0,1000.0,10153600
2020-04-07,803.966552734375,1010.0,1060.0,1010.0,1045.0,10829900
2020-04-08,776.106201171875,975.0,1015.0,975.0,1010.0,9972900
2020-04-09,796.0064086914062,1000.0,1015.0,955.0,980.0,9328300
2020-04-13,796.0064086914062,1000.0,1050.0,1000.0,1050.0,11818600
2020-04-14,788.0463256835938,990.0,1015.0,985.0,1000.0,8960700
2020-04-15,776.106201171875,975.0,1000.0,975.0,990.0,8804300
2020-04-16,776.106201171875,975.0,995.0,955.0,975.0,10043200
2020-04-17,760.18603515625,955.0,990.0,925.0,990.0,11050000
2020-04-20,740.285888671875,930.0,960.0,930.0,955.0,9001400
2020-04-21,736.305908203125,925.0,930.0,905.0,930.0,12096600
2020-04-22,728.3457641601562,915.0,925.0,895.0,925.0,9854300
2020-04-23,720.3857421875,905.0,920.0,905.0,915.0,8366100
2020-04-24,704.4656372070312,885.0,910.0,885.0,910.0,377800
2020-04-27,712.4256591796875,895.0,925.0,885.0,885.0,74600
2020-04-28,708.4456787109375,890.0,910.0,885.0,900.0,513600
2020-04-29,716.4058227539062,900.0,915.0,890.0,915.0,356600
2020-04-30,712.4256591796875,895.0,915.0,895.0,900.0,492100
2020-05-04,712.4256591796875,895.0,910.0,895.0,895.0,280000
2020-05-05,716.4058227539062,900.0,910.0,890.0,895.0,52700
2020-05-06,712.4256591796875,895.0,905.0,895.0,900.0,397000
2020-05-08,712.4256591796875,895.0,905.0,895.0,895.0,11900
2020-05-11,704.4656372070312,885.0,905.0,875.0,895.0,360300
2020-05-12,700.485595703125,880.0,895.0,825.0,885.0,581000
