Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,155.0,155.0,155.0,145.0,152.0,2408500
2020-01-03,156.0,156.0,156.0,152.0,155.0,211000
2020-01-06,155.0,155.0,160.0,152.0,156.0,691600
2020-01-07,155.0,155.0,160.0,155.0,160.0,578700
2020-01-08,156.0,156.0,158.0,155.0,155.0,146300
2020-01-09,156.0,156.0,158.0,155.0,155.0,460500
2020-01-10,156.0,156.0,157.0,155.0,157.0,498400
2020-01-13,155.0,155.0,156.0,155.0,156.0,926700
2020-01-14,155.0,155.0,156.0,155.0,155.0,790900
2020-01-15,156.0,156.0,156.0,155.0,155.0,607400
2020-01-16,155.0,155.0,156.0,155.0,155.0,278100
2020-01-17,158.0,158.0,165.0,155.0,156.0,332900
2020-01-20,158.0,158.0,163.0,155.0,160.0,126900
2020-01-21,160.0,160.0,164.0,155.0,164.0,379500
2020-01-22,155.0,155.0,164.0,155.0,160.0,98600
2020-01-23,157.0,157.0,157.0,155.0,155.0,5200
2020-01-24,155.0,155.0,160.0,155.0,160.0,93409900
2020-01-27,157.0,157.0,159.0,155.0,158.0,226300
2020-01-28,168.0,168.0,170.0,106.0,157.0,914400
2020-01-29,160.0,160.0,168.0,156.0,166.0,12100
2020-01-30,159.0,159.0,160.0,150.0,160.0,408600
2020-01-31,159.0,159.0,159.0,121.0,159.0,653300
2020-02-03,160.0,160.0,160.0,152.0,152.0,611000
2020-02-04,160.0,160.0,160.0,151.0,151.0,510500
2020-02-05,160.0,160.0,161.0,151.0,161.0,202200
2020-02-06,160.0,160.0,160.0,145.0,151.0,202500
2020-02-07,159.0,159.0,159.0,147.0,151.0,453000
2020-02-10,160.0,160.0,160.0,151.0,159.0,260800
2020-02-11,158.0,158.0,158.0,154.0,154.0,30400
2020-02-12,159.0,159.0,159.0,150.0,150.0,364200
2020-02-13,158.0,158.0,158.0,152.0,152.0,291300
2020-02-14,159.0,159.0,159.0,150.0,150.0,165400
2020-02-17,159.0,159.0,159.0,151.0,153.0,250800
2020-02-18,157.0,157.0,157.0,151.0,153.0,47500
2020-02-19,155.0,155.0,155.0,152.0,154.0,311200
2020-02-20,155.0,155.0,155.0,152.0,152.0,102700
2020-02-21,152.0,152.0,155.0,150.0,155.0,200100
2020-02-24,152.0,152.0,152.0,150.0,150.0,100200
2020-02-25,150.0,150.0,150.0,150.0,150.0,30600
2020-02-26,147.0,147.0,150.0,137.0,146.0,167200
2020-02-27,145.0,145.0,145.0,140.0,140.0,54400
2020-02-28,145.0,145.0,145.0,137.0,140.0,105300
2020-03-02,148.0,148.0,148.0,137.0,140.0,171400
2020-03-03,145.0,145.0,145.0,140.0,140.0,349200
2020-03-04,145.0,145.0,146.0,142.0,146.0,5500
2020-03-05,145.0,145.0,148.0,141.0,148.0,90200
2020-03-06,145.0,145.0,145.0,143.0,143.0,21600
2020-03-09,145.0,145.0,145.0,137.0,140.0,378800
2020-03-10,145.0,145.0,145.0,141.0,141.0,58200
2020-03-11,145.0,145.0,153.0,140.0,152.0,81000
2020-03-12,140.0,140.0,143.0,140.0,142.0,93900
2020-03-13,137.0,137.0,140.0,131.0,132.0,177900
2020-03-16,138.0,138.0,140.0,138.0,140.0,200200
2020-03-17,138.0,138.0,138.0,130.0,130.0,81000
2020-03-18,138.0,138.0,140.0,138.0,138.0,116600
2020-03-19,138.0,138.0,140.0,138.0,140.0,30300
2020-03-20,138.0,138.0,138.0,135.0,135.0,231600
2020-03-23,137.0,137.0,145.0,130.0,139.0,223600
2020-03-24,138.0,138.0,142.0,130.0,142.0,321900
2020-03-26,137.0,137.0,145.0,130.0,143.0,639600
2020-03-27,138.0,138.0,140.0,131.0,140.0,7500
2020-03-30,139.0,139.0,141.0,139.0,141.0,200
2020-03-31,139.0,139.0,139.0,132.0,135.0,34100
2020-04-01,140.0,140.0,142.0,135.0,142.0,2400
2020-04-02,139.0,139.0,140.0,132.0,133.0,587800
2020-04-03,139.0,139.0,139.0,132.0,135.0,350300
2020-04-06,139.0,139.0,139.0,133.0,139.0,6300
2020-04-07,138.0,138.0,139.0,133.0,136.0,501000
2020-04-08,138.0,138.0,139.0,134.0,134.0,223900
2020-04-09,138.0,138.0,138.0,133.0,133.0,60200
2020-04-13,138.0,138.0,138.0,135.0,135.0,49500
2020-04-14,138.0,138.0,140.0,137.0,138.0,19400
2020-04-15,137.0,137.0,139.0,137.0,139.0,301200
