Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,1096.1802978515625,1240.0,1245.0,1225.0,1230.0,49833700
2020-01-03,1078.5001220703125,1220.0,1245.0,1215.0,1240.0,42527600
2020-01-06,1091.7601318359375,1235.0,1240.0,1180.0,1220.0,66397200
2020-01-07,1082.920166015625,1225.0,1250.0,1220.0,1240.0,85129400
2020-01-08,1038.71923828125,1175.0,1225.0,1160.0,1225.0,56832300
2020-01-09,1074.0799560546875,1215.0,1235.0,1185.0,1185.0,62771300
2020-01-10,1060.81982421875,1200.0,1230.0,1195.0,1215.0,71301900
2020-01-13,1016.6188354492188,1150.0,1215.0,1145.0,1205.0,80124900
2020-01-14,1003.3585205078125,1135.0,1160.0,1125.0,1155.0,85844200
2020-01-15,981.2582397460938,1110.0,1150.0,1110.0,1140.0,52020700
2020-01-16,981.2582397460938,1110.0,1140.0,1105.0,1115.0,44694800
2020-01-17,985.6784057617188,1115.0,1200.0,1105.0,1200.0,43312800
2020-01-20,963.577880859375,1090.0,1120.0,1085.0,1115.0,43742300
2020-01-21,1012.1987915039062,1145.0,1160.0,1090.0,1095.0,60833300
2020-01-22,1012.1987915039062,1145.0,1155.0,1130.0,1150.0,41570200
2020-01-23,1060.81982421875,1200.0,1205.0,1145.0,1150.0,54215500
2020-01-24,1056.399658203125,1195.0,1200.0,1180.0,1200.0,26748700
2020-01-27,1047.559326171875,1185.0,1195.0,1160.0,1195.0,45822100
2020-01-28,1051.9794921875,1190.0,1200.0,1175.0,1190.0,50013200
2020-01-29,1051.9794921875,1190.0,1200.0,1180.0,1195.0,47360200
2020-01-30,1034.29931640625,1170.0,1195.0,1150.0,1190.0,65572200
2020-01-31,1025.4591064453125,1160.0,1185.0,1145.0,1175.0,40839800
2020-02-03,1025.4591064453125,1160.0,1170.0,1130.0,1150.0,27172500
2020-02-04,1047.559326171875,1185.0,1205.0,1155.0,1155.0,68978800
2020-02-05,1056.399658203125,1195.0,1200.0,1180.0,1185.0,44393400
2020-02-06,1060.81982421875,1200.0,1205.0,1190.0,1200.0,45970600
2020-02-07,1082.920166015625,1225.0,1230.0,1195.0,1200.0,37157600
2020-02-10,1096.1802978515625,1240.0,1240.0,1200.0,1225.0,26208500
2020-02-11,1096.1802978515625,1240.0,1250.0,1230.0,1240.0,66127800
2020-02-12,1096.1802978515625,1240.0,1250.0,1230.0,1240.0,70435300
2020-02-13,1087.340087890625,1230.0,1240.0,1210.0,1240.0,18801500
2020-02-14,1082.920166015625,1225.0,1235.0,1215.0,1230.0,9011900
2020-02-17,1060.81982421875,1200.0,1230.0,1190.0,1230.0,24156800
2020-02-18,1065.23974609375,1205.0,1210.0,1185.0,1195.0,29768600
2020-02-19,1051.9794921875,1190.0,1205.0,1175.0,1205.0,20127600
2020-02-20,1043.139404296875,1180.0,1200.0,1165.0,1195.0,21770900
2020-02-21,1025.4591064453125,1160.0,1195.0,1150.0,1190.0,17533900
2020-02-24,1043.139404296875,1180.0,1185.0,1140.0,1150.0,22341500
2020-02-25,1056.399658203125,1195.0,1195.0,1155.0,1160.0,10537800
2020-02-26,1056.399658203125,1195.0,1195.0,1155.0,1190.0,17562100
2020-02-27,1025.4591064453125,1160.0,1185.0,1145.0,1170.0,17222000
2020-02-28,976.8383178710938,1105.0,1145.0,1080.0,1140.0,23839500
2020-03-02,937.0575561523438,1060.0,1135.0,1025.0,1095.0,16934900
2020-03-03,959.157958984375,1085.0,1105.0,1060.0,1095.0,8208400
2020-03-04,981.2582397460938,1110.0,1120.0,1070.0,1075.0,28966100
2020-03-05,981.2582397460938,1110.0,1125.0,1090.0,1120.0,8305100
2020-03-06,959.157958984375,1085.0,1110.0,1065.0,1110.0,12620400
2020-03-09,888.4364624023438,1005.0,1050.0,990.0,1050.0,22403900
2020-03-10,888.4364624023438,1005.0,1040.0,990.0,1005.0,15263500
2020-03-11,875.1763305664062,990.0,1000.0,940.0,1000.0,21288200
2020-03-12,791.1947631835938,895.0,945.0,895.0,935.0,14143000
2020-03-13,972.4181518554688,1100.0,1100.0,835.0,840.0,78118300
2020-03-16,972.4181518554688,1100.0,1100.0,1100.0,1100.0,0
2020-03-17,844.2357177734375,955.0,1000.0,955.0,960.0,58315700
2020-03-18,786.774658203125,890.0,955.0,890.0,955.0,131674900
2020-03-19,733.733642578125,830.0,850.0,830.0,840.0,68594900
2020-03-20,738.1537475585938,835.0,835.0,775.0,775.0,193091300
2020-03-23,689.5327758789062,780.0,785.0,780.0,785.0,178824900
2020-03-24,654.1722412109375,740.0,830.0,730.0,780.0,82298400
2020-03-26,751.4138793945312,850.0,880.0,750.0,770.0,93529500
2020-03-27,769.0942993164062,870.0,920.0,825.0,880.0,68494100
2020-03-30,729.3135986328125,825.0,870.0,810.0,855.0,86438300
2020-03-31,800.0348510742188,905.0,990.0,835.0,835.0,118591800
2020-04-01,791.1947631835938,895.0,965.0,860.0,905.0,106265400
2020-04-02,777.9345092773438,880.0,900.0,850.0,895.0,61953600
2020-04-03,800.0348510742188,905.0,950.0,860.0,880.0,25400800
2020-04-06,839.8156127929688,950.0,950.0,855.0,910.0,58533200
2020-04-07,817.7151489257812,925.0,990.0,910.0,970.0,53532600
2020-04-08,777.9345092773438,880.0,925.0,865.0,925.0,29685200
2020-04-09,839.8156127929688,950.0,1005.0,890.0,900.0,92076700
2020-04-13,830.9754638671875,940.0,980.0,920.0,970.0,61669800
2020-04-14,861.9159545898438,975.0,1000.0,910.0,915.0,74900600
2020-04-15,906.1167602539062,1025.0,1185.0,965.0,1010.0,87144600
2020-04-16,875.1763305664062,990.0,1050.0,970.0,1015.0,59813700
2020-04-17,941.4774169921875,1065.0,1075.0,1005.0,1020.0,51294900
2020-04-20,914.9569702148438,1035.0,1125.0,1030.0,1070.0,57244900
2020-04-21,963.577880859375,1090.0,1090.0,1030.0,1030.0,78549800
2020-04-22,976.8383178710938,1105.0,1105.0,1045.0,1090.0,63798400
2020-04-23,954.7376708984375,1080.0,1125.0,1075.0,1115.0,53309600
2020-04-24,963.577880859375,1090.0,1125.0,1055.0,1055.0,47115500
2020-04-27,954.7376708984375,1080.0,1110.0,1060.0,1080.0,48154300
2020-04-28,1016.6188354492188,1150.0,1155.0,1065.0,1080.0,115584900
2020-04-29,1012.1987915039062,1145.0,1160.0,1130.0,1160.0,56547100
2020-04-30,1056.399658203125,1195.0,1200.0,1140.0,1145.0,138937800
2020-05-04,1012.1987915039062,1145.0,1195.0,1120.0,1190.0,25652600
2020-05-05,1012.1987915039062,1145.0,1165.0,1125.0,1150.0,28583800
2020-05-06,976.8383178710938,1105.0,1155.0,1105.0,1145.0,20480200
2020-05-08,1007.77880859375,1140.0,1155.0,1105.0,1110.0,45855400
2020-05-11,990.098388671875,1120.0,1155.0,1115.0,1150.0,48092200
2020-05-12,972.4181518554688,1100.0,1125.0,1080.0,1120.0,19890000
2020-05-13,919.3770751953125,1040.0,1090.0,1030.0,1090.0,31931900
2020-05-14,954.7376708984375,1080.0,1085.0,1000.0,1030.0,17776700
2020-05-15,994.5184936523438,1125.0,1125.0,1060.0,1080.0,23353900
2020-05-18,967.998046875,1095.0,1140.0,1090.0,1140.0,10115400
2020-05-19,954.7376708984375,1080.0,1115.0,1065.0,1100.0,19446800
2020-05-20,923.7971801757812,1045.0,1080.0,1030.0,1080.0,21527500
2020-05-26,937.0575561523438,1060.0,1080.0,1050.0,1050.0,21715000
2020-05-27,941.4774169921875,1065.0,1080.0,1040.0,1070.0,22641900
2020-05-28,928.21728515625,1050.0,1080.0,1045.0,1075.0,29077900
2020-05-29,937.0575561523438,1060.0,1070.0,1045.0,1050.0,36352500
2020-06-02,957.94140625,1055.0,1060.0,1025.0,1060.0,25504300
2020-06-03,989.7215576171875,1090.0,1100.0,1055.0,1060.0,54929900
2020-06-04,1007.8815307617188,1110.0,1125.0,1085.0,1090.0,46344700
2020-06-05,1012.421630859375,1115.0,1125.0,1100.0,1115.0,27904900
2020-06-08,1007.8815307617188,1110.0,1140.0,1105.0,1115.0,49223400
2020-06-09,994.2615356445312,1095.0,1115.0,1075.0,1115.0,22788900
2020-06-10,994.2615356445312,1095.0,1120.0,1055.0,1085.0,38132400
2020-06-11,989.7215576171875,1090.0,1105.0,1075.0,1100.0,29378600
