Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,312.2421569824219,400.0,415.0,400.0,400.0,4000
2020-01-03,312.2421569824219,400.0,400.0,400.0,400.0,400
2020-01-06,312.2421569824219,400.0,400.0,400.0,400.0,3200
2020-01-07,308.3391418457031,395.0,395.0,395.0,395.0,1200
2020-01-08,312.2421569824219,400.0,400.0,400.0,400.0,200
2020-01-09,329.8058166503906,422.5,422.5,422.5,422.5,200
2020-01-10,329.8058166503906,422.5,422.5,422.5,422.5,0
2020-01-13,312.2421569824219,400.0,400.0,400.0,400.0,2000
2020-01-14,320.0482177734375,410.0,410.0,400.0,400.0,2200
2020-01-15,320.0482177734375,410.0,410.0,410.0,410.0,1000
2020-01-16,320.0482177734375,410.0,410.0,410.0,410.0,0
2020-01-17,320.0482177734375,410.0,410.0,410.0,410.0,0
2020-01-20,320.0482177734375,410.0,410.0,410.0,410.0,0
2020-01-21,320.0482177734375,410.0,412.5,410.0,410.0,17200
2020-01-22,312.2421569824219,400.0,415.0,400.0,400.0,13200
2020-01-23,325.90277099609375,417.5,420.0,417.5,420.0,400
2020-01-24,327.8542785644531,420.0,425.0,417.5,425.0,1200
2020-01-27,323.9512939453125,415.0,415.0,415.0,415.0,200
2020-01-28,323.9512939453125,415.0,415.0,415.0,415.0,0
2020-01-29,329.8058166503906,422.5,440.0,422.5,440.0,400
2020-01-30,329.8058166503906,422.5,422.5,422.5,422.5,0
2020-01-31,329.8058166503906,422.5,422.5,422.5,422.5,0
2020-02-03,329.8058166503906,422.5,422.5,422.5,422.5,0
2020-02-04,329.8058166503906,422.5,422.5,422.5,422.5,0
2020-02-05,329.8058166503906,422.5,422.5,422.5,422.5,0
2020-02-06,312.2421569824219,400.0,400.0,400.0,400.0,3000
2020-02-07,312.2421569824219,400.0,400.0,400.0,400.0,0
2020-02-10,312.2421569824219,400.0,400.0,400.0,400.0,200
2020-02-11,312.2421569824219,400.0,400.0,400.0,400.0,0
2020-02-12,312.2421569824219,400.0,400.0,400.0,400.0,0
2020-02-13,296.63006591796875,380.0,400.0,380.0,400.0,2200
2020-02-14,329.8058166503906,422.5,425.0,422.5,425.0,400
2020-02-17,308.3391418457031,395.0,395.0,395.0,395.0,30800
2020-02-18,323.9512939453125,415.0,415.0,395.0,395.0,4400
2020-02-19,323.9512939453125,415.0,415.0,415.0,415.0,6000
2020-02-20,323.9512939453125,415.0,415.0,415.0,415.0,0
2020-02-21,327.8542785644531,420.0,420.0,420.0,420.0,200
2020-02-24,327.8542785644531,420.0,420.0,420.0,420.0,0
2020-02-25,312.2421569824219,400.0,400.0,400.0,400.0,200
2020-02-26,298.58160400390625,382.5,382.5,382.5,382.5,1400
2020-02-27,306.3876647949219,392.5,392.5,380.0,382.5,26800
2020-02-28,296.63006591796875,380.0,380.0,350.0,350.0,3800
2020-03-02,310.2906799316406,397.5,397.5,380.0,380.0,10400
2020-03-03,310.2906799316406,397.5,397.5,397.5,397.5,0
2020-03-04,310.2906799316406,397.5,397.5,397.5,397.5,0
2020-03-05,310.2906799316406,397.5,397.5,397.5,397.5,0
2020-03-06,318.0967102050781,407.5,407.5,400.0,400.0,1400
2020-03-09,318.0967102050781,407.5,407.5,407.5,407.5,0
2020-03-10,318.0967102050781,407.5,407.5,407.5,407.5,0
2020-03-11,318.0967102050781,407.5,407.5,407.5,407.5,0
2020-03-12,318.0967102050781,407.5,407.5,407.5,407.5,0
2020-03-13,318.0967102050781,407.5,407.5,407.5,407.5,0
2020-03-16,318.0967102050781,407.5,407.5,407.5,407.5,0
2020-03-17,318.0967102050781,407.5,407.5,407.5,407.5,0
2020-03-18,318.0967102050781,407.5,407.5,407.5,407.5,0
2020-03-19,318.0967102050781,407.5,407.5,407.5,407.5,0
2020-03-20,318.0967102050781,407.5,407.5,407.5,407.5,0
2020-03-23,296.63006591796875,380.0,380.0,380.0,380.0,200
2020-03-24,296.63006591796875,380.0,380.0,380.0,380.0,39800
2020-03-26,277.11492919921875,355.0,355.0,355.0,355.0,9400
2020-03-27,269.3088684082031,345.0,345.0,332.5,332.5,20800
2020-03-30,263.4543762207031,337.5,340.0,337.5,340.0,3000
2020-03-31,263.4543762207031,337.5,337.5,337.5,337.5,4200
2020-04-01,271.2603759765625,347.5,347.5,337.5,337.5,4600
2020-04-02,271.2603759765625,347.5,347.5,347.5,347.5,0
2020-04-03,271.2603759765625,347.5,347.5,325.0,330.0,6600
2020-04-06,267.35736083984375,342.5,345.0,325.0,325.0,2400
2020-04-07,253.69676208496094,325.0,325.0,325.0,325.0,1600
2020-04-08,253.69676208496094,325.0,325.0,325.0,325.0,0
2020-04-09,236.13314819335938,302.5,325.0,302.5,325.0,22000
2020-04-13,253.69676208496094,325.0,325.0,305.0,305.0,2000
2020-04-14,267.35736083984375,342.5,342.5,322.5,322.5,600
2020-04-15,251.74525451660156,322.5,322.5,322.5,322.5,3000
2020-04-16,251.74525451660156,322.5,322.5,322.5,322.5,1400
2020-04-17,251.74525451660156,322.5,322.5,322.5,322.5,0
2020-04-20,236.13314819335938,302.5,312.5,300.0,312.5,63400
2020-04-21,236.13314819335938,302.5,302.5,302.5,302.5,0
2020-04-22,228.32711791992188,292.5,295.0,292.5,295.0,5200
2020-04-23,234.181640625,300.0,300.0,300.0,300.0,8600
2020-04-24,218.56954956054688,280.0,305.0,280.0,305.0,50200
2020-04-27,218.56954956054688,280.0,280.0,280.0,280.0,0
2020-04-28,218.56954956054688,280.0,280.0,280.0,280.0,1800
2020-04-29,218.56954956054688,280.0,280.0,280.0,280.0,0
2020-04-30,220.52102661132812,282.5,282.5,282.5,282.5,200
2020-05-04,228.32711791992188,292.5,292.5,292.5,292.5,400
2020-05-05,228.32711791992188,292.5,292.5,275.0,277.5,7400
2020-05-06,228.32711791992188,292.5,292.5,292.5,292.5,3400
2020-05-08,253.69676208496094,325.0,325.0,292.5,292.5,4800
2020-05-11,236.13314819335938,302.5,320.0,302.5,302.5,5600
2020-05-12,236.13314819335938,302.5,302.5,300.0,302.5,6200
2020-05-13,222.47256469726562,285.0,302.5,285.0,302.5,600
2020-05-14,253.69676208496094,325.0,325.0,285.0,285.0,3800
2020-05-15,253.69676208496094,325.0,325.0,325.0,325.0,600
2020-05-18,253.69676208496094,325.0,330.0,312.5,330.0,3800
2020-05-19,245.8907012939453,315.0,325.0,315.0,315.0,1600
2020-05-20,249.7937469482422,320.0,320.0,310.0,312.5,1400
2020-05-26,259.5513000488281,332.5,335.0,332.5,335.0,600
2020-05-27,245.8907012939453,315.0,315.0,315.0,315.0,200
2020-05-28,245.8907012939453,315.0,315.0,310.0,310.0,4600
2020-05-29,245.8907012939453,315.0,315.0,300.0,300.0,600
2020-06-02,253.69676208496094,325.0,325.0,295.0,315.0,14400
2020-06-03,273.2119140625,350.0,350.0,350.0,350.0,600
2020-06-04,279.06646728515625,357.5,357.5,357.5,357.5,200
2020-06-05,279.06646728515625,357.5,357.5,357.5,357.5,400
2020-06-08,310.2906799316406,397.5,397.5,397.5,397.5,400
2020-06-09,304.4361267089844,390.0,400.0,370.0,400.0,2800
2020-06-10,288.82403564453125,370.0,370.0,365.0,370.0,1000
2020-06-11,271.2603759765625,347.5,347.5,347.5,347.5,200
2020-06-12,288.82403564453125,370.0,370.0,370.0,370.0,200
