Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,256.0,256.0,270.0,252.0,252.0,2016000
2020-01-03,256.0,256.0,266.0,234.0,256.0,1284200
2020-01-06,258.0,258.0,260.0,242.0,256.0,43200
2020-01-07,256.0,256.0,268.0,240.0,244.0,1260800
2020-01-08,254.0,254.0,256.0,254.0,256.0,5600
2020-01-09,254.0,254.0,256.0,248.0,250.0,449700
2020-01-10,248.0,248.0,258.0,248.0,248.0,17000
2020-01-13,244.0,244.0,256.0,232.0,240.0,128800
2020-01-14,244.0,244.0,248.0,236.0,244.0,253500
2020-01-15,242.0,242.0,248.0,238.0,248.0,81300
2020-01-16,242.0,242.0,246.0,234.0,242.0,110000
2020-01-17,246.0,246.0,252.0,242.0,242.0,92000
2020-01-20,240.0,240.0,248.0,232.0,248.0,73200
2020-01-21,220.0,220.0,248.0,220.0,240.0,148100
2020-01-22,220.0,220.0,230.0,210.0,210.0,411100
2020-01-23,228.0,228.0,230.0,220.0,220.0,33800
2020-01-24,228.0,228.0,236.0,224.0,228.0,27200
2020-01-27,200.0,200.0,222.0,200.0,210.0,6489000
2020-01-28,195.0,195.0,210.0,170.0,200.0,5515500
2020-01-29,199.0,199.0,208.0,196.0,199.0,4417800
2020-01-30,200.0,200.0,208.0,190.0,200.0,3492400
2020-01-31,194.0,194.0,200.0,190.0,200.0,3353400
2020-02-03,194.0,194.0,204.0,182.0,194.0,71300
2020-02-04,199.0,199.0,200.0,190.0,190.0,33200
2020-02-05,192.0,192.0,199.0,190.0,195.0,420100
2020-02-06,197.0,197.0,202.0,187.0,193.0,413400
2020-02-07,198.0,198.0,204.0,190.0,204.0,225500
2020-02-10,197.0,197.0,202.0,197.0,198.0,55900
2020-02-11,188.0,188.0,197.0,188.0,197.0,338100
2020-02-12,198.0,198.0,199.0,180.0,188.0,199600
2020-02-13,198.0,198.0,200.0,198.0,198.0,124000
2020-02-14,197.0,197.0,200.0,197.0,198.0,46000
2020-02-17,196.0,196.0,200.0,196.0,198.0,38400
2020-02-18,202.0,202.0,206.0,200.0,200.0,18900
2020-02-19,196.0,196.0,202.0,188.0,202.0,780900
2020-02-20,196.0,196.0,198.0,189.0,198.0,13600
2020-02-21,197.0,197.0,197.0,181.0,183.0,15300
2020-02-24,199.0,199.0,206.0,184.0,200.0,120800
2020-02-25,195.0,195.0,199.0,195.0,199.0,5000
2020-02-26,195.0,195.0,195.0,195.0,195.0,2000
2020-02-27,199.0,199.0,199.0,198.0,198.0,81100
2020-02-28,197.0,197.0,199.0,197.0,199.0,2700
2020-03-02,197.0,197.0,198.0,185.0,197.0,47900
2020-03-03,191.0,191.0,195.0,179.0,195.0,40300
2020-03-04,200.0,200.0,200.0,180.0,191.0,53700
2020-03-05,191.0,191.0,191.0,187.0,191.0,30500
2020-03-06,185.0,185.0,187.0,185.0,187.0,2800
2020-03-09,172.0,172.0,192.0,172.0,191.0,146200
2020-03-10,174.0,174.0,179.0,173.0,179.0,5100
2020-03-11,180.0,180.0,192.0,170.0,181.0,55100
2020-03-12,170.0,170.0,181.0,162.0,181.0,148300
2020-03-13,179.0,179.0,183.0,169.0,169.0,265200
2020-03-16,190.0,190.0,190.0,167.0,177.0,78700
2020-03-17,190.0,190.0,190.0,190.0,190.0,0
2020-03-18,177.0,177.0,190.0,177.0,177.0,22200
2020-03-19,177.0,177.0,177.0,177.0,177.0,33600
2020-03-20,185.0,185.0,188.0,165.0,170.0,24300
2020-03-23,173.0,173.0,175.0,173.0,175.0,300
2020-03-24,162.0,162.0,198.0,162.0,173.0,248700
2020-03-26,177.0,177.0,190.0,158.0,162.0,17900
2020-03-27,168.0,168.0,175.0,168.0,175.0,51500
2020-03-30,167.0,167.0,189.0,157.0,178.0,93600
2020-03-31,165.0,165.0,167.0,164.0,167.0,2900
2020-04-01,163.0,163.0,165.0,160.0,165.0,33000
2020-04-02,153.0,153.0,157.0,153.0,156.0,17500
2020-04-03,166.0,166.0,166.0,152.0,155.0,12400
2020-04-06,160.0,160.0,178.0,155.0,166.0,265100
2020-04-07,150.0,150.0,161.0,149.0,160.0,824400
2020-04-08,150.0,150.0,155.0,150.0,150.0,24000
2020-04-09,149.0,149.0,150.0,140.0,150.0,144500
2020-04-13,149.0,149.0,150.0,141.0,150.0,15900
2020-04-14,140.0,140.0,159.0,140.0,149.0,88200
2020-04-15,132.0,132.0,147.0,131.0,145.0,408000
2020-04-16,142.0,142.0,150.0,128.0,128.0,250000
2020-04-17,135.0,135.0,143.0,133.0,142.0,314900
2020-04-20,134.0,134.0,137.0,130.0,135.0,857200
2020-04-21,125.0,125.0,134.0,125.0,134.0,649300
2020-04-22,125.0,125.0,137.0,125.0,125.0,310700
2020-04-23,117.0,117.0,132.0,117.0,118.0,1512000
2020-04-24,109.0,109.0,114.0,109.0,110.0,637700
2020-04-27,109.0,109.0,112.0,102.0,110.0,59900
2020-04-28,104.0,104.0,117.0,103.0,109.0,515100
2020-04-29,97.0,97.0,139.0,97.0,114.0,8784700
2020-04-30,95.0,95.0,106.0,93.0,100.0,4405400
2020-05-04,89.0,89.0,102.0,89.0,102.0,3303100
2020-05-05,83.0,83.0,102.0,83.0,85.0,10468900
2020-05-06,85.0,85.0,93.0,84.0,86.0,6916800
2020-05-08,92.0,92.0,94.0,84.0,87.0,5531600
2020-05-11,108.0,108.0,108.0,91.0,95.0,32591900
2020-05-12,105.0,105.0,116.0,101.0,109.0,24849900
2020-05-13,98.0,98.0,106.0,98.0,105.0,13053800
2020-05-14,97.0,97.0,100.0,93.0,97.0,5462100
2020-05-15,98.0,98.0,104.0,94.0,98.0,11619600
2020-05-18,100.0,100.0,101.0,93.0,98.0,8014900
2020-05-19,100.0,100.0,105.0,98.0,100.0,7026000
2020-05-20,99.0,99.0,101.0,97.0,100.0,5228600
2020-05-26,96.0,96.0,100.0,95.0,97.0,3602900
2020-05-27,94.0,94.0,97.0,92.0,96.0,3993100
2020-05-28,90.0,90.0,97.0,90.0,95.0,6471200
2020-05-29,86.0,86.0,94.0,86.0,92.0,9538700
2020-06-02,88.0,88.0,90.0,86.0,89.0,7608500
2020-06-03,86.0,86.0,90.0,86.0,89.0,7709300
2020-06-04,90.0,90.0,97.0,86.0,86.0,32469100
2020-06-05,90.0,90.0,93.0,88.0,92.0,18721200
2020-06-08,110.0,110.0,110.0,90.0,90.0,87939600
2020-06-09,103.0,103.0,117.0,103.0,112.0,34887800
2020-06-10,96.0,96.0,100.0,96.0,100.0,16055600
2020-06-11,90.0,90.0,95.0,90.0,93.0,20796800
