Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,9849.0205078125,10075.0,10350.0,10050.0,10350.0,242500
2020-01-03,10777.7109375,11025.0,11075.0,10075.0,10075.0,1302700
2020-01-06,10899.9072265625,11150.0,11150.0,10700.0,11000.0,1118200
2020-01-07,11168.73828125,11425.0,11450.0,11200.0,11200.0,764200
2020-01-08,11046.54296875,11300.0,11500.0,11150.0,11500.0,500400
2020-01-09,10924.3466796875,11175.0,11325.0,10925.0,11300.0,657600
2020-01-10,11046.54296875,11300.0,11300.0,11150.0,11150.0,492400
2020-01-13,11119.859375,11375.0,11425.0,11050.0,11300.0,577200
2020-01-14,11095.4208984375,11350.0,11425.0,11175.0,11425.0,546000
2020-01-15,11046.54296875,11300.0,11350.0,11100.0,11350.0,563600
2020-01-16,10997.6640625,11250.0,11300.0,11125.0,11300.0,330200
2020-01-17,10997.6640625,11250.0,11250.0,11075.0,11250.0,485600
2020-01-20,10777.7109375,11025.0,11275.0,11000.0,11200.0,379100
2020-01-21,10753.271484375,11000.0,11200.0,10850.0,11025.0,310900
2020-01-22,10460.0,10700.0,11050.0,10700.0,10975.0,450700
2020-01-23,10435.560546875,10675.0,10700.0,10625.0,10650.0,503800
2020-01-24,10435.560546875,10675.0,10950.0,10675.0,10675.0,679200
2020-01-27,9971.2158203125,10200.0,10675.0,10200.0,10675.0,562100
2020-01-28,9824.580078125,10050.0,10325.0,10000.0,10200.0,490400
2020-01-29,9677.943359375,9900.0,10300.0,9900.0,10150.0,671400
2020-01-30,9335.7958984375,9550.0,10000.0,9500.0,10000.0,1048700
2020-01-31,8895.888671875,9100.0,9725.0,9100.0,9650.0,1396400
2020-02-03,8333.7861328125,8525.0,9100.0,8500.0,9000.0,1405100
2020-02-04,8407.103515625,8600.0,8800.0,8500.0,8575.0,1167400
2020-02-05,8553.73828125,8750.0,9250.0,8525.0,8650.0,1419000
2020-02-06,8504.8603515625,8700.0,9100.0,8700.0,8950.0,1620300
2020-02-07,8651.4951171875,8850.0,8850.0,8625.0,8750.0,1185200
2020-02-10,8309.34765625,8500.0,8850.0,8400.0,8850.0,1394800
2020-02-11,8089.39306640625,8275.0,8700.0,8250.0,8575.0,952300
2020-02-12,7796.1220703125,7975.0,8375.0,7875.0,8325.0,1241900
2020-02-13,7331.7763671875,7500.0,8075.0,7350.0,7975.0,1517900
2020-02-14,7282.89794921875,7450.0,7525.0,7200.0,7400.0,2138100
2020-02-17,7356.21533203125,7525.0,7750.0,7350.0,7450.0,1829500
2020-02-18,7527.2900390625,7700.0,8050.0,7425.0,7550.0,3402300
2020-02-19,7869.43994140625,8050.0,8075.0,7725.0,7725.0,1564100
2020-02-20,8040.5146484375,8225.0,8550.0,8100.0,8100.0,2983000
2020-02-21,7625.046875,7800.0,8275.0,7800.0,8250.0,1692800
2020-02-24,7160.701171875,7325.0,7700.0,7325.0,7600.0,1464000
2020-02-25,7258.4580078125,7425.0,7625.0,7050.0,7300.0,1504500
2020-02-26,6623.0380859375,6775.0,7375.0,6725.0,7375.0,3816300
2020-02-27,6256.44921875,6400.0,6975.0,6400.0,6700.0,2457300
2020-02-28,5865.4208984375,6000.0,6175.0,5725.0,6175.0,3700500
2020-03-02,5718.7861328125,5850.0,6500.0,5750.0,6100.0,3757200
2020-03-03,6574.15966796875,6725.0,6775.0,6050.0,6050.0,4235300
2020-03-04,7282.89794921875,7450.0,7450.0,6525.0,6625.0,3945800
2020-03-05,7429.533203125,7600.0,8000.0,7300.0,7600.0,4163800
2020-03-06,7136.26220703125,7300.0,7450.0,7000.0,7200.0,1789000
2020-03-09,6256.44921875,6400.0,7050.0,6400.0,6900.0,2851000
2020-03-10,6940.748046875,7100.0,7275.0,6350.0,6375.0,3478900
2020-03-11,6647.4765625,6800.0,7425.0,6550.0,7150.0,3453900
2020-03-12,6109.8134765625,6250.0,6600.0,6125.0,6600.0,2472100
2020-03-13,6012.056640625,6150.0,6625.0,5825.0,6000.0,5731100
2020-03-16,6012.056640625,6150.0,6150.0,6150.0,6150.0,0
2020-03-17,5205.56103515625,5325.0,5650.0,5325.0,5500.0,2094800
2020-03-18,4848.748046875,4960.0,5325.0,4960.0,5325.0,4263000
2020-03-19,4516.3740234375,4620.0,4700.0,4620.0,4700.0,244000
2020-03-20,4232.87841796875,4330.0,4600.0,4300.0,4500.0,8452500
2020-03-23,3939.607666015625,4030.0,4200.0,4030.0,4200.0,1032700
2020-03-24,3665.88818359375,3750.0,4320.0,3750.0,4040.0,4455300
2020-03-26,4105.79443359375,4200.0,4330.0,3750.0,3750.0,8398700
2020-03-27,4203.5517578125,4300.0,4800.0,4200.0,4300.0,7864600
2020-03-30,3910.280517578125,4000.0,4280.0,4000.0,4200.0,1691500
2020-03-31,3900.505126953125,3990.0,4280.0,3990.0,4050.0,4085500
2020-04-01,3792.97216796875,3880.0,4140.0,3800.0,4000.0,5084000
2020-04-02,4086.243408203125,4180.0,4180.0,3750.0,3770.0,5015000
