Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,278.0,278.0,278.0,278.0,278.0,0
2020-01-03,248.0,248.0,278.0,240.0,278.0,47200
2020-01-06,264.0,264.0,268.0,260.0,262.0,5900
2020-01-07,274.0,274.0,274.0,274.0,274.0,300
2020-01-08,274.0,274.0,276.0,266.0,274.0,11000
2020-01-09,272.0,272.0,274.0,260.0,274.0,10800
2020-01-10,272.0,272.0,274.0,270.0,270.0,14000
2020-01-13,270.0,270.0,270.0,268.0,270.0,26200
2020-01-14,274.0,274.0,274.0,266.0,274.0,80300
2020-01-15,274.0,274.0,274.0,274.0,274.0,0
2020-01-16,252.0,252.0,272.0,250.0,272.0,400
2020-01-17,252.0,252.0,268.0,212.0,232.0,900
2020-01-20,266.0,266.0,270.0,232.0,232.0,15800
2020-01-21,264.0,264.0,264.0,232.0,252.0,41400
2020-01-22,266.0,266.0,266.0,266.0,266.0,100
2020-01-23,266.0,266.0,266.0,266.0,266.0,0
2020-01-24,266.0,266.0,266.0,266.0,266.0,0
2020-01-27,264.0,264.0,264.0,264.0,264.0,2000
2020-01-28,266.0,266.0,266.0,266.0,266.0,100
2020-01-29,266.0,266.0,266.0,266.0,266.0,0
2020-01-30,266.0,266.0,266.0,266.0,266.0,900
2020-01-31,266.0,266.0,266.0,252.0,252.0,200
2020-02-03,266.0,266.0,266.0,266.0,266.0,0
2020-02-04,232.0,232.0,266.0,232.0,252.0,12200
2020-02-05,244.0,244.0,246.0,230.0,230.0,6400
2020-02-06,244.0,244.0,244.0,238.0,242.0,52100
2020-02-07,254.0,254.0,266.0,254.0,266.0,14100
2020-02-10,264.0,264.0,264.0,250.0,254.0,16600
2020-02-11,258.0,258.0,258.0,252.0,252.0,21300
2020-02-12,262.0,262.0,262.0,250.0,250.0,33600
2020-02-13,264.0,264.0,266.0,250.0,266.0,600
2020-02-14,252.0,252.0,252.0,252.0,252.0,2000
2020-02-17,250.0,250.0,250.0,248.0,248.0,4200
2020-02-18,246.0,246.0,248.0,246.0,248.0,61800
2020-02-19,246.0,246.0,246.0,246.0,246.0,11800
2020-02-20,246.0,246.0,246.0,246.0,246.0,0
2020-02-21,244.0,244.0,246.0,244.0,246.0,49100
2020-02-24,228.0,228.0,228.0,228.0,228.0,100
2020-02-25,228.0,228.0,228.0,228.0,228.0,10000
2020-02-26,228.0,228.0,228.0,228.0,228.0,100
2020-02-27,228.0,228.0,228.0,228.0,228.0,14100
2020-02-28,228.0,228.0,228.0,228.0,228.0,0
2020-03-02,228.0,228.0,228.0,228.0,228.0,0
2020-03-03,226.0,226.0,228.0,226.0,226.0,19900
2020-03-04,226.0,226.0,226.0,226.0,226.0,2500
2020-03-05,226.0,226.0,226.0,175.0,226.0,1300
2020-03-06,224.0,224.0,224.0,224.0,224.0,1500
2020-03-09,220.0,220.0,230.0,220.0,230.0,800
2020-03-10,220.0,220.0,220.0,210.0,210.0,6200
2020-03-11,250.0,250.0,250.0,250.0,250.0,100
2020-03-12,250.0,250.0,250.0,250.0,250.0,0
2020-03-13,250.0,250.0,250.0,248.0,248.0,14700
2020-03-16,246.0,246.0,248.0,240.0,248.0,420000
2020-03-17,246.0,246.0,246.0,246.0,246.0,0
2020-03-18,246.0,246.0,246.0,246.0,246.0,0
2020-03-19,246.0,246.0,246.0,246.0,246.0,0
2020-03-20,246.0,246.0,246.0,246.0,246.0,0
2020-03-23,246.0,246.0,246.0,246.0,246.0,0
2020-03-24,244.0,244.0,244.0,244.0,244.0,9300
2020-03-26,248.0,248.0,248.0,248.0,248.0,153900
2020-03-27,232.0,232.0,232.0,232.0,232.0,500
2020-03-30,232.0,232.0,232.0,232.0,232.0,0
2020-03-31,232.0,232.0,232.0,232.0,232.0,0
2020-04-01,232.0,232.0,232.0,232.0,232.0,500
2020-04-02,230.0,230.0,230.0,216.0,216.0,3000
2020-04-03,230.0,230.0,230.0,230.0,230.0,0
2020-04-06,230.0,230.0,282.0,214.0,216.0,22900
2020-04-07,214.0,214.0,230.0,214.0,214.0,17900
