Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,229.8396453857422,266.0,266.0,264.0,266.0,36900
2020-01-03,229.8396453857422,266.0,266.0,266.0,266.0,112600
2020-01-06,229.8396453857422,266.0,266.0,264.0,266.0,443000
2020-01-07,228.1115264892578,264.0,266.0,264.0,264.0,220900
2020-01-08,228.1115264892578,264.0,264.0,264.0,264.0,238600
2020-01-09,226.3834228515625,262.0,264.0,262.0,264.0,552300
2020-01-10,228.1115264892578,264.0,264.0,264.0,264.0,2000
2020-01-13,231.5677490234375,268.0,268.0,266.0,266.0,898900
2020-01-14,235.02403259277344,272.0,274.0,270.0,270.0,1919900
2020-01-15,240.2083282470703,278.0,278.0,274.0,274.0,1681000
2020-01-16,241.93646240234375,280.0,282.0,278.0,278.0,1249900
2020-01-17,235.02403259277344,272.0,280.0,270.0,280.0,2804100
2020-01-20,233.2958526611328,270.0,272.0,268.0,272.0,1542900
2020-01-21,233.2958526611328,270.0,272.0,270.0,270.0,606600
2020-01-22,233.2958526611328,270.0,272.0,270.0,270.0,655400
2020-01-23,233.2958526611328,270.0,270.0,270.0,270.0,3075000
2020-01-24,241.93646240234375,280.0,280.0,270.0,270.0,2658400
2020-01-27,248.84898376464844,288.0,288.0,278.0,282.0,1870900
2020-01-28,252.30519104003906,292.0,292.0,284.0,288.0,745400
2020-01-29,257.4895324707031,298.0,298.0,292.0,292.0,1061200
2020-01-30,259.2176208496094,300.0,302.0,298.0,300.0,1389100
2020-01-31,259.2176208496094,300.0,300.0,296.0,300.0,756000
2020-02-03,255.76136779785156,296.0,298.0,296.0,296.0,544400
2020-02-04,259.2176208496094,300.0,300.0,298.0,298.0,773900
2020-02-05,255.76136779785156,296.0,300.0,296.0,298.0,558400
2020-02-06,255.76136779785156,296.0,300.0,296.0,300.0,388200
2020-02-07,257.4895324707031,298.0,300.0,298.0,300.0,839300
2020-02-10,257.4895324707031,298.0,300.0,298.0,298.0,511700
2020-02-11,257.4895324707031,298.0,298.0,296.0,296.0,395900
2020-02-12,255.76136779785156,296.0,298.0,296.0,296.0,742900
2020-02-13,254.03329467773438,294.0,296.0,294.0,296.0,975700
2020-02-14,255.76136779785156,296.0,296.0,294.0,294.0,352100
2020-02-17,252.30519104003906,292.0,294.0,292.0,294.0,592500
2020-02-18,255.76136779785156,296.0,296.0,294.0,294.0,258600
