Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,312.0,312.0,400.0,310.0,400.0,604000
2020-01-03,322.0,322.0,342.0,310.0,312.0,1875200
2020-01-06,324.0,324.0,328.0,312.0,322.0,1555400
2020-01-07,322.0,322.0,332.0,322.0,324.0,1988400
2020-01-08,302.0,302.0,322.0,302.0,322.0,1608800
2020-01-09,306.0,306.0,312.0,302.0,304.0,1920400
2020-01-10,312.0,312.0,326.0,306.0,306.0,2103300
2020-01-13,312.0,312.0,332.0,306.0,332.0,1508100
2020-01-14,310.0,310.0,326.0,308.0,318.0,1687300
2020-01-15,310.0,310.0,314.0,290.0,310.0,586600
2020-01-16,308.0,308.0,310.0,308.0,310.0,791800
2020-01-17,300.0,300.0,308.0,290.0,308.0,585700
2020-01-20,272.0,272.0,292.0,268.0,292.0,1384200
2020-01-21,270.0,270.0,280.0,270.0,280.0,109800
2020-01-22,268.0,268.0,284.0,268.0,284.0,154800
2020-01-23,276.0,276.0,278.0,268.0,268.0,26700
2020-01-24,264.0,264.0,274.0,264.0,270.0,37100
2020-01-27,264.0,264.0,266.0,260.0,264.0,311300
2020-01-28,264.0,264.0,264.0,262.0,264.0,31400
2020-01-29,270.0,270.0,272.0,266.0,272.0,18600
2020-01-30,278.0,278.0,282.0,262.0,262.0,100100
2020-01-31,276.0,276.0,278.0,264.0,278.0,15100
2020-02-03,260.0,260.0,284.0,260.0,274.0,115500
2020-02-04,274.0,274.0,280.0,260.0,260.0,130400
2020-02-05,282.0,282.0,282.0,270.0,278.0,252100
2020-02-06,290.0,290.0,294.0,280.0,282.0,253400
2020-02-07,296.0,296.0,296.0,290.0,290.0,393100
2020-02-10,308.0,308.0,308.0,292.0,298.0,851200
2020-02-11,316.0,316.0,322.0,308.0,308.0,183500
2020-02-12,320.0,320.0,320.0,316.0,316.0,177600
2020-02-13,316.0,316.0,320.0,308.0,310.0,89000
2020-02-14,302.0,302.0,308.0,298.0,308.0,5027400
2020-02-17,298.0,298.0,300.0,290.0,300.0,23700
2020-02-18,306.0,306.0,306.0,298.0,298.0,131800
2020-02-19,306.0,306.0,308.0,292.0,306.0,8200
2020-02-20,308.0,308.0,310.0,300.0,310.0,11800
2020-02-21,306.0,306.0,308.0,292.0,308.0,995700
2020-02-24,316.0,316.0,316.0,306.0,306.0,95000
2020-02-25,316.0,316.0,316.0,296.0,296.0,147600
2020-02-26,310.0,310.0,316.0,300.0,300.0,2583700
2020-02-27,300.0,300.0,310.0,274.0,300.0,847900
2020-02-28,270.0,270.0,294.0,260.0,262.0,25500
2020-03-02,274.0,274.0,284.0,272.0,284.0,64100
2020-03-03,298.0,298.0,316.0,274.0,274.0,15400
2020-03-04,300.0,300.0,300.0,298.0,298.0,87100
2020-03-05,290.0,290.0,300.0,288.0,300.0,34600
2020-03-06,300.0,300.0,302.0,290.0,290.0,26400
2020-03-09,296.0,296.0,300.0,270.0,300.0,15400
2020-03-10,296.0,296.0,296.0,296.0,296.0,7500
2020-03-11,292.0,292.0,296.0,292.0,296.0,300
2020-03-12,264.0,264.0,270.0,264.0,270.0,63500
2020-03-13,264.0,264.0,264.0,264.0,264.0,0
2020-03-16,268.0,268.0,272.0,248.0,248.0,3100
2020-03-17,260.0,260.0,260.0,260.0,260.0,2300
2020-03-18,260.0,260.0,260.0,260.0,260.0,1100
2020-03-19,258.0,258.0,258.0,250.0,258.0,6000
2020-03-20,250.0,250.0,254.0,240.0,254.0,14600
2020-03-23,250.0,250.0,250.0,234.0,238.0,4500
2020-03-24,256.0,256.0,260.0,236.0,260.0,2200
2020-03-26,264.0,264.0,278.0,264.0,278.0,43500
2020-03-27,250.0,250.0,264.0,250.0,262.0,92300
2020-03-30,268.0,268.0,270.0,268.0,270.0,1000
2020-03-31,270.0,270.0,280.0,254.0,280.0,18400
2020-04-01,260.0,260.0,270.0,252.0,270.0,14300
2020-04-02,264.0,264.0,266.0,248.0,252.0,3000
2020-04-03,260.0,260.0,264.0,248.0,264.0,2500
2020-04-06,266.0,266.0,266.0,256.0,258.0,49500
2020-04-07,270.0,270.0,280.0,264.0,266.0,6800
2020-04-08,270.0,270.0,270.0,270.0,270.0,300
2020-04-09,264.0,264.0,264.0,254.0,258.0,58600
2020-04-13,268.0,268.0,270.0,260.0,264.0,8900
2020-04-14,272.0,272.0,278.0,262.0,268.0,12900
2020-04-15,272.0,272.0,280.0,258.0,272.0,51300
2020-04-16,272.0,272.0,274.0,270.0,274.0,21900
2020-04-17,268.0,268.0,272.0,254.0,256.0,13300
2020-04-20,268.0,268.0,268.0,254.0,260.0,20300
2020-04-21,266.0,266.0,266.0,266.0,266.0,12600
2020-04-22,264.0,264.0,266.0,264.0,266.0,600
2020-04-23,268.0,268.0,268.0,268.0,268.0,900
2020-04-24,266.0,266.0,266.0,250.0,252.0,24900
2020-04-27,262.0,262.0,266.0,252.0,264.0,16700
2020-04-28,262.0,262.0,262.0,250.0,250.0,5800
2020-04-29,260.0,260.0,262.0,260.0,262.0,2100
2020-04-30,260.0,260.0,264.0,260.0,264.0,23400
2020-05-04,260.0,260.0,260.0,244.0,244.0,1600
2020-05-05,264.0,264.0,270.0,264.0,270.0,2100
2020-05-06,268.0,268.0,268.0,268.0,268.0,9500
2020-05-08,260.0,260.0,260.0,260.0,260.0,1900
2020-05-11,266.0,266.0,268.0,256.0,268.0,2900
2020-05-12,266.0,266.0,268.0,256.0,268.0,17600
2020-05-13,264.0,264.0,264.0,252.0,252.0,600
2020-05-14,264.0,264.0,266.0,252.0,266.0,2200
2020-05-15,258.0,258.0,262.0,258.0,262.0,1200
2020-05-18,256.0,256.0,268.0,256.0,258.0,64900
2020-05-19,240.0,240.0,260.0,240.0,258.0,126600
2020-05-20,250.0,250.0,254.0,238.0,242.0,45600
2020-05-26,234.0,234.0,262.0,234.0,250.0,223200
2020-05-27,236.0,236.0,250.0,230.0,230.0,237200
2020-05-28,240.0,240.0,254.0,240.0,254.0,233700
2020-05-29,242.0,242.0,250.0,242.0,248.0,16900
2020-06-02,256.0,256.0,264.0,250.0,260.0,4037600
2020-06-03,252.0,252.0,258.0,240.0,258.0,55700
2020-06-04,236.0,236.0,252.0,236.0,252.0,342600
2020-06-05,236.0,236.0,254.0,236.0,254.0,18400
2020-06-08,240.0,240.0,246.0,234.0,236.0,154100
2020-06-09,236.0,236.0,240.0,228.0,238.0,155500
2020-06-10,220.0,220.0,238.0,220.0,236.0,486600
2020-06-11,214.0,214.0,232.0,208.0,232.0,90800
2020-06-12,206.0,206.0,206.0,200.0,200.0,294900
2020-06-15,196.0,196.0,206.0,192.0,206.0,100500
2020-06-16,200.0,200.0,204.0,196.0,196.0,39500
2020-06-17,200.0,200.0,218.0,200.0,200.0,33500
2020-06-18,204.0,204.0,208.0,200.0,208.0,24400
2020-06-19,200.0,200.0,206.0,199.0,204.0,90200
2020-06-22,198.0,198.0,210.0,198.0,210.0,161600
2020-06-23,200.0,200.0,206.0,197.0,197.0,23500
2020-06-24,196.0,196.0,204.0,186.0,200.0,2533300
2020-06-25,189.0,189.0,198.0,187.0,196.0,29400
2020-06-26,194.0,194.0,197.0,190.0,190.0,36700
2020-06-29,189.0,189.0,196.0,189.0,194.0,180700
2020-06-30,191.0,191.0,191.0,188.0,188.0,1000
2020-07-01,191.0,191.0,191.0,189.0,191.0,20200
2020-07-02,191.0,191.0,192.0,189.0,192.0,28300
2020-07-03,191.0,191.0,191.0,190.0,191.0,36000
2020-07-06,191.0,191.0,196.0,190.0,195.0,53100
2020-07-07,192.0,192.0,202.0,191.0,192.0,1100100
2020-07-08,194.0,194.0,199.0,192.0,192.0,71200
2020-07-09,200.0,200.0,204.0,197.0,197.0,250900
