Date,Adj Close,Close,High,Low,Open,Volume
2020-01-02,395.9116516113281,452.0,454.0,448.0,450.0,2825300
2020-01-03,409.9262390136719,468.0,470.0,454.0,454.0,18265100
2020-01-06,404.6708068847656,462.0,470.0,458.0,470.0,18128100
2020-01-07,402.9189453125,460.0,468.0,458.0,464.0,6131600
2020-01-08,392.40802001953125,448.0,462.0,448.0,462.0,8706200
2020-01-09,395.9116516113281,452.0,458.0,448.0,450.0,4846800
2020-01-10,394.1598205566406,450.0,456.0,450.0,454.0,4566100
2020-01-13,397.6634521484375,454.0,458.0,450.0,450.0,5054300
2020-01-14,394.1598205566406,450.0,460.0,450.0,456.0,3667100
2020-01-15,381.8971252441406,436.0,452.0,436.0,450.0,10760400
2020-01-16,381.8971252441406,436.0,442.0,436.0,438.0,3639200
2020-01-17,381.8971252441406,436.0,442.0,436.0,438.0,3105800
2020-01-20,374.8897705078125,428.0,440.0,426.0,436.0,7075800
2020-01-21,373.1379699707031,426.0,432.0,422.0,428.0,3506900
2020-01-22,369.63433837890625,422.0,436.0,422.0,426.0,5812700
2020-01-23,369.63433837890625,422.0,426.0,418.0,422.0,4195200
2020-01-24,367.88250732421875,420.0,424.0,420.0,422.0,3031600
2020-01-27,353.867919921875,404.0,420.0,404.0,420.0,7640500
2020-01-28,355.6197509765625,406.0,406.0,390.0,404.0,8319400
2020-01-29,352.1161193847656,402.0,418.0,402.0,408.0,6165100
2020-01-30,334.597900390625,382.0,404.0,382.0,402.0,10591400
2020-01-31,336.3497314453125,384.0,392.0,372.0,382.0,6938600
2020-02-03,334.597900390625,382.0,388.0,374.0,388.0,4758400
2020-02-04,341.60516357421875,390.0,394.0,382.0,382.0,5994500
2020-02-05,348.6124572753906,398.0,402.0,392.0,392.0,5376300
2020-02-06,353.867919921875,404.0,406.0,396.0,400.0,9155300
2020-02-07,352.1161193847656,402.0,406.0,398.0,404.0,4746400
2020-02-10,350.3642883300781,400.0,402.0,394.0,402.0,4236100
2020-02-11,350.3642883300781,400.0,402.0,398.0,400.0,3452500
2020-02-12,345.10882568359375,394.0,402.0,392.0,402.0,2901800
2020-02-13,334.597900390625,382.0,396.0,382.0,394.0,2879900
2020-02-14,332.8460998535156,380.0,386.0,376.0,382.0,1673200
2020-02-17,338.1015625,386.0,394.0,378.0,380.0,2543000
2020-02-18,348.6124572753906,398.0,400.0,386.0,386.0,4665900
2020-02-19,350.3642883300781,400.0,408.0,394.0,394.0,6269400
2020-02-20,341.60516357421875,390.0,404.0,390.0,402.0,4417600
2020-02-21,338.1015625,386.0,394.0,384.0,390.0,2364400
2020-02-24,329.34246826171875,376.0,386.0,376.0,386.0,3771000
2020-02-25,325.8387756347656,372.0,378.0,370.0,376.0,6853500
2020-02-26,320.58331298828125,366.0,374.0,366.0,372.0,4447400
2020-02-27,308.3205871582031,352.0,370.0,350.0,366.0,4959900
2020-02-28,283.79510498046875,324.0,350.0,310.0,350.0,12827200
2020-03-02,276.78778076171875,316.0,330.0,308.0,328.0,11655000
2020-03-03,289.050537109375,330.0,338.0,324.0,324.0,9284000
2020-03-04,313.5760192871094,358.0,372.0,330.0,330.0,17955600
2020-03-05,315.327880859375,360.0,370.0,352.0,362.0,6479500
2020-03-06,303.0650939941406,346.0,360.0,324.0,360.0,5010400
2020-03-09,275.03594970703125,314.0,344.0,312.0,344.0,8475600
2020-03-10,287.2987060546875,328.0,334.0,308.0,308.0,7817800
2020-03-11,266.27685546875,304.0,336.0,300.0,330.0,10455900
2020-03-12,243.50318908691406,278.0,302.0,276.0,298.0,13688200
2020-03-13,239.99954223632812,274.0,288.0,260.0,260.0,8202600
2020-03-16,224.233154296875,256.0,274.0,256.0,274.0,12851100
2020-03-17,210.2185821533203,240.0,252.0,240.0,252.0,9691900
2020-03-18,196.20401000976562,224.0,240.0,224.0,224.0,9486600
2020-03-19,183.94125366210938,210.0,210.0,210.0,210.0,4184700
2020-03-20,172.55441284179688,197.0,216.0,196.0,196.0,35100100
2020-03-23,171.67849731445312,196.0,197.0,184.0,197.0,10620100
2020-03-24,176.9339599609375,202.0,218.0,196.0,196.0,29257000
2020-03-26,192.70034790039062,220.0,234.0,202.0,202.0,37122100
2020-03-27,199.7076416015625,228.0,254.0,226.0,230.0,43883600
2020-03-30,189.19671630859375,216.0,228.0,214.0,228.0,9081500
2020-03-31,197.95582580566406,226.0,238.0,220.0,222.0,6627700
2020-04-01,189.19671630859375,216.0,236.0,212.0,228.0,30779700
2020-04-02,197.95582580566406,226.0,230.0,208.0,214.0,18303000
2020-04-03,210.2185821533203,240.0,240.0,228.0,228.0,29651900
2020-04-06,269.5110168457031,288.0,290.0,228.0,238.0,66057100
2020-04-07,256.4097900390625,274.0,310.0,268.0,296.0,67297000
2020-04-08,239.56533813476562,256.0,272.0,256.0,270.0,19631000
2020-04-09,232.0789031982422,248.0,262.0,240.0,260.0,22931800
2020-04-13,241.43695068359375,258.0,272.0,238.0,248.0,27688000
2020-04-14,248.92332458496094,266.0,268.0,254.0,262.0,17140000
2020-04-15,232.0789031982422,248.0,274.0,248.0,268.0,31036800
2020-04-16,222.7209014892578,238.0,248.0,232.0,248.0,13529000
2020-04-17,226.46409606933594,242.0,258.0,238.0,246.0,10609700
2020-04-20,222.7209014892578,238.0,248.0,236.0,242.0,6996700
2020-04-21,213.3628692626953,228.0,238.0,224.0,238.0,9817700
2020-04-22,218.97769165039062,234.0,236.0,218.0,228.0,7809800
2020-04-23,209.61965942382812,224.0,238.0,224.0,238.0,9164000
2020-04-24,205.87646484375,220.0,232.0,220.0,224.0,8055900
2020-04-27,202.1332550048828,216.0,222.0,212.0,220.0,6579000
2020-04-28,207.74806213378906,222.0,224.0,214.0,216.0,8704400
2020-04-29,209.61965942382812,224.0,228.0,220.0,228.0,5364300
2020-04-30,220.84930419921875,236.0,240.0,224.0,224.0,14912000
2020-05-04,211.4912872314453,226.0,236.0,226.0,236.0,8029900
2020-05-05,215.23448181152344,230.0,232.0,226.0,228.0,4787000
2020-05-06,220.84930419921875,236.0,236.0,228.0,230.0,6493100
2020-05-08,220.84930419921875,236.0,248.0,232.0,238.0,10608400
2020-05-11,226.46409606933594,242.0,246.0,236.0,238.0,15595600
2020-05-12,213.3628692626953,228.0,242.0,226.0,242.0,12104100
2020-05-13,211.4912872314453,226.0,230.0,220.0,226.0,6044300
2020-05-14,207.74806213378906,222.0,226.0,220.0,222.0,6390400
2020-05-15,205.87646484375,220.0,228.0,218.0,222.0,5209200
2020-05-18,202.1332550048828,216.0,224.0,216.0,224.0,4558200
2020-05-19,204.00485229492188,218.0,228.0,218.0,220.0,12129800
2020-05-20,204.00485229492188,218.0,222.0,216.0,222.0,13978300
2020-05-26,209.61965942382812,224.0,226.0,218.0,220.0,4797400
2020-05-27,220.84930419921875,236.0,236.0,226.0,226.0,18943000
2020-05-28,218.97769165039062,234.0,242.0,232.0,236.0,27735400
2020-05-29,213.3628692626953,228.0,234.0,226.0,234.0,7713800
2020-06-02,220.84930419921875,236.0,238.0,228.0,232.0,8740900
2020-06-03,233.9505157470703,250.0,252.0,240.0,240.0,37531500
2020-06-04,237.6937255859375,254.0,272.0,252.0,260.0,68108500
2020-06-05,245.18014526367188,262.0,264.0,250.0,256.0,25113500
2020-06-08,275.1258544921875,294.0,296.0,266.0,266.0,67808400
2020-06-09,271.3825988769531,290.0,318.0,286.0,298.0,76558900
2020-06-10,258.2814025878906,276.0,298.0,276.0,292.0,23102400
2020-06-11,250.7949676513672,268.0,280.0,262.0,276.0,14952600
2020-06-12,254.53817749023438,272.0,274.0,252.0,260.0,19549600
2020-06-15,248.92332458496094,266.0,282.0,266.0,268.0,17257700
2020-06-16,265.7677917480469,284.0,284.0,270.0,270.0,15750000
2020-06-17,282.61224365234375,302.0,308.0,278.0,286.0,56669300
2020-06-18,278.8690185546875,298.0,308.0,294.0,308.0,38495200
2020-06-19,267.6393737792969,286.0,298.0,286.0,294.0,25341400
2020-06-22,269.5110168457031,288.0,294.0,284.0,286.0,10964100
2020-06-23,271.3825988769531,290.0,292.0,280.0,288.0,14566300
2020-06-24,271.3825988769531,290.0,300.0,286.0,290.0,43574400
2020-06-25,265.7677917480469,284.0,294.0,284.0,294.0,17296300
2020-06-26,269.5110168457031,288.0,290.0,282.0,290.0,7775300
2020-06-29,265.7677917480469,284.0,286.0,282.0,282.0,5003300
2020-06-30,263.89617919921875,282.0,290.0,282.0,288.0,5179700
2020-07-01,260.1529846191406,278.0,284.0,274.0,282.0,12249000
2020-07-02,269.5110168457031,288.0,288.0,278.0,284.0,13906000
2020-07-03,263.89617919921875,282.0,296.0,280.0,290.0,21820000
2020-07-06,267.6393737792969,286.0,288.0,282.0,284.0,5546500
2020-07-07,271.3825988769531,290.0,292.0,284.0,288.0,13131200
2020-07-08,280.7406311035156,300.0,306.0,286.0,288.0,55863000
2020-07-09,280.7406311035156,300.0,324.0,298.0,302.0,118398900
2020-07-10,278.8690185546875,298.0,306.0,298.0,300.0,16375700
2020-07-13,280.7406311035156,300.0,306.0,300.0,300.0,11613300
2020-07-14,278.8690185546875,298.0,302.0,298.0,302.0,9682500
2020-07-15,280.7406311035156,300.0,306.0,294.0,300.0,20334900
2020-07-16,280.7406311035156,300.0,306.0,298.0,304.0,11385800
2020-07-17,280.7406311035156,300.0,304.0,298.0,300.0,5827600
2020-07-20,271.3825988769531,290.0,300.0,288.0,300.0,22255700
2020-07-21,273.25421142578125,292.0,300.0,288.0,290.0,32907900
2020-07-22,271.3825988769531,290.0,296.0,290.0,292.0,8259200
2020-07-23,275.1258544921875,294.0,302.0,288.0,290.0,50531700
2020-07-24,271.3825988769531,290.0,294.0,288.0,294.0,13059100
2020-07-27,265.7677917480469,284.0,290.0,284.0,290.0,13591400
2020-07-28,267.6393737792969,286.0,292.0,282.0,286.0,8896500
2020-07-29,265.7677917480469,284.0,288.0,282.0,286.0,8715800
2020-07-30,256.4097900390625,274.0,286.0,274.0,284.0,20560900
2020-08-03,245.18014526367188,262.0,276.0,256.0,274.0,23938700
2020-08-04,247.05174255371094,264.0,266.0,254.0,262.0,7081800
2020-08-05,256.4097900390625,274.0,276.0,260.0,266.0,32889100
2020-08-06,256.4097900390625,274.0,278.0,274.0,274.0,14320000
2020-08-07,254.53817749023438,272.0,276.0,268.0,272.0,9980500
2020-08-10,254.53817749023438,272.0,276.0,272.0,274.0,2235300
2020-08-11,262.02459716796875,280.0,282.0,272.0,274.0,21197200
2020-08-12,263.89617919921875,282.0,286.0,280.0,280.0,13759100
2020-08-13,263.89617919921875,282.0,288.0,280.0,284.0,5709700
2020-08-14,260.1529846191406,278.0,284.0,276.0,282.0,7530500
2020-08-18,262.02459716796875,280.0,290.0,278.0,278.0,34592800
2020-08-19,260.1529846191406,278.0,284.0,278.0,282.0,8398300
2020-08-24,260.1529846191406,278.0,282.0,278.0,278.0,8142100
2020-08-25,262.02459716796875,280.0,286.0,278.0,278.0,11117200
2020-08-26,260.1529846191406,278.0,282.0,278.0,282.0,5998600
2020-08-27,258.2814025878906,276.0,282.0,276.0,278.0,5685100
2020-08-28,260.1529846191406,278.0,282.0,276.0,278.0,7083300
2020-08-31,252.6665496826172,270.0,280.0,268.0,278.0,13533100
2020-09-01,252.6665496826172,270.0,272.0,266.0,270.0,8276500
2020-09-02,254.53817749023438,272.0,278.0,270.0,270.0,10537000
2020-09-03,250.7949676513672,268.0,276.0,264.0,272.0,7840100
2020-09-04,239.56533813476562,256.0,266.0,252.0,264.0,22272700
