Sektor,Saham_Y,Saham_X,Test_Statistic,P_Value
barang_baku,HKMU,ESSA,-7.203201078138223,2.7949495042457274e-09
barang_baku,HKMU,UNIC,-7.174412555265833,3.279544337537761e-09
barang_baku,IFII,PSAB,-7.022952665726399,7.566725500068817e-09
barang_baku,HKMU,ALKA,-7.008628556625318,8.185507880031847e-09
barang_baku,HKMU,SMGR,-6.9911862853303886,9.006706440291433e-09
barang_konsumsi_non_primer,TELE,PMJS,-7.134718247873164,4.086396231961623e-09
barang_konsumsi_non_primer,TELE,MAPI,-6.94745676983306,1.143994989905558e-08
barang_konsumsi_non_primer,TELE,BOGA,-6.8698861663254025,1.7450154308372886e-08
barang_konsumsi_non_primer,GDYR,GLOB,-6.687264776286636,4.6662266937808406e-08
barang_konsumsi_non_primer,TELE,PANR,-6.609982916490579,7.042181046843285e-08
barang_konsumsi_primer,SKBM,MGRO,-6.524798320880485,1.1047263985081135e-07
barang_konsumsi_primer,SKBM,SIPD,-6.478895257854761,1.4059472705248686e-07
barang_konsumsi_primer,DLTA,ITIC,-6.307337851540727,3.428143466193152e-07
barang_konsumsi_primer,SKBM,DSFI,-6.242810246087731,4.773574683125782e-07
barang_konsumsi_primer,SKBM,LSIP,-6.075444299248588,1.1140821368969967e-06
energi,WOWS,BOSS,-6.561265676394652,9.114516809316075e-08
energi,WOWS,MYOH,-6.384810267750936,2.2967075327465797e-07
energi,WOWS,RUIS,-6.325919664277479,3.115060109850315e-07
energi,WOWS,SHIP,-6.227498016915908,5.161943604161494e-07
energi,WOWS,ABMM,-6.1832543251804095,6.466020390746186e-07
industrial,SOSS,SKRN,-5.157578878997326,8.362211002625301e-05
industrial,SOSS,KOIN,-5.155851314374515,8.425482447499328e-05
industrial,SOSS,IKBI,-5.09661827003008,0.00010894310217572939
industrial,APII,SPTO,-5.001724939850075,0.00016344447158488833
industrial,KBLI,UNTR,-4.949740716402832,0.0002034625182081685
infrastruktur,MTRA,JAST,-13.753526918230131,1.00159069705957e-24
infrastruktur,TOPS,KEEN,-12.961067735663317,3.3645656182225485e-23
infrastruktur,TOPS,TLKM,-12.89461778600219,4.5955713789294875e-23
infrastruktur,TOPS,IPCC,-12.786725325500075,7.664915736585975e-23
infrastruktur,TOPS,CMNP,-12.56590773875926,2.227770486278964e-22
kesehatan,MIKA,PRIM,-4.449123833285143,0.0014828319024444614
kesehatan,MIKA,MERK,-4.02755807499583,0.006557515075108914
kesehatan,MIKA,KLBF,-3.983883789177954,0.00757045630815344
kesehatan,MIKA,HEAL,-3.8846665778664606,0.010413263452089157
kesehatan,KAEF,INAF,-3.637394314037295,0.022008446989591545
keuangan,JMAS,BBRI,-7.208656732715308,2.7114390817895845e-09
keuangan,BGTG,ARTO,-7.190733327757583,2.995456542217007e-09
keuangan,JMAS,BBNI,-7.167221184261545,3.4130203909046715e-09
keuangan,JMAS,BMRI,-7.001196789113504,8.525956167699402e-09
keuangan,TRUS,APIC,-6.977894532069002,9.686574146305591e-09
properti,NZIA,PAMG,-7.465253259436897,6.43518225378977e-10
properti,NZIA,LPCK,-6.784785951344998,2.764844659131971e-08
properti,KIJA,PAMG,-6.198233879874373,5.992002259595273e-07
properti,NZIA,JRPT,-6.121182241201728,8.852036787623542e-07
properti,NZIA,CTRA,-5.991871274771692,1.6903589094736037e-06
teknologi,SKYB,KIOS,-15.005002224586232,9.156219240169963e-27
teknologi,SKYB,ATIC,-13.966259199956324,4.173729731587813e-25
teknologi,SKYB,DIVA,-13.531687859098895,2.5754228751031184e-24
teknologi,SKYB,GLVA,-12.630761877802737,1.6240357416709883e-22
teknologi,SKYB,MTDL,-12.016448773996308,3.5334152599949005e-21
transportasi_dan_logistik,AKSI,HELI,-5.658900432942716,8.511131716816348e-06
transportasi_dan_logistik,LRNA,JAYA,-4.520224673180803,0.001134218738338648
transportasi_dan_logistik,LRNA,WEHA,-4.498647595162705,0.0012309512106995915
transportasi_dan_logistik,IMJS,ASSA,-4.4011408313167015,0.0017719431152407442
transportasi_dan_logistik,LRNA,BIRD,-4.291578739280116,0.0026389101589965654
